"","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr","Rest"
"1",0.695624311099959,0.00315297138175619,0.144839622849425,0.0294605763482844,0.0246325889199702,0.000689712489759167,0.0102471569907076,0.013203067661104,0.0451269029013855,0.0296576370596442,0.0015764856908781,2.00790903010346e-07,3.94121422719524e-06,3.15297138175619e-05,0.000291649852812448,1.87207675791774e-06,1.97060711359762e-07,2.40363161722974e-06,4.24700925375667e-07,4.10871583185104e-05,0.000162575086871804,6.40447311919226e-06,3.05444102607631e-05,3.26135477300406e-06,1.67501604655798e-05,2.66031960335679e-06,1.37942497951833e-06,8.17801952143012e-07,0.0004138274938555,1.86222372234975e-05,3.15297138175619e-06,2.13320000961072e-06,2.46325889199702e-06,2.5617892476769e-08,4.82798742831417e-07,2.1479617538214e-05,5.03490117524192e-05,1.97060711359762e-07,2.95591067039643e-07,1.25133551713449e-05,1.61589783315005e-05,1.67501604655798e-05,9.85303556798809e-06,4.6309267169544e-06,0.000157648569087809,8.86773201118928e-05,5.91182134079286e-07,5.91182134079286e-06,6.0399108031767e-06,4.03974458287512e-06,3.89503733647819e-06,9.55744450094845e-05,1.08383391247869e-06,4.82798742831417e-07,7.31095239144717e-06,7.88242845439048e-07,2.0691374692775e-07,3.02488191937234e-06,3.35003209311595e-05,1.87207675791774e-06,1.62382027631771e-05,1.28089462383845e-06,4.03974458287512e-05,0.000149766140633419,1.32418687126545e-09
"2",0.694458306436001,0.00299636835798648,0.145723381143409,0.0293644099082675,0.025184487401787,0.000809019456656351,0.0104872892529527,0.0131840207751405,0.0451452832603297,0.0290647730724689,0.00157808733520621,2.00790903010346e-07,3.99515781064865e-06,2.32602804874052e-05,0.000294642888535338,1.49059069605816e-06,1.99757890532432e-06,2.40363161722974e-06,1.99757890532432e-06,3.79539992011621e-05,0.000221675926732339,5.99273671597297e-06,2.39709468638919e-05,4.05172345145459e-06,3.99515781064865e-06,2.62556018367385e-06,1.49331851537594e-06,7.33980568929219e-07,0.000490639696524777,1.99757890532432e-05,3.62503897721801e-06,9.98789452662161e-07,3.3137270473675e-06,3.28924425721173e-08,5.43152134932665e-07,2.19733679585676e-05,5.05605810901102e-05,2.13478088380177e-07,1.99757890532432e-06,1.39830523372703e-05,1.60718775365775e-05,1.49818417899324e-05,1.59806312425946e-05,4.53508104671839e-06,0.000147820838994,4.99394726331081e-05,7.64137532401882e-07,6.19075151210234e-06,3.82174947537677e-07,3.4636521977203e-06,9.98789452662161e-07,8.88922612869323e-05,1.56672152180451e-06,4.89845747763297e-07,6.99152616863513e-06,7.76833353524523e-07,2.04970806505737e-07,9.98789452662161e-07,2.79661046745405e-05,2.89467125116303e-06,1.59806312425946e-05,1.44101133219504e-06,6.69188933283648e-05,0.000122851102677446,0.000163134417243582
"3",0.691649039114708,0.00317088384694422,0.14764427912334,0.0309161175077062,0.0251844873835686,0.000594540721302041,0.00980992190148369,0.0122871749069089,0.0447887343380871,0.0303215767864041,0.00158544192347211,2.04125647647034e-06,2.00162042838354e-05,1.04044626227857e-05,0.000365642543600756,1.28817156282109e-06,1.18908144260408e-05,2.40363161549096e-06,6.93630841519048e-08,4.15507196382376e-05,0.000221675926571979,2.77452336607619e-06,5.34095747969667e-05,4.05172344852358e-06,1.34762563495129e-05,2.62556018177452e-06,1.49331851429567e-06,7.33980568398259e-07,0.000490639696169849,1.7233511496934e-05,3.62503897459567e-06,5.15268625128436e-06,3.31372704497035e-06,3.2892442548323e-08,5.4315213453975e-07,2.28275790417344e-05,6.07422436930253e-05,2.13478088225747e-07,1.32780761090789e-06,1.71425907975422e-05,1.60718775249511e-05,1.09990033440878e-05,2.98261261853191e-05,4.53508104343772e-06,0.000148958448548651,0,7.92720961736055e-07,6.19075150762396e-06,1.04044626227857e-06,3.4636521952147e-06,2.77452336607619e-06,8.86856575942212e-05,1.56672152067114e-06,4.89845747408943e-07,7.60144253447777e-06,7.76833352962563e-07,2.04970806357461e-07,1.3872616830381e-06,4.21133010922279e-05,1.88271228412313e-06,2.23943671690436e-05,1.44101133115262e-06,5.23195834745797e-05,0.000223943671690436,1.11022302462516e-16
"4",0.693718093446794,0.00317461513469799,0.143763292275383,0.0304723245844678,0.025184487401787,0.000776238183405777,0.0103697459885746,0.0135344093516905,0.0459572811662549,0.0294373403399268,0.00167189762579706,2.00790903010346e-07,3.58263776956513e-06,2.32602804874052e-05,0.000350003806543349,1.49059069605816e-06,9.70620743402138e-07,2.40363161722974e-06,4.24700925375667e-07,4.15507196682953e-05,0.000221675926732339,5.5729920859902e-06,3.84138383070039e-05,4.05172345145459e-06,1.4131515646618e-05,2.62556018367385e-06,1.49331851537594e-06,7.33980568929219e-07,0.000490639696524777,1.62213876788643e-05,3.62503897721801e-06,2.13320000961072e-06,3.3137270473675e-06,3.28924425721173e-08,5.43152134932665e-07,2.28275790582478e-05,5.05605810901102e-05,2.13478088380177e-07,1.06796367209792e-06,1.06483955928741e-05,1.60718775365775e-05,1.58233168155793e-05,8.5585235606278e-06,4.53508104671839e-06,0.000149774162310987,2.38842517971008e-05,7.64137532401882e-07,3.98070863285014e-06,3.82174947537677e-07,3.4636521977203e-06,3.89503733647819e-06,8.77746253543456e-05,1.56672152180451e-06,4.89845747763297e-07,6.46865152838148e-06,7.76833353524523e-07,2.04970806505737e-07,2.98553147463761e-06,3.30398816526562e-05,2.89467125116303e-06,1.60223522472218e-05,1.44101133219504e-06,3.86128737386464e-05,0.000133950845495407,6.84990348398529e-05
"5",0.694493267856744,0.00306903653650165,0.144541720751368,0.0299973571148387,0.0251844873723244,0.000693008250177792,0.0100981202168764,0.013167156753378,0.0455405421545406,0.0297003535790482,0.00168302003614607,2.00790902775446e-07,2.92559876503185e-06,2.32602804601937e-05,0.000351291991622827,1.38601650035558e-06,9.70620742266638e-07,2.4036316144178e-06,4.24700924878822e-07,4.42535268327819e-05,0.000221675926473007,6.4463608128426e-06,3.52556914162342e-05,4.0517234467146e-06,1.53198701663519e-05,2.86113406144831e-06,1.55431850397019e-06,7.42508839476205e-07,0.000490639695950793,1.72335114892397e-05,3.28683912941467e-06,2.13320000711516e-06,3.06903653650165e-06,3.28924425336374e-08,5.64306718001916e-07,2.22752651842862e-05,5.05605810309609e-05,2.27702710772703e-07,1.06796367084854e-06,1.25977810001726e-05,1.7226205075848e-05,1.60223264749369e-05,9.27004034067576e-06,4.7619566905074e-06,0.000146521744323305,0,7.6413753150794e-07,6.23707425160013e-06,3.82174947090582e-07,3.62344313664388e-06,3.89503733192151e-06,9.11530059070172e-05,1.56672151997165e-06,4.89845747190241e-07,7.60144253108394e-06,7.76833352615729e-07,2.04970806265947e-07,0,3.67604937612283e-05,2.89467124777664e-06,1.50481791467178e-05,1.49491779681209e-06,4.05894270803623e-05,0.000105931261098605,0
"6",0.696175035539569,0.00288250657205133,0.145815073834459,0.030117223839019,0.025184487401787,0.000695777448426183,0.00993967783465975,0.0134185650767907,0.0432375985807699,0.0289244624988599,0.00159034845354556,2.00790903010346e-07,2.98190335039793e-06,2.32602804874052e-05,0.000345900788646159,1.49059069605816e-06,9.70620743402138e-07,2.40363161722974e-06,4.24700925375667e-07,5.66561636575606e-05,0.000221675926732339,7.9517422677278e-06,3.8764743555173e-05,1.98793556693195e-05,1.88853878858535e-05,2.62556018367385e-06,1.49331851537594e-06,7.33980568929219e-07,0.000490639696524777,1.68974523189216e-05,3.62503897721801e-06,2.13320000961072e-06,3.3137270473675e-06,3.28924425721173e-08,5.43152134932665e-07,3.37949046378432e-05,5.05605810901102e-05,2.13478088380177e-07,1.06796367209792e-06,1.39155489685236e-05,2.18672912362515e-05,1.09336456181257e-05,1.68974523189216e-05,4.53508104671839e-06,0.000155058974220692,0,7.64137532401882e-07,6.19075151210234e-06,3.82174947537677e-07,3.4636521977203e-06,3.89503733647819e-06,9.34329716458017e-05,7.9517422677278e-06,4.89845747763297e-07,1.68974523189216e-05,7.76833353524523e-07,2.04970806505737e-07,8.94571005119377e-06,4.47285502559689e-05,3.18069690709112e-05,1.88853878858535e-05,1.44101133219504e-06,4.37345824725029e-05,0.000126233908500179,3.66876640700564e-05
"7",0.695796030866103,0.00299395882472505,0.142911634566876,0.0318357621695764,0.025184487401787,0.000598791764945011,0.0101794600040652,0.0135726133387536,0.0452087782533483,0.0282430115799063,0.00149697941236253,2.00790903010346e-07,2.33528788328554e-06,2.32602804874052e-05,0.00035129116876774,1.26744256913361e-06,1.89617392232587e-07,2.40363161722974e-06,4.98993137454176e-08,4.28136111935683e-05,0.000221675926732339,5.45898492374868e-06,3.37319360919023e-05,2.57480458926355e-06,1.54687872610794e-05,2.43608449705129e-06,1.44708009861711e-06,7.18550117934013e-07,0.000490639696524777,1.80635515758412e-05,2.89416019723422e-06,1.88619405957678e-06,3.26341511895031e-06,3.28924425721173e-08,5.02985082553809e-07,2.22950133814526e-05,5.05605810901102e-05,2.46502609902363e-07,3.3931533346884e-07,1.07283524552648e-05,1.62771561437552e-05,1.7564558438387e-05,7.82421239528148e-06,4.43105906059308e-06,0.000147202975548982,0,6.38711215941345e-07,4.59073686457842e-06,3.82174947537677e-07,3.49295196217923e-06,4.4809583743385e-06,9.03177578792058e-05,1.43710023586803e-06,4.89013274705092e-07,6.93600461061304e-06,7.76833353524523e-07,2.14567049105296e-07,2.91411992273239e-06,3.46301237393198e-05,1.85625447132953e-06,1.51693913786069e-05,1.43510426331821e-06,3.40313319743748e-05,0.000130736202012994,0.000141856034535537
"8",0.6546,0.0035,0.153,0.0279,0.025184487401787,7e-04,0.0089,0.0114,0.047,0.0299,0.00158262859757085,2.00790903010346e-07,2.95e-06,2.32602804874052e-05,0.000361,1.49059069605816e-06,9.70620743402138e-07,1.18e-06,4.24700925375667e-07,4.18e-05,0.000342,5.85e-06,3.22e-05,2.76e-06,1.53198701842742e-05,2.99e-06,1.49331851537594e-06,7.4e-07,0.000490639696524777,1.72335115094007e-05,3.62503897721801e-06,2.13320000961072e-06,3.61e-06,3.28924425721173e-08,5.43152134932665e-07,2.13e-05,5.05605810901102e-05,2.1e-07,1.06796367209792e-06,1.25977810149104e-05,1.63e-05,1.6022326493681e-05,9.2700403515205e-06,4.53508104671839e-06,0.00015,0,6.9e-07,6.13e-06,3.82174947537677e-07,3.57e-06,3.89503733647819e-06,0.000106,1.36e-06,4.6e-07,6.93e-06,7.76833353524523e-07,2.04970806505737e-07,2.72e-06,3.49e-05,2.07e-06,1.62382027631771e-05,1.39e-06,4.05894271278467e-05,0.000151,0.0343172659165847
"9",0.691798841438785,0.00318312507115876,0.143638518836039,0.0318312507115876,0.024470273984533,0.00069630860931598,0.0107430471151608,0.0133293362354773,0.0456579502394335,0.029642852225166,0.00169103519405309,2.00790903010346e-07,2.92559876845442e-06,2.32602804874052e-05,0.000361085750259572,1.49059069605816e-06,9.70620743402138e-07,2.40363161722974e-06,4.24700925375667e-07,4.13806259250639e-05,0.000221675926732339,5.96835950842268e-06,4.07837899742217e-05,4.05172345145459e-06,1.59156253557938e-05,2.88470709573763e-06,1.49331851537594e-06,7.55992204400206e-07,0.000490639696524777,1.72335115094007e-05,3.61085750259572e-06,2.13320000961072e-06,3.3137270473675e-06,3.28924425721173e-08,5.96835950842268e-07,2.17845122057428e-05,5.05605810901102e-05,2.38734380336907e-07,1.06796367209792e-06,1.29314456015825e-05,1.68108792820572e-05,1.6022326493681e-05,9.2700403515205e-06,4.53508104671839e-06,0.00014125117503267,0,7.64137532401882e-07,6.19075151210234e-06,3.82174947537677e-07,3.39201765395356e-06,3.89503733647819e-06,9.25095723805516e-05,1.56672152180451e-06,4.89845747763297e-07,7.60144253997664e-06,7.76833353524523e-07,2.04970806505737e-07,0,3.87943368047474e-05,2.89467125116303e-06,1.79050785252681e-05,1.54182620634253e-06,3.68048836352732e-05,0.000138266995278459,0.00144377354894887
"10",0.69714152980777,0.00315448656021615,0.145007804064936,0.0302633554370737,0.0251844873245232,0.000690043935047284,0.00926630427063495,0.0137023009959389,0.0426841462679248,0.0295733115020264,0.00147866557510132,2.00790902394337e-07,2.95733115020265e-06,2.32602804160447e-05,0.000347979298673845,1.49059069148517e-06,9.70620740424361e-07,2.40363160985561e-06,4.24700924072723e-07,4.15507195408214e-05,0.000221675926052257,6.44636080060715e-06,3.54879738024317e-05,4.05172343902426e-06,1.87297639512834e-05,2.62556017561886e-06,1.49331851079457e-06,7.33980566677432e-07,0.000490639695019538,1.67582098511483e-05,3.62503896609672e-06,2.13320000306625e-06,3.31372703720128e-06,3.28924424712062e-08,5.43152133266322e-07,2.28275789882148e-05,5.05605809349949e-05,2.13478087725245e-07,1.06796366882151e-06,1.18293246008106e-05,1.60718774872704e-05,1.87297639512834e-05,7.88621640054039e-06,4.53508103280517e-06,0.000151809665710402,0,7.64137530057576e-07,6.19075149310967e-06,3.82174946365198e-07,3.46365218709413e-06,3.89503732452857e-06,8.57626033558767e-05,1.56672151699795e-06,4.89845746260494e-07,1.0843547550743e-05,7.76833351141268e-07,2.04970805876905e-07,0,3.64737508524993e-05,2.89467124228244e-06,2.07013180514185e-05,1.44101132777415e-06,3.15448656021616e-05,0.000131108347658984,-2.22044604925031e-16
