"","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Ba","Be","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","Ga","Gd","Ge","Hf","Hg","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1",0.378818142441807,8.83850075692504e-05,0.00318186027249302,0.0766298015625401,0.0634795594446113,0.00106062009083101,0.420359095999355,0.00380055532547777,8.83850075692504e-05,8.83850075692504e-05,5.62879578974911e-05,3.79776648824135e-07,4.05494075728744e-06,9.54558081747905e-06,7.01644881578813e-07,1.76770015138501e-07,4.24248036332402e-06,0.000657266897850511,0.00106062009083101,0.0254548821799441,5.74502549200128e-08,5.34729295793965e-05,4.50763538603177e-08,1.94447016652351e-06,9.72235083261755e-09,4.50763538603177e-06,1.50254512867726e-06,7.75739228313199e-06,1.50254512867726e-07,7.35679950003727e-08,9.72235083261755e-09,3.71217031790852e-07,1.77653865214193e-05,2.56316521950826e-08,3.97360819887111e-06,2.29801019680051e-07,2.29801019680051e-06,0.0211416938105647,0.00215659418468971,2.03285517409276e-05,6.27533553741678e-07,0.000656599235857398,1.77458330401431e-05,9.01527077206354e-05,3.09347526492377e-08,4.24990398247275e-06,2.73993523464676e-06,1.06062009083101e-06,7.95465068123254e-09,9.72235083261755e-08,2.35449879134482e-07,1.23739010596951e-08,2.38639520436976e-08,0.000322605277627764,6.53293495363742e-05,3.18186027249302e-07,1.23739010596951e-07,0.00057538639927582,6.89403059040153e-06
"2",0.404454576512242,2.73958846136086e-05,0.00537872534580516,0.0820963342254472,0.0655872428177254,0.00119628696146091,0.411212228050265,0.00424636211510934,0.000566181615347911,0.000164375307681652,5.81568617463057e-05,3.92386202753413e-07,4.18957513862014e-06,0.00012392071806889,7.24941282241844e-07,1.40879397811959e-06,4.65730038431346e-06,0.000679089836201345,0.000806534843024637,0.00451191955663058,2.88194544910693e-07,6.57501230726607e-05,1.62469235972442e-07,2.46562961522478e-06,7.14812104428543e-08,3.56146499976912e-06,2.10035115370999e-06,8.01495750376254e-06,4.20070230741999e-06,7.60106401795807e-08,3.70670876623031e-08,4.0180630766626e-07,7.08640215338676e-05,4.78334500902144e-08,4.10554213170406e-06,1.74759668000818e-06,1.81726034603604e-06,0.0152412438067043,0.00159261409220445,2.91309573058038e-05,2.82433217047863e-06,0.00067840000612619,0.000159444048451202,9.68901119167958e-05,2.18645455088661e-07,4.39101164042689e-06,3.7167083459129e-05,9.13196153786954e-08,4.7766562733727e-08,8.2537813227022e-07,2.4326741598879e-07,3.68371908284816e-08,3.89292127244865e-07,0.000141819362683114,6.7498450661191e-05,8.40140461483997e-06,3.41209658722504e-07,0.000318979416517783,0.000332586039209209
"3",0.380720525478014,0.000349284885759646,0.0026655951807973,0.0743609138367246,0.0660163482427223,0.00101108782719898,0.420796370265173,0.00229792687999767,0.00790486846719199,0.0110300490239888,0.000183834150399814,3.94953394802686e-07,4.2169854907432e-06,1.83834150399814e-05,7.29684220405576e-07,1.41801103181392e-06,7.35336601599255e-06,0.000683532790657962,0.00068018635647931,0.00353972656594841,2.90080061626488e-07,9.19170751999068e-05,2.57367810559739e-07,2.63802005823733e-06,9.19170751999068e-08,5.88681984816104e-06,3.67668300799627e-06,8.0673954718525e-06,8.37344702651533e-07,7.65079408230792e-08,5.51502451199441e-08,2.12169572270141e-06,2.7575122559972e-05,4.59585375999534e-08,0.000182914979647815,2.7575122559972e-05,3.17113909439679e-06,0.0243120663903754,0.00122617378316676,2.49095273791747e-05,2.84281040198035e-06,0.000682838447360192,2.29792687999767e-05,8.74223302226314e-05,2.84942933119711e-07,4.41973989359296e-06,7.88815800320047e-06,1.73723272127824e-06,5.51502451199441e-07,1.74642442879823e-06,2.44858996354745e-07,4.59585375999534e-08,3.91839076263192e-07,0.000287891888295564,6.79400601894051e-05,1.69127418367829e-06,2.48176103039748e-07,0.000615844403839376,1.98962368489518e-05
"4",0.341838484294369,0.000154302093605097,0.0038600957812308,0.0867313416252825,0.0608913680258202,0.00117676541716415,0.433656708126412,0.00864769975149444,0.000323864833830478,0.00011892498972432,5.39929827765835e-05,1.43280515490447e-07,1.90079831792652e-06,8.87491382339645e-06,6.73037385285057e-07,8.4950932852916e-07,5.20388049751695e-06,0.000630468782681542,0.00113033659544933,0.031498144187007,8.7155248475846e-07,0.000136243661771094,1.50836864235405e-07,2.48239851689958e-06,9.07160660205789e-08,5.17590264537976e-06,4.40863124585991e-08,3.22864413663148e-05,1.7549743613327e-07,7.05684774387587e-08,9.74985756295942e-08,6.18904001822641e-07,1.81432171833162e-05,5.84991453777565e-08,2.97158702244981e-06,1.61932416915239e-07,2.10257797879473e-06,0.0246567115257635,0.00165032023806559,2.35327649021795e-05,2.42644281262521e-06,0.00151758652501716,2.1551424282646e-05,0.000149100756548683,1.7804087723665e-08,7.60149764430384e-06,4.1246136559824e-06,6.18904001822641e-08,1.18693918157767e-08,7.03685371935332e-08,2.25850106198708e-07,2.37387836315534e-08,6.18904001822641e-08,0.000387277907419966,7.53290951588267e-05,3.13691069416955e-07,1.63628044317493e-07,0.00056385461039477,7.74308253239203e-06
"5",0.386495487581597,8.95287207740554e-05,0.00358114883096222,0.0778004583526541,0.064300992992774,0.00116387337006272,0.41326457509304,0.00456596475947683,0.000805758486966499,0.000125584219551228,5.70163312097683e-05,3.84691006814051e-07,4.10741220483671e-06,0.000125340209083678,7.10724255312155e-07,2.68586162322166e-05,9.04357994986767e-06,0.000665772014847461,0.00103853316097904,0.021280976927993,2.82542680813074e-07,8.95287207740554e-05,1.59283006191289e-07,2.50257440307086e-06,7.00793723647549e-08,5.73385792886621e-06,5.55447581218356e-07,7.85777392288146e-06,8.15587309673225e-07,7.45199741837995e-08,3.63401546038485e-08,2.06656601629373e-06,1.91591504476644e-05,4.68953748767716e-08,4.02502719280183e-06,1.71332407108036e-06,1.79057441548111e-05,0.0202961609994784,0.00202334908949365,2.09092369217906e-05,2.7689433996779e-06,0.0006650957132235,1.79057441548111e-05,0.000116387337006272,2.14357537709426e-07,3.58114883096222e-05,7.68319372384556e-06,4.05725106573334e-07,4.68297992670032e-08,8.09191410088565e-07,2.38496630424568e-07,3.61147663413521e-08,3.81657610088606e-07,0.000313350522709194,0.000331256266864005,1.93624954753491e-06,3.34518100350044e-07,0.000590889557108766,1.9379257112242e-05
"6",0.38210704287694,7.62680292282258e-05,0.00348344428990198,0.0831560675358651,0.0641504286855637,0.00098250992792107,0.409081406352591,0.00419799696475366,0.000371681209272318,0.000125290157202682,5.68828243382767e-05,3.83790231690134e-07,4.09779447353483e-06,3.13509986091178e-06,3.03684886811967e-08,1.37793164864658e-06,5.1358473504965e-06,0.000664213073103175,0.00106289710384189,0.0250897307957299,9.3785038574284e-08,5.8325362084769e-05,4.93934536491229e-08,2.39375146075315e-06,1.22367145568351e-08,5.26089406859555e-06,1.0271694700993e-06,8.71754263319059e-06,1.50949252562419e-07,7.43454815707916e-08,1.33085435691127e-08,2.90287024158498e-07,1.8399731377431e-05,3.29587421275341e-08,4.01560237053112e-06,1.00930565322801e-07,1.80424550400051e-06,0.0213740568865011,0.00212579420768377,2.12579420768377e-05,2.34016001013928e-06,0.000663538355076616,1.79333758278667e-05,8.18162812705182e-05,4.44809040095175e-08,4.29481812308411e-06,1.7059945112084e-06,1.06289710384189e-07,9.02122752000256e-09,2.81355115722852e-08,2.37938177463571e-07,1.65240306059453e-08,1.9382241305352e-08,0.000309937222716919,6.60197678618767e-05,2.58132153790172e-07,1.36658199065385e-07,0.000603797010249676,5.86826384221948e-06
"7",0.40598586641831,9.41962567095847e-05,0.00414463529522173,0.0815739583105004,0.0676532937169341,0.0012245513372246,0.378197970688983,0.00452142032206007,0.000282588770128754,0.000188392513419169,1.69553262077253e-05,4.04746683728178e-07,4.32155012507451e-06,0.000443664369102144,8.47766310386263e-07,1.45317212149394e-06,9.41962567095847e-06,0.000700481712219467,0.00109550246553247,0.0276560209699341,1.13035508051502e-06,3.86204652509297e-05,2.82588770128754e-07,2.54329893115879e-06,9.41962567095847e-08,7.34730802334761e-06,2.26071016103003e-06,8.26743511139408e-06,9.41962567095847e-07,7.84050364790088e-08,6.59373796967093e-08,2.63749518786837e-06,2.01580033569377e-05,4.70981283547924e-08,2.4491026744492e-06,4.52142032206007e-06,3.95624278180256e-06,0.0209775063692245,0.00308021759440342,2.4491026744492e-05,1.2245513372246e-05,0.000699770151942129,1.89126084903601e-05,8.10087807702429e-05,3.76785026838339e-07,1.78972887748211e-06,2.92008395799713e-05,1.88392513419169e-07,6.59373796967093e-08,6.59373796967093e-07,1.88392513419169e-07,7.53570053676678e-08,1.88392513419169e-07,0.000324977085648067,5.93436417270384e-05,2.16651390432045e-06,2.63749518786837e-07,0.000769583417317307,2.54329893115879e-05
"8",0.381251372618232,7.5584858817707e-05,0.00327520334034701,0.0793130322419168,0.0694874222208758,0.00115074711958138,0.406567809249022,0.00424891244153126,0.000354076036794272,0.000124167871377333,5.63732967833118e-05,3.80352433011054e-07,8.85190091985679e-06,4.60298847832553e-06,7.02708654269675e-07,1.365588834238e-06,3.54076036794272e-06,0.000658263388518223,0.00107993191222253,0.0271222244184412,2.79356143432447e-07,5.16065823627651e-05,1.57486600593853e-07,1.94741820236849e-06,6.92890119880198e-08,5.66919105243905e-06,5.49183202061771e-07,1.77038018397136e-05,8.06389055299905e-07,7.36795323692861e-08,3.59303076358446e-08,8.85190091985679e-07,1.89430721231194e-05,4.63664853490255e-08,3.97963263658472e-06,1.69400107470362e-06,1.77038018397136e-06,0.0211206355947783,0.00214216002260534,2.26608663548334e-05,2.73771504995558e-06,0.000657594714274306,1.32778513797852e-05,7.96671082787111e-05,2.11939997446962e-07,4.256347315723e-06,1.41630414717709e-06,4.01149308627925e-07,4.63016493058641e-08,8.00065289146733e-07,2.35806847678066e-07,3.57074613189457e-08,3.7735324715962e-07,0.000292112730355274,5.31114055191407e-05,1.91441238104492e-06,3.30745380319943e-07,0.000708152073588543,7.08152073588543e-06
"9",0.381635229167641,7.60316741554893e-05,0.00641104444705324,0.0774667870685599,0.0639516261284308,0.00129111311780933,0.407101322387881,0.00409594506339512,0.000370529367011002,0.000124901882266008,5.67065441299118e-05,3.82600863496874e-07,4.08509538427485e-06,2.60412646805665e-05,7.0686267413068e-07,1.37366143033444e-06,8.99444342766999e-06,0.00066215467286923,0.00120207083382248,0.0289387422957264,2.81007540438961e-07,0.000106850740784221,3.56169135947402e-08,2.48897715470356e-06,6.96986098066874e-08,4.98636790326363e-06,5.52429665464254e-07,7.81508024571751e-06,8.11155975603305e-07,7.41150844845929e-08,3.61427074840953e-08,4.09594506339512e-07,1.86988796372386e-05,3.56169135947402e-08,4.00315799508348e-06,1.70401505996782e-06,3.54527036758542e-06,0.0209249367369099,0.00338360679150032,2.07956306740613e-05,2.7538988874851e-06,0.000661482045797818,1.78778001903276e-05,8.19189012679025e-05,2.13192867969313e-07,4.28150845637129e-06,7.64144859403485e-06,4.03520678590632e-07,4.65753587153686e-08,8.04794826887621e-07,2.37200805647224e-07,3.59185438246239e-08,3.79583948139025e-07,0.000320552222352662,6.5815172211603e-05,3.29456450751347e-07,1.95893024771071e-07,0.000908231296665875,1.92739637104533e-05
"10",0.384957809973977,7.65507335839943e-05,0.00340670628295555,0.0810437494682058,0.0643882164689553,0.00113855709982988,0.404770496514324,0.00421355777102397,0.000373058928060674,0.000125754572941944,5.70936731352309e-05,3.85212835254146e-07,4.11298385706073e-06,3.76530694431929e-05,7.11688343691966e-07,1.38303925773214e-06,9.00087660022994e-06,0.000666675126086905,0.00089797492385968,0.0269846997676216,1.43440264545497e-07,6.15621574232633e-05,2.68950496022807e-07,2.93156040664859e-06,7.17201322727485e-08,5.74163583395301e-06,2.86880529090994e-07,7.86843289290198e-06,5.46866008579707e-07,7.46210595775193e-08,4.48250826704678e-08,2.07988383590971e-06,1.91851395906767e-05,4.48250826704678e-08,4.03048709080869e-06,8.78571620341169e-07,3.4784264152283e-06,0.0227711419965976,0.00210113092509551,2.51916964608029e-05,3.45153136562602e-06,0.000665997907068425,1.79998498604525e-05,7.98782973187736e-05,2.5102046295462e-07,4.31073781843897e-06,1.96692462758013e-05,4.0342574403421e-07,4.48250826704678e-08,1.05787195102304e-06,2.38820148059287e-07,3.61637555608828e-08,3.13775578693275e-07,0.000331705611761462,6.62644847652796e-05,1.59577294306865e-06,2.42055446420526e-07,0.000627551157386549,1.81362284484713e-05
