"","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","B","Ba","Be","Bi","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"51",0.6934,0.00487,0.1485,0.0267,0.0155497876978983,0.00047,0.0107,0.017,0.0361,0.0501,0.002,7e-06,2.27812441242191e-05,0.000125507241725003,0.0072,9e-05,2e-05,9.86890011433918e-07,0.00102,0.00143954556927829,6e-05,0.0058,0.000138,6e-04,2.3e-05,1e-05,1.45e-05,0.00262234316246635,0.00027,3.8e-05,2e-05,5.2e-05,4e-06,2.63264978450146e-07,0.000505,0.000983908170039143,1.2e-06,4e-05,0.00013,0.000394,0.000182383927666415,0.00038,0.000108,0.00291,0.0039130825896953,3.22191107906251e-06,5e-05,3.09664829721457e-06,6.3e-05,4e-05,0.00465,1e-05,5e-06,2.65178877094226e-06,0.000243,1.2e-05,1.3e-06,8.1e-05,0.00043,0.00021,0.00011,8e-06,4e-04,0.00163
"52",0.683173,0.004945,0.151192,0.026734,0.0155497876978983,0.000445,0.011906,0.017239,0.037957,0.051069,0.002069,2.66219917117261e-06,2.34033e-06,0.0001274615,0.007160063,8.49074e-05,6.058449e-05,4.5541e-07,0.0009846376,0.00143954556927829,5.548606e-05,0.005041349,0.0001391077,0.0005470448,2.35936e-05,1.083838e-05,1.357986e-05,0.00262234316246635,0.000249598,3.68378e-05,1.186427e-05,4.976121e-05,3.90647e-06,2.63264978450146e-07,0.0004900771,0.001009747,1.35085e-06,4.535911e-05,0.0001271202,0.0003737072,0.0002004052,0.0004202873,0.0001122556,0.002724269,0.0039130825896953,3.22191107906251e-06,4.615033e-05,3.09664829721457e-06,5.765198e-05,4.11331e-05,0.004626546,9.49103e-06,4.91248e-06,2.65178877094226e-06,0.0002402853,1.427124e-05,1.47507e-06,7.956702e-05,0.0004130175,0.000195078,0.0001124538,9.42961e-06,0.0003249468,0.001783687
"53",0.681,0.00493,0.147,0.0265,0.0155497876978983,0.00045,0.0109,0.0171,0.0393,0.051,0.00205,2.03e-06,3.7e-05,0.000125507241725003,0.00697,8.98e-05,5.78e-05,1.17e-06,0.000999,0.0024,5.74e-05,0.00493,0.000144530975634658,0.000579,2.33e-05,1.12e-05,1.35e-05,0.0109,0.000245,4.19e-05,2.41e-05,5.71e-05,4.06e-06,2.63264978450146e-07,0.000489,0.00103,1.43e-06,4.33e-05,0.000121,0.000385,0.000216,0.000415,0.0001095,0.00257,0.0109,2.38e-06,4.35e-05,3.09664829721457e-06,5.94e-05,4.06e-05,0.00446,1.09e-05,4.93e-06,2.19e-06,0.000258,1.35e-05,1.48e-06,8.5e-05,0.000419,0.000221,0.000107,9.5e-06,0.000344,0.00178
"54",0.6807,0.00492,0.1547,0.0318,0.0155497876978983,0.00051,0.01184,0.00712,0.04041,0.0507,0.00262,2.66219917117261e-06,4e-05,0.000125507241725003,0.00686,8.04303718871581e-05,4.62663753545762e-05,9.86890011433918e-07,0.00087,0.00143954556927829,7e-05,0.00565,0.00012,0.00058,2.29256578593589e-05,1.038372924083e-05,1.36014824716436e-05,0.01328,0.000236945286108005,4.08815303569763e-05,1.65662633474751e-05,4.653684156664e-05,3.8556793245135e-06,2.63264978450146e-07,0.00038,0.000983908170039143,1.3816677107498e-06,5e-05,0.00011,0.00034,0.00019,0.00037,0.000104127479730135,0.00266,0.00797,3.22191107906251e-06,4.99467104776646e-05,3.09664829721457e-06,5.98272974988852e-05,4.33801344036699e-05,0.00435,1.0255202582246e-05,4.89941446699324e-06,2.65178877094226e-06,0.00029,1.29902688327133e-05,1.43883836204614e-06,5e-05,4e-04,0.000204836292960321,0.00012,9.22155724152813e-06,0.00037,0.00168
"55",0.67473,0.00509,0.15224,0.02629,0.0155497876978983,0.000460382894986566,0.01021,0.01648,0.03285,0.05108,0.0021,2.66219917117261e-06,2.564e-05,0.000125507241725003,0.004441,0.0001058,4.62663753545762e-05,9.86890011433918e-07,0.00073528,0.00143954556927829,9.914e-05,0.004658,0.000144530975634658,0.0005341,1.724e-05,9.14e-06,1.441e-05,0.00262234316246635,0.0001697,4.373e-05,1.65662633474751e-05,4.653684156664e-05,3.03e-06,2.63264978450146e-07,0.00039244,0.000983908170039143,1.58e-06,5.002e-05,0.000119229741679772,0.00028761,0.0001173,0.0004015,8.339e-05,0.00230897,0.0039130825896953,3.22191107906251e-06,4.99467104776646e-05,3.09664829721457e-06,4.369e-05,4.33801344036699e-05,0.00439325388430581,1.0255202582246e-05,4.55e-06,2.65178877094226e-06,0.00016901,1.29902688327133e-05,1.14e-06,5.001e-05,0.000394955720931286,0.000204836292960321,8.99e-05,7e-06,0.0003409,0.00162170758739754
"56",0.687,0.0049,0.153,0.0266,0.0155497876978983,5e-04,0.0116,0.0171,0.0386,0.0514,0.002,2.66219917117261e-06,2.27812441242191e-05,0.00026,0.00717,9e-05,5.9e-05,9.86890011433918e-07,0.00105,0.00143954556927829,6e-05,0.00528,0.000141,0.00054,2.45e-05,1.05e-05,1.38e-05,0.00262234316246635,0.000263,4.39e-05,2e-05,5e-05,4e-06,2.63264978450146e-07,0.000504,0.00106,1.4e-06,4e-05,1e-04,0.000399,2e-04,0.00045,0.000114,0.00275,0.00909,3.22191107906251e-06,4.99467104776646e-05,3.09664829721457e-06,5.9e-05,4e-05,0.00464,1.0255202582246e-05,5.6e-06,2.65178877094226e-06,0.00024,1.29902688327133e-05,1.4e-06,8.55e-05,0.00042,2e-04,0.000108,1e-05,0.00032,0.00185
"57",0.6792,0.0048,0.1508,0.0257,0.0155497876978983,4e-04,0.0113,0.0169,0.0379,0.0509,0.0021,2.66219917117261e-06,2.27812441242191e-05,0.000125507241725003,0.007005,8.04303718871581e-05,4.62663753545762e-05,9.86890011433918e-07,0.0009805,0.00143954556927829,5.95389147141074e-05,0.005163,0.000145,0.00049,2.111e-05,9.27e-06,1.285e-05,0.00262234316246635,0.00023,3.54e-05,1.65662633474751e-05,4.56e-05,3.54e-06,2.63264978450146e-07,0.0004515,0.000983908170039143,1.309e-06,3.7e-05,0.00013,0.0003535,0.00018,0.000358,0.0001034,0.00269,0.0039130825896953,3.22191107906251e-06,4.59e-05,3.09664829721457e-06,5.4e-05,4.33801344036699e-05,0.004578,1.03e-05,4.49e-06,2.65178877094226e-06,0.000222,1.29902688327133e-05,1.27e-06,7.88e-05,0.000428,0.000204836292960321,0.000123,8.46e-06,0.000295,0.001738
"58",0.6876,0.00486,0.1526,0.0263,0.0155497876978983,0.00045,0.0111,0.0171,0.0386,0.051,0.00215,2.66219917117261e-06,2.27812441242191e-05,0.000125507241725003,0.007,8.04303718871581e-05,4.62663753545762e-05,9.86890011433918e-07,0.000804,0.0019,5.95389147141074e-05,0.004905,0.000144530975634658,0.00055,2.29256578593589e-05,1.038372924083e-05,1.36014824716436e-05,0.00262234316246635,0.00023,4.08815303569763e-05,1.65662633474751e-05,4.653684156664e-05,3.8556793245135e-06,2.63264978450146e-07,0.000428,0.000983908170039143,1.3816677107498e-06,4.2729798701399e-05,0.000128,0.000359965715939479,0.00016,4e-04,0.000104127479730135,0.00266,0.0055,3.22191107906251e-06,4.99467104776646e-05,3.09664829721457e-06,5.98272974988852e-05,4.33801344036699e-05,0.0045,1.0255202582246e-05,4.89941446699324e-06,2.65178877094226e-06,0.000248,1.29902688327133e-05,1.43883836204614e-06,7.49332037871684e-05,0.000435,0.000204836292960321,0.000111804576529345,9.22155724152813e-06,0.000335,0.001695
"59",0.68582,0.00492,0.15234,0.02676,0.0155497876978983,0.00046,0.01127,0.01727,0.03812,0.05103,0.00209,1.88e-06,3.806e-05,0.000125507241725003,0.00655107,5.456e-05,2.587e-05,5.04e-07,0.00041727,0.00143954556927829,2.604e-05,0.00255144,0.00012022,0.00036914,1.935e-05,8.66e-06,1.116e-05,0.00262234316246635,0.00017592,3.128e-05,3.935e-05,3.739e-05,3.22e-06,2.63264978450146e-07,0.00035102,0.00058892,1.03e-06,4.954e-05,0.00012885,0.00028622,0.00011429,0.00014339,8.177e-05,0.00135423,0.0039130825896953,3.41e-06,3.448e-05,2.206e-05,4.685e-05,4.473e-05,0.00256079,2.118e-05,3.76e-06,2.65178877094226e-06,0.00016132,1.134e-05,1.15e-06,3.031e-05,0.0003823,0.00020868,8.675e-05,8.1e-06,0.00020566,0.00128859
"60",0.6829,0.0049,0.1521,0.0272,0.0155497876978983,4e-04,0.0116,0.017,0.0389,0.0513,0.0021,2.66219917117261e-06,2.27812441242191e-05,0.000125507241725003,0.00721,9.03e-05,4.62663753545762e-05,9.86890011433918e-07,0.00098,0.00143954556927829,5.66e-05,0.00502,0.000147,0.000557,2.39e-05,1.07e-05,1.38e-05,0.00262234316246635,0.000242,4.14e-05,1.77e-05,5.32e-05,4e-06,2.63264978450146e-07,0.000477,0.00104,1.4e-06,4.2729798701399e-05,0.000128,0.000399,0.000187,0.000439,0.000108,0.00262,0.0039130825896953,3.22191107906251e-06,5.03e-05,3.09664829721457e-06,5.95e-05,4.33801344036699e-05,0.0046,9.8e-06,4.9e-06,2.65178877094226e-06,0.000254,1.29902688327133e-05,1.5e-06,8.55e-05,0.000403,0.000204836292960321,0.000118,9.5e-06,0.000322,0.00193
"61",0.6797,0.0049,0.1515,0.0269,0.0238,0.00045,0.0112,0.0171,0.0368,0.0511,0.00206,2.66219917117261e-06,2.27812441242191e-05,0.000125507241725003,0.00718,8.04303718871581e-05,4.62663753545762e-05,9.86890011433918e-07,0.000921,0.00143954556927829,5.95389147141074e-05,0.00479,0.000137,0.00052,2.17e-05,9.5e-06,1.3e-05,0.00262234316246635,0.00024,3.4e-05,1.65662633474751e-05,5.31e-05,3.7e-06,2.63264978450146e-07,0.000467,0.000983908170039143,1.4e-06,4.71e-05,0.000131,0.000351,0.00013,0.000398,0.000101,0.00271,0.0039130825896953,3.22191107906251e-06,2.59e-05,3.09664829721457e-06,5.55e-05,4.33801344036699e-05,0.0045,9.6e-06,4.3e-06,2.65178877094226e-06,0.000237,1.29902688327133e-05,1.3e-06,7.78e-05,4e-04,0.000325,0.00011,8.7e-06,0.00034,0.0017
"62",0.6853,0.0049,0.1548,0.0273,0.0155497876978983,0.00046,0.012,0.0182,0.0366,0.0504,0.0021,2.66219917117261e-06,2.27812441242191e-05,0.000125507241725003,0.0072968,8e-05,4.62663753545762e-05,9.86890011433918e-07,0.000994,0.00143954556927829,6.3e-05,0.005339,0.000139,0.000508,2.4e-05,1.1e-05,1.4e-05,0.00262234316246635,0.000245,4.5e-05,1.65662633474751e-05,5.2e-05,4e-06,2.63264978450146e-07,0.000495,0.000983908170039143,1e-06,4.9e-05,0.000131,0.000386,0.000177,0.000413,0.000112,0.002753,0.0039130825896953,3.22191107906251e-06,4.73e-05,3.09664829721457e-06,6e-05,3.8e-05,0.0045068,1e-05,5e-06,2.65178877094226e-06,0.000243,1.7e-05,2e-06,7.9e-05,0.000443,0.000185,0.000121,9e-06,0.0003313,0.0018299
"63",0.6907,0.005,0.15,0.027,0.0155497876978983,5e-04,0.0112,0.0175,0.0386,0.0508,0.002,2.66219917117261e-06,4.6e-05,0.000125507241725003,0.006966,8.04303718871581e-05,2.2e-05,9.86890011433918e-07,0.000589,0.00143954556927829,5.95389147141074e-05,0.003858,0.000144530975634658,0.000488,2.29256578593589e-05,1.038372924083e-05,1.36014824716436e-05,0.00262234316246635,0.000218,4.08815303569763e-05,1.65662633474751e-05,4.653684156664e-05,3.8556793245135e-06,2.63264978450146e-07,0.000366,0.000983908170039143,1.3816677107498e-06,3.9e-05,0.000116,0.00023,0.000148,0.000382,0.000104127479730135,0.002545,0.0039130825896953,3.22191107906251e-06,4.2e-05,3.09664829721457e-06,5.98272974988852e-05,4.33801344036699e-05,0.004315,1.0255202582246e-05,4.89941446699324e-06,2.65178877094226e-06,0.000231159026608117,1.29902688327133e-05,1.43883836204614e-06,7.6e-05,0.000348,0.000175,0.000139,9.22155724152813e-06,0.000306,0.001566
"64",0.6861,0.00516,0.1523,0.02579,0.018,0.000461,0.01172,0.01573,0.03797,0.04749,0.002018,2.66219917117261e-06,2.27812441242191e-05,0.000125507241725003,0.00700600660991434,8.04303718871581e-05,4.62663753545762e-05,9.86890011433918e-07,0.000992,0.00143954556927829,5.95389147141074e-05,0.00470871032896094,0.000144530975634658,0.000518489021888888,2.18e-05,1.012e-05,1.33e-05,0.01277,0.000236945286108005,3.73e-05,1.65662633474751e-05,4.653684156664e-05,3.76e-06,2.63264978450146e-07,0.000493,0.001184,1.35e-06,4.2729798701399e-05,0.000119229741679772,0.000372,0.000182383927666415,0.000394339787386731,0.0001061,0.00264536483970723,0.01026,3.22191107906251e-06,4.99467104776646e-05,3.09664829721457e-06,5.83e-05,4.33801344036699e-05,0.00483,1.0255202582246e-05,4.66e-06,2.65178877094226e-06,0.000231159026608117,1.29902688327133e-05,1.5e-06,7.49332037871684e-05,0.000394955720931286,0.000204836292960321,0.0001085,9.22e-06,0.000329727192824634,0.00162170758739754
"65",0.6836,0.0048,0.1514,0.0269,0.0155497876978983,5e-04,0.0116,0.0171,0.0386,0.051,0.0022,2.66219917117261e-06,3e-05,0.000125507241725003,0.00705,8.04303718871581e-05,4.62663753545762e-05,9.86890011433918e-07,0.00094,0.00143954556927829,5.95389147141074e-05,0.00554,0.000144530975634658,0.00049,2.29256578593589e-05,1.038372924083e-05,1.36014824716436e-05,0.00262234316246635,0.00024,4.08815303569763e-05,1.65662633474751e-05,4.653684156664e-05,3.8556793245135e-06,2.63264978450146e-07,0.00049,0.000983908170039143,1.3816677107498e-06,4.2729798701399e-05,0.00012,0.000359965715939479,0.00017,0.00043,0.000104127479730135,0.0027,0.0039130825896953,3.22191107906251e-06,6e-05,3.09664829721457e-06,5.98272974988852e-05,4.33801344036699e-05,0.00453,1.0255202582246e-05,4.89941446699324e-06,2.65178877094226e-06,0.00025,1.29902688327133e-05,1.43883836204614e-06,8e-05,0.00039,0.000204836292960321,0.00011,9.22155724152813e-06,0.00034,0.00166
"66",0.695225,0.0052,0.15735,0.028125,0.0155497876978983,0.000505,0.012015,0.015575,0.04339,0.051695,0.00179,2.2e-06,2.22e-05,0.000125507241725003,0.0074833,7.79e-05,4.84e-05,1e-06,0.0010211,0.00143954556927829,5.6e-05,0.0051165,0.000119,0.0005252,2.12e-05,1.02e-05,1.39e-05,0.00262234316246635,0.0002396,4.51e-05,1.72e-05,4.653684156664e-05,3.6e-06,2.63264978450146e-07,0.0005184,0.0009787,1.2e-06,4.43e-05,0.0001102,0.0003563,0.0001837,0.0003842,0.0001032,0.0025197,0.00106,2.2e-06,4.72e-05,7e-07,5.49e-05,3.92e-05,0.0043583,1.0255202582246e-05,4.9e-06,2.65178877094226e-06,0.000222,1.1e-05,1.3e-06,6.6e-05,0.0004138,0.0001888,9.8e-05,8.1e-06,0.0003118,0.0009097
"67",0.6803,0.005,0.1523,0.0265,0.0154,0.00052,0.0117,0.0168,0.038,0.0508,0.0021,3.142e-06,1.849e-05,0.0001686,0.006681,8.125e-05,5.524e-05,1.095e-05,0.0008149,0.00143954556927829,5.525e-05,0.005062,0.0001354,0.0005545,2.244e-05,1.088e-05,1.375e-05,0.00262234316246635,0.0002346,4.11e-05,4.025e-05,5.726e-05,4.221e-06,2.63264978450146e-07,0.0004147,0.0009793,1.627e-06,4.321e-05,0.0001248,0.0003459,0.000191,4e-04,9.82e-05,0.001633,0.0039130825896953,2.119e-05,3.68e-05,1.129e-05,5.571e-05,4.48e-05,0.004032,1.094e-05,5.05e-06,1.979e-06,0.0002055,1.405e-05,1.717e-06,6.947e-05,0.0003237,0.0002019,9.858e-05,9.476e-06,0.0004069,0.001715
"68",0.677,0.00502,0.153,0.0284,0.0155497876978983,0.00044,0.0115,0.0171,0.0397,0.0525,0.00178,2.5e-06,1.95e-05,0.000125507241725003,0.00682,6.46e-05,5.36e-05,9.86890011433918e-07,0.000885,0.00143954556927829,8.35e-05,0.00644,0.00014,0.000542,2.17e-05,1.05e-05,1.33e-05,0.00262234316246635,0.000235,4.07e-05,1.65662633474751e-05,2.82e-05,3.71e-06,3.5e-07,0.000437,0.000905,1.21e-06,4.01e-05,0.000126,0.000361,0.000193,0.000407,0.000105,0.00282,0.00914,2.2e-06,3.96e-05,1.1e-06,5.71e-05,4.06e-05,0.00506,1.11e-05,4.89941446699324e-06,1.3e-06,0.000261,1.34e-05,1.39e-06,7.84e-05,0.000402,0.000186,0.000103,8.56e-06,0.000222,0.000869
"69",0.682952,0.005032,0.15504,0.028175,0.0155497876978983,0.000432,0.011802,0.01653,0.038529,0.050733,0.002467,2.66219917117261e-06,2.27812441242191e-05,0.000125507241725003,0.00735,8.33e-05,4.62663753545762e-05,4.8e-07,0.00101,0.00143954556927829,5.9e-05,0.0058713,0.000144,0.000563,2.3e-05,1.1e-05,1.44e-05,0.00262234316246635,0.0002588,4.63e-05,1.65662633474751e-05,5.03e-05,3.8e-06,2.63264978450146e-07,0.000498,0.000983908170039143,1.3e-06,4.2729798701399e-05,0.000129,0.000383,0.000195,0.00053,0.000111,0.0032364,0.0039130825896953,3.22191107906251e-06,6.08e-05,3.09664829721457e-06,5.96e-05,4.33801344036699e-05,0.00502,9.5e-06,5.3e-06,2.65178877094226e-06,0.000231159026608117,1.29902688327133e-05,1.4e-06,9.04e-05,0.000333,0.000204836292960321,0.000111,9.5e-06,0.00032,0.00177
