"","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Ba","Be","Bi","Cd","Ce","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1",0.438881682123649,0.0106509731763055,0.158415112097584,0.0946722981393888,0.0708615766423589,0.00157590929649418,0.0777448586270461,0.109996657505298,0.0188022281581719,0.00169364964623225,0.00127702994715908,3.62277999194064e-07,1.44911199677626e-05,0.00154873844655462,3.62277999194064e-06,4.97074304559555e-06,9.0569499798516e-07,9.67282257848151e-05,0.000420969498252206,0.00277142669383459,4.5284749899258e-07,0.000869467198065754,2.93445179347192e-05,1.90195949576884e-05,8.78524148045605e-06,0.00135854249697774,0.000151251064663522,2.41820564462038e-05,1.26797299717922e-05,1.17740349738071e-05,5.97758698670206e-06,4.34733599032877e-05,5.4761601054059e-05,2.807654493754e-06,8.15125498186644e-06,3.53221049214212e-05,7.44481288343802e-05,0.00116834654740086,1.81138999597032e-05,1.4400550467964e-05,2.2642374949629e-05,0.00143099809681655,1.93781808272812e-06,0.000253594599435845,2.30952224486216e-05,1.53968149657477e-05,0.00153062454659492,1.81138999597032e-06,4.34733599032877e-06,2.71708499395548e-06,2.85636087061362e-07,2.7123877464055e-06,2.53594599435845e-06,0.00205592764542631,4.57821527542955e-06,0.000187478864582928,1.79327609601062e-05,0.000615872598629909,0.000480018348932135
"2",0.439121929908516,0.0106134976753845,0.160586834392774,0.0973673047611358,0.0660600729333787,0.00138436926200667,0.0778015525247748,0.109365171698527,0.0181813829743543,0.00193811696680934,0.00129207797787289,1.09284339959233e-06,2.36486940156686e-05,0.00155049357344747,3.32248622881601e-06,5.06524006202557e-06,1.52826672586475e-06,0.000312867453213507,0.00043653777395277,0.00287948806497387,3.69165136535112e-07,0.000802934171963869,3.0363832480013e-05,1.94734609522272e-05,9.69058483404669e-06,0.00139627083955972,0.000146743141772707,2.59338508415916e-05,1.25392648660597e-05,1.36591100517991e-05,6.92184631003335e-06,4.6976263624093e-05,5.58026542461215e-05,2.67644723987956e-06,7.15300054257586e-06,3.50706879708356e-05,7.79861350930424e-05,0.00142128577566018,3.04561237641467e-05,1.59663921551436e-05,1.69815962806152e-05,0.00133503725711878,1.97465724852733e-06,0.000326711145833574,2.18730343397054e-05,1.18501110152933e-05,0.00152280618820734,2.49186467161201e-06,4.6145642066889e-06,2.86102980814712e-06,1.84582568267556e-07,2.86102980814712e-06,3.04561237641467e-06,0.00230728210334445,4.6652500869525e-06,0.000189197132474245,1.8273674258488e-05,0.000666437919605096,0.000476223026130294
"3",0.443860217958738,0.0104740353647891,0.159591223058234,0.0946338282959014,0.0665193123167307,0.00147004005119847,0.0782796327263184,0.106302271202289,0.0203049282071788,0.00183755006399809,0.00128628504479866,1.08794371955532e-06,2.3542666899603e-05,0.00157110530471836,4.59387515999521e-06,5.04253044450501e-06,9.18775031999043e-07,9.83089284238976e-05,0.000402423464015581,0.00269201084375719,0,0.000836085279119129,2.82982709855705e-05,2.07643157231784e-05,8.08522028159158e-06,0.00139001076573632,0.000128628504479866,2.51744358767738e-05,1.01065253519895e-05,1.52331396930333e-05,5.97203770799378e-06,4.68575266319512e-05,5.51265019199426e-05,2.57257008959732e-06,2.66444759279722e-06,3.67510012799617e-05,7.07456774639263e-05,0.00120818916707874,2.57257008959732e-05,1.5343543034384e-05,1.83755006399809e-05,0.00132905171939231,1.96580402334962e-06,0.000321571261199665,2.02130507039789e-05,7.35020025599234e-06,0.00161704405631832,3.29882123539318e-06,4.68575266319512e-06,4.59387515999521e-06,2.89761239284425e-07,2.57257008959732e-06,2.66444759279722e-06,0.00217749682583773,4.64433379398018e-06,0.000165379505759828,1.74567256079818e-05,0.000551265019199426,0.000459387515999521
"4",0.435994204621134,0.010815075918708,0.160759687808591,0.096419151410854,0.0656033361347714,0.00155810415777996,0.0771719824029839,0.112916724846171,0.0196137817508772,0.00174141052928349,0.00119149141477291,1.08528752244076e-06,2.34851878565571e-05,0.00165653967927735,4.03274017307755e-06,5.03021918742799e-06,4.58265928758812e-07,0.00011804930324827,0.000452766737613706,0.0025532744486726,3.02455512980816e-07,0.000855399182621198,3.18219860930119e-05,2.07044546613231e-05,9.42194749528117e-06,0.00138661707678091,0.000157093560378521,2.95856483606689e-05,1.24525688719819e-05,1.4664509720282e-05,6.85565829423183e-06,4.98593330489588e-05,6.36073109117231e-05,3.04288576695851e-06,8.24878671765862e-06,3.6661274300705e-05,8.09297630188062e-05,0.00144683719027732,2.9329019440564e-05,1.6800028948298e-05,1.82389839646007e-05,0.00132580686096931,1.19149141477291e-06,0.000366704396192801,2.26383368806853e-05,1.09983822902115e-05,0.0015498553710623,2.47463601529758e-06,5.05009053492211e-06,3.20786150131168e-06,1.83306371503525e-07,3.07038172268404e-06,4.33519568605836e-06,0.00241350334040116,2.47463601529758e-06,0.00018046512274522,1.98887413081324e-05,0.000661919307499228,0.000548086050795539
"5",0.444138424074297,0.0102754603380131,0.158994399694434,0.0942223014923163,0.0656691847335974,0.00128443254225163,0.0799100531643695,0.107066626914833,0.0189912525890063,0.00174315845019865,0.00128443254225163,1.08637686738701e-06,2.35087608454421e-05,0.00161563264778938,3.6698072635761e-06,5.03526821244403e-06,1.51922372299278e-06,0.000104589507011919,0.000440009890902774,0.00301107685976419,2.75235544768207e-07,0.000826991066846873,3.00006743797346e-05,1.85325266810593e-05,8.80753743258263e-06,0.00138800887782327,0.000147067526087812,2.55051604818539e-05,1.34865416936422e-05,1.40370127831786e-05,6.78914343761578e-06,4.77992396080787e-05,6.24784686623831e-05,3.30282653721849e-06,7.11067507454403e-06,3.90834473570854e-05,7.86256206221179e-05,0.00143489464005825,3.00006743797346e-05,1.52297001438408e-05,2.18353532182778e-05,0.00132713762445258,1.96297288030327e-06,0.000348723435221319,2.20188435814566e-05,1.1779991980356e-05,0.00157342986425825,2.75235544768207e-06,4.77074944264893e-06,3.02759099245028e-06,2.89343926313265e-07,2.84410062927147e-06,2.56886508450327e-06,0.00227528050341718,4.63764504313341e-06,0.000190462996979599,1.93582333153639e-05,0.000691483433639326,0.000511754622905687
"6",0.440068697435595,0.0108020839850273,0.158959274709626,0.0922689401657779,0.0714669522722484,0.00149497196079703,0.0775926910384412,0.109944248897396,0.0188694631637187,0.00160436015305047,0.0011759230667245,1.07941001705922e-06,2.33580009911791e-05,0.00162022144092722,3.96108193419441e-06,5.00297742915374e-06,1.50948105945653e-06,0.000105012664563304,0.000416404385178101,0.00274327354806256,3.19048894072538e-07,0.000773739146539343,3.05010742733346e-05,1.88330004329675e-05,8.65078287070966e-06,0.00137910768488026,0.000145942079831467,2.80763026783833e-05,1.23851304844158e-05,1.32268555799786e-05,6.58152290058206e-06,4.69093031113508e-05,5.51167202860219e-05,3.04463801772079e-06,7.0650748685188e-06,4.02275077012031e-05,7.85316063552832e-05,0.0013349005727995,2.95621589564926e-05,1.61438740400704e-05,1.73653755202338e-05,0.0013186267941215,1.95038448794595e-06,0.000332521873085087,2.19687952775662e-05,1.1704447808298e-05,0.00154401433365733,2.49769705645358e-06,4.45756883432774e-06,2.96259687353071e-06,2.87488386225479e-07,3.00817528696964e-06,3.3089928156666e-06,0.00216898553873199,4.60790418629186e-06,0.000189597084223277,1.87600749714652e-05,0.000645627342045187,0.000511453608563653
"7",0.441397495212939,0.0104396917954927,0.161174189123397,0.0943235311347151,0.0655482627910187,0.0015567961449419,0.0782976884661956,0.110807255022335,0.0181320962763821,0.00164837238876201,0.00128206741348156,1.08437643443342e-06,2.34654722765253e-05,0.0015567961449419,3.9793070625772e-06,5.02599636879127e-06,7.32609950560894e-07,0.000112638779898737,0.000451470882033151,0.00190478587145832,9.15762438201118e-07,0.00077839807247095,3.15022278741185e-05,2.7839178121314e-05,9.3407768696514e-06,0.00138545302563013,0.000147653015763549,2.87549405595151e-05,1.24421150651102e-05,1.44690465235777e-05,6.86821828650838e-06,4.78943755179185e-05,5.30226451718447e-05,3.02201604606369e-06,7.09758161759694e-06,0,7.8663993441476e-05,0.00149269277426782,2.73812969022134e-05,1.62089951561598e-05,2.20698747606469e-05,0.00132469385938576,1.00733868202123e-06,0.000299454317291766,2.30772134426682e-05,1.17583005352801e-05,0.00152016564741386,3.2880046502139e-06,4.76196467864581e-06,3.57147350898436e-06,2.8881113410966e-07,3.02201604606369e-06,2.56413482696313e-06,0.00236266709055888,4.62910537494838e-06,0.000175826388134615,1.91394349584034e-05,0.000697810977909252,0.000683158778898034
"8",0.445279516404228,0.0122451867011163,0.16150659126245,0.0961061622905791,0.0573297377370443,0.00148426505468076,0.0697604575699957,0.117349705885698,0.0182750134857568,0.00166979818651585,0.00120596535692812,1.09847132605596e-06,1.85533131835095e-05,0.001474988398089,4.03103070761305e-06,5.09132504236251e-06,1.53613699598139e-06,0.000333959637303171,0.000482386142771247,0.00369210932351839,0,0.000983325598726003,2.78299697752642e-05,1.85533131835095e-05,9.27665659175474e-06,0.00110392213441881,0.000157703162059831,1.85533131835095e-05,1.2603839589758e-05,6.49365961422832e-05,6.63951613037822e-06,3.7106626367019e-05,5.60900268327974e-05,2.8153818166071e-06,4.63832829587737e-05,7.4213252734038e-05,0.000111319879101057,0.0015584783074148,9.27665659175474e-05,1.85533131835095e-05,3.7106626367019e-05,0.0011688587305611,6.49365961422832e-05,0.000491662799363001,0.000111319879101057,1.19111367335296e-05,0.0015584783074148,3.33074264020298e-06,1.85533131835095e-05,4.32836632610865e-06,2.92565145636836e-07,2.7781857825276e-06,3.0225326457782e-06,0.00223567423861289,1.85533131835095e-05,0.000157703162059831,2.78299697752642e-05,0.000825622436666172,0.000630812648239323
"9",0.437776693129811,0.0107795641802048,0.168516551330304,0.0922261778204435,0.0655545891411221,0.00144154919453206,0.0762903735098604,0.108253567213271,0.0203318882583301,0.00165127903287249,0.00132157273679146,1.08448109235532e-06,2.34677370320908e-05,0.00145620280769121,3.97969112294089e-06,5.02648144972696e-06,1.51657261131315e-06,0.00011906060691815,0.000430449886550233,0.0027841865002398,0,0.000857236369810677,2.82997904136217e-05,1.99655479293512e-05,8.60899773100466e-06,0.0013855867417733,0.000142872728301779,2.47279722060772e-05,1.2443315908162e-05,1.12649651161018e-05,6.22778559264167e-06,4.74410726027703e-05,5.53756589971946e-05,2.93072263183137e-06,7.09826663630359e-06,3.55350119109554e-05,8.13275530333206e-05,0.00140125175834437,3.43444058417739e-05,1.49283684058911e-05,1.85917716956803e-05,0.00132482171139553,1.95954740698357e-06,0.000306810025519847,2.06982285873091e-05,1.52031236526252e-05,0.00147451982414016,1.46536131591569e-06,4.48766902999179e-06,4.2732398471484e-06,2.88839008537911e-07,2.65596738509718e-06,2.98403738688592e-06,0.00231710258079168,4.6295521501949e-06,0.000174011656264988,1.88665269424145e-05,0.000686888116835478,0.000473494875205256
"10",0.440819329421687,0.0107572876524084,0.160202814577761,0.0947871242204959,0.0656982089835834,0.00149610741240833,0.0775681211181767,0.110996484283767,0.018660039076234,0.00185407176261646,0.00125746451226958,1.08685702065686e-06,2.11107180891973e-05,0.00164571815364916,3.98841000318421e-06,5.03749368370482e-06,1.51989518449028e-06,0.000110142876987116,0.000426622573129567,0.00292796481324084,0,0.000876553729355801,3.0241599785687e-05,1.93720324074334e-05,8.97302553231765e-06,0.00138862234541566,0.000135842881617444,2.58688569705444e-05,1.24705772653582e-05,1.52179239830413e-05,6.56931551047004e-06,4.78542013991626e-05,5.54969783971873e-05,2.78561435390003e-06,7.11381782729435e-06,0,8.12155833978384e-05,0.00133089309692766,1.65214315480675e-05,1.55928962255523e-05,2.75357192467791e-05,0.00132772418836888,1.96384046859182e-06,0.000215696467433103,2.30616083833316e-05,1.17851984624138e-05,0.00159707171631319,3.2955261886566e-06,4.84080642863697e-06,4.28260184669241e-06,2.89471809588858e-07,2.74881159917993e-06,2.99057494565973e-06,0.00196237892498712,4.63969477421541e-06,0.000183571461645194,1.90831487259473e-05,0.000683803694628348,0.00060578582342914
