"","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Ba","Be","Bi","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1",0.5231,0.0165,0.1438,0.1101,0.080873764856678,0.001349,0.0752,0.0818,0.0295,0.0083,0.0029,3.7426146521231e-06,2.14528041007864e-05,0.00232,1.09736292003593e-05,1.04096000354708e-06,2.00543608151503e-06,0.00031,0.00105191753866064,0.00047,0.00239,8.19327802612315e-06,0.00032,4.17634726438086e-05,1.99582139110519e-05,1.56130818995263e-05,0.00259576310232969,0.00021,4.50077983971099e-05,1.57592480292802e-05,3.39504525008343e-05,1.9331863572671e-07,7.60921690525776e-06,1.35108571557885e-06,8e-05,7.1890619680665e-05,2.29421488875053e-06,1.80549332409301e-05,0.00018,0.000181685249631005,0.00166,6e-05,4.10598014487581e-05,0.00024,0.00118303078975212,1.79627110659547e-06,0.000193389427960052,5.05776893033492e-06,4.38902287209893e-05,1.77294137113815e-05,0.00368,2.626566739007e-05,7.82661495126653e-06,8e-05,7.58669351893787e-07,2.72461384182921e-06,7.54503827189398e-06,0.00171,8.38258070744523e-06,0.00022,1.67874990149079e-05,0.00103,0.0014
"2",0.5224,0.0176,0.1412,0.1155,0.080873764856678,0.00143,0.0742,0.0851,0.03141,0.00772,0.00282,3.7426146521231e-06,1.54e-05,0.00220873006891353,1.14e-05,1.04096000354708e-06,2.00543608151503e-06,0.000304,0.00105191753866064,0.000475,0.00199652567063783,8.19327802612315e-06,0.000552747767498222,4.1e-05,2.08e-05,1.6e-05,0.00259576310232969,0.000189171609188246,4.83e-05,1.57592480292802e-05,3.39504525008343e-05,1.9331863572671e-07,8e-06,1.35108571557885e-06,0.000146,6e-05,2.4e-06,1.80549332409301e-05,0.000175979823620067,0.000173,0.00148943786059961,3.62708528904224e-05,3.99e-05,0.000224205058285828,0.00118303078975212,1.79627110659547e-06,0.000193389427960052,5.21e-05,4.6e-05,1.77294137113815e-05,0.00352447974290505,2.626566739007e-05,7.2e-06,2.81e-05,7.58669351893787e-07,2.8e-06,7.4e-06,0.00154650341377645,8.38258070744523e-06,0.00021166822904394,1.68e-05,0.00100319003006168,0.00128696762179526
"3",0.5202,0.0178,0.1456,0.1149,0.080873764856678,0.00146,0.0751,0.0856,0.0291,0.00821,0.00263,3.7426146521231e-06,2.14528041007864e-05,0.00211,1.09736292003593e-05,1.04096000354708e-06,2.00543608151503e-06,0.0003129,0.00105191753866064,0.00047,0.00235,8.19327802612315e-06,0.00048,4.12e-05,1.99e-05,1.53e-05,0.00259576310232969,0.000189171609188246,4.86e-05,1.57592480292802e-05,3.39504525008343e-05,1.9331863572671e-07,7.8e-06,1.35108571557885e-06,0.0001532,7.1890619680665e-05,2.3e-06,1.80549332409301e-05,0.000175979823620067,0.0001665,0.00154,4e-05,4.04e-05,0.00023,0.00118303078975212,1.79627110659547e-06,0.000193389427960052,5.05776893033492e-06,4.48e-05,1.77294137113815e-05,0.00366,2.626566739007e-05,7e-06,2e-05,7.58669351893787e-07,2.6e-06,7.54503827189398e-06,0.00173,8.38258070744523e-06,0.00022,1.76e-05,0.00114,0.00158
"4",0.5153,0.0172,0.1438,0.1135,0.0842,0.00144,0.0769,0.0833,0.0317,0.008,0.0031,3.7426146521231e-06,2.14528041007864e-05,0.00197,1.06e-05,1.04096000354708e-06,2.00543608151503e-06,0.00028,0.00125,0.000428,0.0025,7.9e-06,0.000544,3.75e-05,1.74e-05,1.5e-05,0.00291,0.000191,4.26e-05,1.28e-05,3.01e-05,1e-08,6.85e-06,1.35108571557885e-06,0.000141,8.2e-05,2.2e-06,1.6e-05,0.000156,0.00016,0.00148,2.99e-05,3.41e-05,0.000208,0.00265,1.79627110659547e-06,0.0002193,4e-07,4.1e-05,1.49e-05,0.00345,3.13e-05,6.58e-06,2.3e-05,7.58669351893787e-07,2.4e-06,6.3e-06,0.00144,5e-06,0.000193,1.52e-05,0.00114,0.0012
"5",0.5221,0.0175,0.1438,0.1144,0.080873764856678,0.00145,0.0773,0.0852,0.0301,0.0086,0.003,3.7426146521231e-06,8e-05,0.00291,1.09736292003593e-05,1.04096000354708e-06,2.00543608151503e-06,0.00032308090623012,0.00105191753866064,0.00043,0.00263,8.19327802612315e-06,0.00106,4.17634726438086e-05,1.99582139110519e-05,1.56130818995263e-05,0.00259576310232969,0.000189171609188246,4.50077983971099e-05,1.57592480292802e-05,3.39504525008343e-05,1.9331863572671e-07,7.60921690525776e-06,1.35108571557885e-06,0.000162229902040044,7.1890619680665e-05,2.29421488875053e-06,1.80549332409301e-05,0.000187,0.000181685249631005,0.00146,4e-05,4.10598014487581e-05,0.000225,0.00118303078975212,1.79627110659547e-06,0.00019,5.05776893033492e-06,4.38902287209893e-05,1.77294137113815e-05,0.00356,2.626566739007e-05,7.82661495126653e-06,2.6027117825095e-05,7.58669351893787e-07,2.72461384182921e-06,7.54503827189398e-06,0.00139,8.38258070744523e-06,2e-04,1.67874990149079e-05,0.00104,0.0014
"6",0.521700377737865,0.0171,0.1391,0.1106,0.080873764856678,0.00142,0.0743,0.085,0.0301,0.0087,0.00283962661404373,2.78e-06,1.432e-05,0.0021986,1.09736292003593e-05,1.04096000354708e-06,5.5e-07,0.00032308090623012,0.00105191753866064,0.0004408,0.00262,7.91e-06,0.0005566,4.11e-05,1.98e-05,1.51e-05,0.00259576310232969,0.0001912,4.73e-05,1.43e-05,3.39504525008343e-05,1.9331863572671e-07,7.82e-06,1.35108571557885e-06,0.000144,7.1890619680665e-05,2.2e-06,1.7e-05,0.0001915,0.0001792,0.0016273,3.11e-05,3.81e-05,0.000214,0.00118303078975212,1.79627110659547e-06,0.000193389427960052,5.05776893033492e-06,4.34e-05,1.57e-05,0.0037,2.626566739007e-05,7.82661495126653e-06,2.35e-05,7.58669351893787e-07,2.6e-06,5.9e-06,0.00154650341377645,5.4e-06,0.00021166822904394,1.6e-05,0.00112,0.001349
"7",0.521700377737865,0.01735,0.14322,0.11781,0.080873764856678,0.00142,0.07411,0.08675,0.03127,0.00855,0.00283962661404373,3.7426146521231e-06,2.14528041007864e-05,0.0021,1.09736292003593e-05,1.04096000354708e-06,2.00543608151503e-06,0.000315,0.0014,0.000467,0.0026,7.1e-06,0.000552747767498222,4.8e-05,1.99582139110519e-05,1.62e-05,0.00259576310232969,0.000189171609188246,4.50077983971099e-05,1.57592480292802e-05,3.55e-05,1.9331863572671e-07,7.60921690525776e-06,1.35108571557885e-06,0.000153,7.1890619680665e-05,2e-06,1.80549332409301e-05,0.000175979823620067,0.00013,0.0025,3.62708528904224e-05,4.10598014487581e-05,0.00026,0.00118303078975212,1.79627110659547e-06,0.000211,5.05776893033492e-06,4.35e-05,1.77294137113815e-05,0.0044,2.8e-05,7.4e-06,2.58e-05,7.58669351893787e-07,2.72461384182921e-06,7.54503827189398e-06,0.00169,8.38258070744523e-06,0.00021166822904394,1.54e-05,0.00100319003006168,0.0013
"8",0.5195,0.0175,0.143,0.1133,0.080873764856678,0.0014,0.0755,0.0842,0.0317,0.0083,0.00303,3.7426146521231e-06,2.14528041007864e-05,0.00217,1.03e-05,1.04096000354708e-06,2.00543608151503e-06,0.000344,0.00105191753866064,0.000435,0.00196,8.5e-06,0.000534,4.33e-05,2.15e-05,1.65e-05,0.00259576310232969,0.00019,5.03e-05,1.57592480292802e-05,3.5e-05,1.9331863572671e-07,7.9e-06,6.1e-07,0.000162229902040044,7.1890619680665e-05,2.5e-06,1.74e-05,0.000185,0.000182,0.001495,3.62708528904224e-05,4.29e-05,0.00023,0.00118303078975212,1.79627110659547e-06,0.000196,5.05776893033492e-06,4.67e-05,1.77294137113815e-05,0.00391,2.626566739007e-05,7.82661495126653e-06,2.6027117825095e-05,7.58669351893787e-07,3e-06,7.54503827189398e-06,0.00164,8.38258070744523e-06,0.000211,1.72e-05,0.00112,0.00127
"9",0.5186,0.016,0.2002,0.1072,0.080873764856678,0.0016,0.0254,0.0767,0.0309341960878867,0.0095,0.00283962661404373,3.7426146521231e-06,2.14528041007864e-05,0.00227,1.09736292003593e-05,1.04096000354708e-06,2.6e-05,0.00029,0.00105191753866064,0.000434979888946852,0.00199652567063783,8.19327802612315e-06,0.00055,4.17634726438086e-05,1.99582139110519e-05,1.56130818995263e-05,0.00259576310232969,0.00017,4.50077983971099e-05,1.57592480292802e-05,3.39504525008343e-05,1.9331863572671e-07,7.60921690525776e-06,1.35108571557885e-06,0.00013,7.1890619680665e-05,2.29421488875053e-06,1.3e-05,0.00014,0.00018,0.00135,1e-06,4.10598014487581e-05,0.00023,0.00118303078975212,1.79627110659547e-06,0.000193389427960052,5.05776893033492e-06,4.38902287209893e-05,1.77294137113815e-05,0.00366,2.626566739007e-05,7.82661495126653e-06,2.6027117825095e-05,7.58669351893787e-07,2.72461384182921e-06,7.54503827189398e-06,0.00154650341377645,8.38258070744523e-06,0.00019,1.67874990149079e-05,0.00097,0.00135
"10",0.5211,0.0173,0.1429,0.113,0.080873764856678,0.00144,0.0748,0.0847,0.0308,0.0084,0.0029,3.7426146521231e-06,2.14528041007864e-05,0.00224,1.09736292003593e-05,1.04096000354708e-06,2.00543608151503e-06,0.00032308090623012,0.00105191753866064,0.000433,0.002391,8.19327802612315e-06,0.000577,4.17634726438086e-05,1.99582139110519e-05,1.56130818995263e-05,0.00259576310232969,0.000201,4.50077983971099e-05,1.57592480292802e-05,3.39504525008343e-05,1.9331863572671e-07,7.60921690525776e-06,1.35108571557885e-06,0.000154,7.1890619680665e-05,2.29421488875053e-06,1.80549332409301e-05,0.000194,0.000185,0.001594,3.62708528904224e-05,4.10598014487581e-05,0.000197,0.00118303078975212,1.79627110659547e-06,0.000193389427960052,5.05776893033492e-06,4.38902287209893e-05,1.77294137113815e-05,0.00361,2.626566739007e-05,7.82661495126653e-06,2.6027117825095e-05,7.58669351893787e-07,2.72461384182921e-06,7.54503827189398e-06,0.001538,8.38258070744523e-06,0.000226,1.67874990149079e-05,0.00108,0.001257
"11",0.5197,0.0175,0.1436,0.1132,0.080873764856678,0.0014,0.0756,0.084,0.0314,0.0084,0.003,1e-06,2.14528041007864e-05,0.00205,1.1e-05,1.04096000354708e-06,2.00543608151503e-06,0.000304,0.00105191753866064,0.00046,0.00199,8e-06,0.00063,3.7e-05,2e-05,1.3e-05,0.00259576310232969,0.00019,4.4e-05,8e-06,3.4e-05,1.9331863572671e-07,7e-06,1.35108571557885e-06,0.000143,7.4e-05,2.3e-06,1.6e-05,0.00018,0.000171,0.0015,3e-05,4e-05,0.00021,0.0016,1e-06,0.00019,5.05776893033492e-06,4.1e-05,2e-05,0.00349,3e-05,6.4e-06,2.3e-05,1e-06,2.2e-06,6.6e-06,0.0016,5e-06,0.00019,1.5e-05,0.00103,0.00127
"12",0.5112,0.0295,0.0302,0.1964,0.080873764856678,0.0023,0.0169,0.1553,0.0393,0.0148,0.0017,3.7426146521231e-06,8.98e-05,0.00220873006891353,1.09736292003593e-05,1.04096000354708e-06,2.00543608151503e-06,0.00122,0.00105191753866064,0.0008487,0.00456,8.19327802612315e-06,0.0004826,4.17634726438086e-05,1.99582139110519e-05,1.56130818995263e-05,0.00259576310232969,0.00029,4.50077983971099e-05,1.57592480292802e-05,3.39504525008343e-05,1.9331863572671e-07,7.60921690525776e-06,1.35108571557885e-06,0.0003346,7.1890619680665e-05,2.29421488875053e-06,1.80549332409301e-05,8.24e-05,0.0006578,0.001162,5.47e-05,4.10598014487581e-05,0.0001715,0.00118303078975212,1.79627110659547e-06,0.000193389427960052,5.05776893033492e-06,4.38902287209893e-05,1.77294137113815e-05,0.00661,1.23e-05,7.82661495126653e-06,2.6027117825095e-05,7.58669351893787e-07,2.72461384182921e-06,7.54503827189398e-06,0.00488,8.38258070744523e-06,0.0006517,1.67874990149079e-05,0.0007513,0.00197
"13",0.5103,0.0171,0.1411,0.1124,0.0701,0.0015,0.0744,0.084,0.03,0.0082,0.0029,3.7426146521231e-06,2.14528041007864e-05,0.00208,1.09736292003593e-05,1.04096000354708e-06,2.00543608151503e-06,0.00032308090623012,0.00105191753866064,0.00045,0.00247,8.19327802612315e-06,0.00076,4.17634726438086e-05,1.99582139110519e-05,1.56130818995263e-05,0.00259576310232969,0.00017,4.50077983971099e-05,1.57592480292802e-05,3.39504525008343e-05,1.9331863572671e-07,7.60921690525776e-06,1.35108571557885e-06,0.000162229902040044,7.1890619680665e-05,2.29421488875053e-06,1.80549332409301e-05,2e-04,0.000181685249631005,0.00168,3.62708528904224e-05,4.10598014487581e-05,0.00022,0.00118303078975212,1.79627110659547e-06,2e-04,5.05776893033492e-06,4.38902287209893e-05,1.77294137113815e-05,0.00352,2.626566739007e-05,7.82661495126653e-06,2.6027117825095e-05,7.58669351893787e-07,2.72461384182921e-06,7.54503827189398e-06,0.00159,8.38258070744523e-06,0.00024,1.67874990149079e-05,0.00103,0.00132
"14",0.52,0.0176,0.1434,0.1138,0.080873764856678,0.0015,0.0758,0.0841,0.0298,0.0082,0.003,1.7e-06,2.07e-05,0.00217,9.6e-06,2e-07,2.00543608151503e-06,0.000314,0.00105191753866064,0.000438,0.00255,7.9e-06,0.000558,4.1e-05,2e-05,1.51e-05,0.00259576310232969,0.00019,4.65e-05,1.57592480292802e-05,3.32e-05,1.9331863572671e-07,7.6e-06,6e-07,0.000175,7.36e-05,2.2e-06,1.75e-05,0.000178,0.000189,0.0016,3.36e-05,3.84e-05,0.000238,0.00118303078975212,1.2e-06,0.000204,5.05776893033492e-06,3.23e-05,1.8e-05,0.00349,2.91e-05,7.1e-06,2.43e-05,1e-06,2.6e-06,5.8e-06,0.00151,8.2e-06,0.000204,1.63e-05,0.00107,0.00132
"15",0.5262,0.0182,0.1542,0.1192,0.06865,0.00134,0.05455,0.0817,0.03385,0.007575,0.00249,3.404304e-06,1.1997646e-05,0.00188791517,8.688092e-06,1.50504e-07,4.46282e-07,0.000275653934,0.00105191753866064,0.000369467316,0.001491683046,7.304816e-06,0.000496789926,3.890966e-05,2.030691e-05,1.41683e-05,0.00259576310232969,0.000164964268,4.2914658e-05,1.1950024e-05,3.3249274e-05,1.9331863572671e-07,7.364566e-06,1.35108571557885e-06,0.000133159224,6.1358626e-05,2.189782e-06,1.3886306e-05,0.00015637081,0.000156852634,0.00126905735,2.3701654e-05,3.5494718e-05,0.00020641711,0.00118303078975212,9.45278e-07,0.0001468352725,5.123354e-06,4.0135514e-05,1.4780162e-05,0.003019463614,2.9715532e-05,6.498382e-06,2.1876726e-05,6.94642e-07,2.605916e-06,6.130938e-06,0.0010865225225,5.281878e-06,0.000165616172,1.5463092e-05,0.0007735066,0.00108537732
"16",0.5265,0.0176,0.1457,0.1142,0.080873764856678,0.001472,0.0765,0.0844,0.0301,0.0084,0.00297,3.7426146521231e-06,8.9e-06,0.00213,9.5e-06,1.04096000354708e-06,7.2e-07,0.0003285,0.00105191753866064,0.00046,0.00231,8.6e-06,0.000537,3.94e-05,1.91e-05,1.48e-05,0.00259576310232969,0.000197,3.94e-05,1.57592480292802e-05,3.13e-05,1.9331863572671e-07,7.49e-06,1.35108571557885e-06,0.0001512,5.3e-05,2.22e-06,1.80549332409301e-05,0.0001699,0.0001727,0.00152,3.49e-05,3.87e-05,0.000247,0.00118303078975212,1.2e-06,0.000214,5.05776893033492e-06,4.4e-05,1.77294137113815e-05,0.00348,2.87e-05,7.08e-06,2.49e-05,6.4e-07,2.58e-06,6.6e-06,0.00158,5e-06,0.000203,1.58e-05,0.00109,0.00136
