"","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Ba","Be","Bi","Cd","Ce","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"25",0.5125,0.0256,0.1379,0.1307,0.0840303473617424,0.0017,0.0581,0.095,0.021,0.0087,0.0027,3e-06,1.43775582431816e-05,0.00319,1.25e-05,4.68327365034927e-06,1.2e-05,0.000603261862307032,0.000335,0.00097,6.80599612431282e-06,0.00063,5.95497575874067e-05,3.12262689784394e-05,2.23941566807467e-05,0.00353459419142894,0.000229005077706948,7.3831146523834e-05,1.38493575381977e-05,5.25056220724863e-05,1.2e-07,1.21928865085466e-05,0.000300911001331494,0.00012,3.77333786093875e-06,2e-05,0.00018434492192161,0.000333643895292546,0.00034,0.00028,8.59952978907373e-05,0.000251651766518003,0.00474580283653765,5e-05,0.00029,2.83228997878172e-06,8.57239956381675e-05,0.000186180369543255,0.0042,1.27935273776159e-05,1.11677464333485e-05,2.98355664413901e-05,1.64595085775134e-06,4.35335597628127e-06,7.6356231063075e-06,0.0035,1.15570321053358e-05,0.00018,2.50693612395925e-05,0.00154,0.00255
"26",0.5152,0.0243,0.1385,0.1336,0.0840303473617424,0.0017,0.0558,0.0902,0.025,0.01,0.00308,2.02185669013648e-06,1.43775582431816e-05,0.00324,1.12489264001526e-05,4e-06,2.59015207789068e-06,0.0007101,0.000432819711335407,0.000903166483608609,6.80599612431282e-06,0.000628350486467252,7.52e-05,3.58e-05,2.45e-05,0.00353459419142894,0.000275,9.64e-05,1.38493575381977e-05,6.38e-05,2.0742759986682e-07,1.36e-05,0.000285,0.000124366669225532,3.8e-06,3.04110568350649e-05,0.000186,0.0003542,0.000520198022681758,0.000145018668604354,9.76e-05,0.000275,0.00474580283653765,2.23830870724343e-06,0.000276032102029644,2.83228997878172e-06,8.63e-05,0.00024,0.00406,1.35e-05,1.23e-05,3.53e-05,1.64595085775134e-06,4.9e-06,7.4e-06,0.00336361466776007,1.15570321053358e-05,0.000299,2.87e-05,0.00115965012687766,0.00195
"27",0.5124,0.0246,0.1437,0.1332,0.0840303473617424,0.00171,0.052,0.0878,0.0273,0.00983,0.0033,2.02185669013648e-06,1.43775582431816e-05,0.00345,1.12489264001526e-05,4.68327365034927e-06,2.59015207789068e-06,0.000561,0.000419,0.001,6.80599612431282e-06,0.000593,5.41e-05,2.88e-05,2.04e-05,0.00353459419142894,0.000206,7.87e-05,8.7e-06,4.41e-05,2.0742759986682e-07,1.07e-05,0.00026,0.000124366669225532,3.6e-06,3.06e-05,0.000149,0.000303,0.000471,0.00012,6.89e-05,0.000224,0.0056,2.23830870724343e-06,0.00028,2.83228997878172e-06,8.37e-05,0.000145,0.00383,1.06e-05,1.09e-05,3.01e-05,1.64595085775134e-06,3.9e-06,6.2e-06,0.00321,1.15570321053358e-05,0.000317,2.17e-05,0.00118,0.00182
"28",0.51,0.0243,0.138,0.132,0.0840303473617424,0.0017,0.0559,0.0899,0.0241,0.0099,0.0033,1e-06,3.45e-05,0.00413,1.05e-05,4.68327365034927e-06,6.3e-06,0.00061,0.00046,0.00095,4.8e-06,0.00055,6.01e-05,2.89e-05,2.12e-05,0.00353459419142894,0.000227,7.7e-05,1.37e-05,6.13e-05,2.0742759986682e-07,1.08e-05,0.000297,0.00015,3.77333786093875e-06,2.85e-05,0.000244,0.00034,0.000553,0.000132,7.8e-05,0.000262,0.006,7e-07,0.000316,2e-06,7.9e-05,0.000314,0.0042,1.25e-05,1.22e-05,3.21e-05,1.2e-06,3.8e-06,6.3e-06,0.0034,1.15570321053358e-05,2.47e-05,1.22e-05,0.00113,0.00199925603887529
"29",0.503,0.0249,0.14,0.132,0.085,0.00168,0.057,0.09,0.0255,0.0103,0.0029,4e-07,1e-05,0.0034,1.1e-05,1e-07,1e-06,0.000622,5e-04,0.00095,4.9e-06,0.00063,6.7e-05,3.1e-05,2.35e-05,0.0055,0.00024,7.1e-05,1.5e-05,5.25e-05,1e-07,1.2e-05,0.00028,0.000132,3.6e-06,3.1e-05,0.000195,0.000335,0.00052,0.00014,8.05e-05,0.000265,0.0055,1.5e-06,0.00027,5e-06,9.15e-05,0.000185,0.0041,1.26e-05,1.06e-05,3.1e-05,1.9e-06,4.2e-06,6.4e-06,0.0034,6e-06,0.000305,2.55e-05,0.00113,0.00202
"30",0.5154,0.0246,0.1383,0.1343,0.0840303473617424,0.0017,0.0561,0.0911,0.0247,0.0099,0.003,2.02185669013648e-06,1.43775582431816e-05,0.00342829928767327,1.12489264001526e-05,4.68327365034927e-06,2.59015207789068e-06,0.000603261862307032,0.000432819711335407,0.0011,6.80599612431282e-06,0.00065,5.95497575874067e-05,3.12262689784394e-05,2.23941566807467e-05,0.00353459419142894,0.00023,7.3831146523834e-05,1.38493575381977e-05,5.25056220724863e-05,2.0742759986682e-07,1.21928865085466e-05,0.000300911001331494,0.000124366669225532,3.77333786093875e-06,2e-05,0.00016,0.000333643895292546,0.00055,0.00012,8.59952978907373e-05,0.00023,0.00474580283653765,2.23830870724343e-06,0.000276032102029644,2.83228997878172e-06,8.57239956381675e-05,0.000186180369543255,0.00418,1.27935273776159e-05,1.11677464333485e-05,4e-05,1.64595085775134e-06,4.35335597628127e-06,7.6356231063075e-06,0.00337,1.15570321053358e-05,0.00034,2.50693612395925e-05,0.00116,0.00201
"31",0.5131,0.0237,0.1366,0.134,0.0817,0.00174,0.0553,0.0877,0.0233,0.00928,0.00378,4e-07,6.1e-06,0.00325,1.61e-05,1e-06,6.4e-07,0.000603261862307032,0.000389,0.000971,5.9e-05,0.000619,5.95497575874067e-05,3.12262689784394e-05,2.23941566807467e-05,0.00353459419142894,0.000229005077706948,7.3831146523834e-05,1.38493575381977e-05,5.25056220724863e-05,4e-08,1.21928865085466e-05,0.000300911001331494,7.26e-05,3.77333786093875e-06,3.04110568350649e-05,0.00018434492192161,0.000333643895292546,0.000464,0.000134,8.59952978907373e-05,0.000161,0.00474580283653765,5e-06,0.000276032102029644,2.83228997878172e-06,8.57239956381675e-05,0.000167,0.003794,1.27935273776159e-05,1.11677464333485e-05,2.98355664413901e-05,1.64595085775134e-06,4.35335597628127e-06,7.6356231063075e-06,0.003284,1.15570321053358e-05,0.000280786061668253,2.50693612395925e-05,0.001187,0.00199925603887529
"32",0.51,0.024,0.1373,0.1304,0.083,0.0017,0.0555,0.087,0.0257,0.0104,0.0027,2.02185669013648e-06,1.43775582431816e-05,0.00349,1.12489264001526e-05,4.68327365034927e-06,2.59015207789068e-06,0.000592,0.00057,0.00103,6.80599612431282e-06,0.00066,5.31e-05,3.12262689784394e-05,1.94e-05,0.00353459419142894,0.000229005077706948,6.04e-05,1.38493575381977e-05,5.25056220724863e-05,2.0742759986682e-07,1.21928865085466e-05,0.0002688,0.000124366669225532,3.7e-06,3.04110568350649e-05,0.00015,0.0003346,0.00055,0.000145018668604354,8.59952978907373e-05,0.000251651766518003,0.00474580283653765,2.23830870724343e-06,0.00029,2.83228997878172e-06,8.68e-05,0.000186180369543255,0.00414,1.27935273776159e-05,1.11677464333485e-05,2.98355664413901e-05,1.64595085775134e-06,4.35335597628127e-06,7.6356231063075e-06,0.00345,1.15570321053358e-05,0.00031,2.61e-05,0.00121,0.00194
"33",0.5087,0.02377,0.1374,0.1309,0.0840303473617424,0.00171,0.056,0.0893,0.0231,0.0096,0.00266,2.02185669013648e-06,7e-06,0.00336,1.12489264001526e-05,4.68327365034927e-06,1.1e-06,0.00053,0.00047,0.00053,6.80599612431282e-06,0.00048,5.95497575874067e-05,3.12262689784394e-05,2.23941566807467e-05,0.00353459419142894,0.00017,7.3831146523834e-05,1.38493575381977e-05,5.25056220724863e-05,2e-07,1.21928865085466e-05,0.00044,0.000124366669225532,3.77333786093875e-06,3.04110568350649e-05,0.00022,0.000333643895292546,0.00087,8.9e-05,8.59952978907373e-05,0.00022,0.00474580283653765,2.23830870724343e-06,0.00027,2e-06,8.57239956381675e-05,0.000186180369543255,0.00391,1.27935273776159e-05,1.11677464333485e-05,2.98355664413901e-05,1.64595085775134e-06,4.35335597628127e-06,7.6356231063075e-06,0.00366,1.15570321053358e-05,0.00027,2.50693612395925e-05,0.00109,0.00184
"34",0.4873,0.0242,0.1329,0.1281,0.0840303473617424,0.0017,0.0527,0.0912,0.0226,0.0093,0.0027,2.02185669013648e-06,1.43775582431816e-05,0.003182,1.12489264001526e-05,4.68327365034927e-06,2.59015207789068e-06,0.000595,0.0004502,0.001006,3.9e-06,0.000628350486467252,6.25e-05,3.13e-05,2.35e-05,0.00353459419142894,0.0002231,7.08e-05,1.38493575381977e-05,5.66e-05,2.0742759986682e-07,1.2e-05,0.0002608,0.000124366669225532,3.4e-06,3.04110568350649e-05,0.0001684,0.0003367,0.000520198022681758,0.000145018668604354,7.45e-05,0.0002428,0.00474580283653765,2.23830870724343e-06,0.000276032102029644,2.83228997878172e-06,1e-04,0.000186180369543255,0.003983,1.16e-05,1.1e-05,3.28e-05,1.64595085775134e-06,4.35335597628127e-06,7e-06,0.003355,1.15570321053358e-05,0.0003375,2.55e-05,0.00115965012687766,0.0019743
"35",0.5108,0.02451,0.1399,0.132,0.0840303473617424,0.00185,0.057,0.09,0.0233,0.0101,0.00287,2.02185669013648e-06,5e-06,0.00334,1.12489264001526e-05,4.68327365034927e-06,2e-06,0.00061,0.00032,0.00084,6.80599612431282e-06,0.00059,5.95497575874067e-05,3.12262689784394e-05,1.8e-05,0.00353459419142894,0.000245,7.3831146523834e-05,2.3e-05,4.5e-05,2.0742759986682e-07,1.21928865085466e-05,0.00026,0.000124366669225532,3.77333786093875e-06,3.04110568350649e-05,0.00019,0.00025,0.00053,0.00011,8.59952978907373e-05,0.000248,0.00474580283653765,2.23830870724343e-06,0.000276032102029644,2.83228997878172e-06,7e-05,0.000151,0.00401,1.27935273776159e-05,1.11677464333485e-05,2.98355664413901e-05,1.64595085775134e-06,4.35335597628127e-06,3.2e-05,0.00347,1.15570321053358e-05,0.00031,2.6e-05,0.00109,0.00203
"36",0.5065,0.0237,0.1402,0.132,0.0828,0.0016,0.057,0.09,0.0241,0.0098,0.0032,6e-07,8.1e-06,0.00328,1.12e-05,4.68327365034927e-06,1.9e-06,0.000581,0.000436,0.00102,5.2e-06,0.000641,5.87e-05,2.74e-05,2.18e-05,0.00054,0.000237,7.11e-05,1.43e-05,4.98e-05,2.0742759986682e-07,1.12e-05,0.000267,0.000124366669225532,3.9e-06,3.16e-05,0.000156,0.000331,0.000513,0.00021,7.64e-05,0.000251,0.00065,2.23830870724343e-06,0.000276032102029644,1.8e-06,8.71e-05,0.000341,0.00394,1.2e-05,1.04e-05,3.33e-05,1.64595085775134e-06,3.87e-06,6.1e-06,0.00328,4.6e-06,0.000301,2.52e-05,0.00132,0.00196
