"","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Ba","Be","Bi","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1",0.648106973572557,0.00452759929143978,0.150637001425611,0.0270712707634004,0.0160099866715346,0.000386732439477148,0.00707437389287466,0.0174501222690908,0.0376356691100932,0.0431065182539162,0.00124508980514594,4.41912664322058e-06,1.88649970476658e-06,0.0184216696170456,3.19737902788202e-05,5.17005969797096e-07,1.24151303638687e-06,0.0014620372711941,0.00148090226824176,2.82974955714986e-05,0.000150919976381326,1.69647310832928e-05,0.00013205497933366,2.05213084929794e-05,8.67481966971591e-06,1.38515357623501e-05,0.0111963757477896,0.000216947466048156,4.47953977266612e-05,3.30137448334151e-05,7.26302386335132e-05,1.32299873309788e-07,3.4053325281052e-06,3.20311332441662e-07,0.000839492368621126,0.000299608771876905,9.3943988574336e-07,3.77299940953315e-05,9.43249852383288e-05,0.000471624926191644,5.65949911429973e-05,0.000254677460143488,0.00013205497933366,0.00156579475495626,0.000565949911429973,2.45851208333403e-06,3.21104720522538e-05,2.29603342526528e-06,6.60274896668301e-05,6.60274896668301e-05,0.00430121932686779,1.00533531839429e-05,4.68691310934514e-06,2.51891065818846e-06,0.000188649970476658,5.65949911429972e-06,1.08469301243529e-06,1.50919976381326e-05,0.000415029935048647,5.04529071895288e-06,1.88649970476658e-05,6.70817803686753e-06,0.000830059870097293,0.00311272451286485
"2",0.649667675854596,0.0042542266317603,0.153152158743371,0.0269434353344819,0.0160462048664525,0.000316703538142156,0.00699583935000583,0.0173005216358252,0.037909886207464,0.0434876500135498,0.00132353717432543,4.4291237027694e-06,1.09230582074374e-05,0.0185389742775155,3.20461221921653e-05,5.18175553718182e-07,1.24432161843429e-06,0.00148825350531611,0.000606785957855357,4.70018780429998e-05,8.50845326352061e-05,1.70031091250558e-05,2.8361510878402e-05,2.05677323136995e-05,8.69444406517117e-06,1.38828710552798e-05,0.003591704203847,0.000255253597905618,4.48967350031734e-05,8.72846931207082e-06,5.80927029300498e-05,1.32599165413989e-07,3.41303615708339e-06,3.21035948802112e-07,0.000737399282838452,0.000300286554383635,9.41565110304353e-07,2.11313031266515e-05,0.000756306956757387,0.000499553416577974,2.8361510878402e-05,0.00042542266317603,0.000157802025454439,0.00159769844614998,0.00115829034011401,2.46407379126478e-06,3.2183113170548e-05,2.30122756988516e-06,6.92408955282972e-05,2.46875835570614e-05,0.00618280937149164,1.00760961326201e-05,4.69751596217946e-06,2.52460900129585e-06,0.000226172040665281,6.92962219552132e-06,1.08714683227639e-06,2.08363058535762e-05,0.000387607315338161,5.05670430263821e-06,0.000368699641419226,6.72335344610852e-06,0.00103992206554141,0.00365863490331386
"3",0.650994691500602,0.00443964172749882,0.153372913356002,0.027086588346052,0.0162053791386573,0.000334166581639696,0.0066546887829391,0.0173384717787911,0.0392788947675917,0.0443964172749882,0.00121254731052118,4.47305948370707e-06,1.10314121674479e-05,0.0180278096986307,3.23640115759404e-05,5.23315723454509e-07,1.25666497249535e-06,0.00148560914580391,0.000612805120269746,3.5326181487625e-05,0.000231052322162304,3.43714198257973e-05,0.000131757109332223,2.07717589884917e-05,8.78069073956037e-06,1.4020585606149e-05,0.00362733299628612,0.000205273757292956,4.53420991985069e-05,8.81505350825766e-06,6.96976013134224e-05,1.3391451541889e-07,3.44689260792856e-06,3.24220543784382e-07,0.00085642121065945,0.000303265320649224,9.50905196786702e-07,1.71857099128987e-05,0.000112661876095669,0.000499340349135889,5.72856997096622e-05,0.000299795161813899,0.000159367381422608,0.0015610353170883,0.00116978028576932,4.77380830913852e-06,4.86928447532129e-05,2.32405516224502e-06,6.01499846951453e-05,1.6230948251071e-05,0.00438044650446551,1.01760484442056e-05,4.74411412608635e-06,2.54965248065608e-06,0.000228188037176821,1.52761865892433e-05,1.09793105242362e-06,2.10047565602095e-05,0.000288338021871967,5.10686552355159e-06,7.92452179316994e-05,6.79004740274606e-06,0.000808683127568065,0.00305237303286317
"4",0.651847101172548,0.00459384243962447,0.152362440914212,0.0276587596885723,0.016244228231189,0.000382820203302039,0.00717787881191324,0.0167483838944642,0.0380906102285529,0.0438329132780835,0.00124416566073163,4.48378273185175e-06,1.10060808449336e-05,0.0198683685513758,2.46919031129815e-05,5.24570266207865e-07,1.25967757055802e-06,0.00150661977753789,0.000614274195606866,3.4358113246358e-05,0.00019663926231259,1.72129414753186e-05,0.00010144735387504,2.15336364357397e-05,9.761915184202e-06,1.35901172172224e-05,0.00363602878760395,0.000223567656111732,4.48856688371641e-05,8.83618580183033e-06,5.88096146606797e-05,1.34235548167111e-07,3.44538182971835e-06,3.2499779643601e-07,0.000852732002855292,0.000248833132146326,1.05275555908061e-06,2.13920807859942e-05,0.000119500712496782,0.000514893173441243,5.51261092754937e-05,0.000291054012140805,0.000159827434878601,0.00156093412648492,0.00117258459550961,1.14846060990612e-06,3.25802792550377e-05,2.9094335450955e-05,7.2640133576562e-05,2.49922486416638e-05,0.00427140841179194,1.02004434456575e-05,4.49813738879896e-06,2.55576475265523e-06,0.000228963189655003,7.36928891356426e-06,1.14846060990612e-06,2.19164566390418e-05,0.000343858889682672,5.1191081924564e-06,9.14940285891874e-05,7.27358386273875e-06,0.000863385412793004,0.00239747430039946
"5",0.653653491735042,0.00455904789353124,0.151303401966568,0.0273542873611875,0.0161211916761989,0.00037992065779427,0.00712351233364257,0.0173813700940879,0.0384669666016699,0.0435958954818925,0.00127273420361081,2.84940493345703e-06,1.09741036287359e-05,0.017837274883441,3.32430575569987e-05,5.20597081548924e-07,4.74900822242838e-07,0.00163460863015985,0.000609621578088127,4.36908756463411e-05,0.000161466279562565,1.54817668051165e-05,0.000142470246672851,1.99458345341992e-05,9.49801644485676e-06,1.32972230227995e-05,0.00360848888546118,0.000235550807832448,3.98916690683984e-05,6.64861151139973e-06,8.26327430702538e-05,1.89960328897135e-07,2.84940493345703e-06,3.2253620769915e-07,0.000892813545816535,0.000284940493345703,1.23474213783138e-06,1.89960328897135e-05,0.000113976197338281,0.000548035548868235,2.84940493345703e-05,0.00032293255912513,0.000163175922522639,0.00167260069593928,0.000721849249809114,1.89960328897135e-06,2.84940493345703e-05,2.31198162141338e-06,7.31347266253971e-05,2.18454378231705e-05,0.00451060800966247,9.78295693820246e-06,5.22390904467122e-06,2.53640695454646e-06,0.000222253584809648,8.64319496481965e-06,1.51968263117708e-06,2.37450411121419e-05,0.000303936526235416,2.84940493345703e-06,9.30805611595962e-05,6.64861151139973e-06,0.000788335364923111,0.00340028988725872
"6",0.649939960771131,0.00465506346348038,0.151103360024573,0.0291406972813872,0.0158022826756159,0.000428265838640195,0.00744810154156861,0.0175030386226862,0.0391025330932352,0.0413369635557058,0.00158272157758333,4.65506346348038e-06,1.07570141919977e-05,0.0206777919047799,3.15589814384491e-05,6.51708884887254e-07,2.79303807808823e-06,0.00166846784658064,0.000597562059653833,8.02532941104018e-05,0.000204822792393137,1.64789246607206e-05,0.000134141875980555,2.00167728929656e-05,8.37911423426469e-06,1.60134183143725e-05,0.00353710585080772,0.000217485204512168,4.87850650972744e-05,8.59578576633713e-06,7.49465217620342e-05,1.30583493845535e-07,3.6309495015147e-06,7.44810154156861e-07,0.000944977883086518,0.000295721826783955,1.02411396196568e-06,2.50442414335245e-05,0.000111721523123529,0.00054808717219018,6.15946628096164e-05,0.000288893238543593,0.000167582284685294,0.00155944626026593,0.00111069814238642,2.42661681732293e-06,3.16938899842659e-05,1.02411396196568e-06,7.44810154156861e-05,5.58607615617646e-05,0.00457127232113774,9.03082311915194e-06,4.65506346348038e-06,2.48623181717493e-06,0.000247649376257156,6.82428335423959e-06,1.30341776977451e-06,2.28098109710539e-05,0.000344474696297548,7.44810154156861e-06,9.729082638674e-05,7.2618990030294e-06,0.000921702565769116,0.00306675580974088
"7",0.654372882289592,0.0046605045395625,0.154081986818189,0.0272021285370383,0.0161436257053197,0.000380449350168367,0.00713342531565689,0.0174055577702028,0.040422743455389,0.043466338256736,0.00123646038804719,3.80449350168367e-06,0.00022826961010102,0.0188417540670884,2.47292077609439e-05,1.23646038804719e-06,5.70674025252551e-07,0.0015503311019361,0.000610469919110938,4.08983051430995e-05,0.00011413480505051,1.36010642685191e-05,0.000168348837449503,4.44174616321569e-05,2.36829720479809e-05,2.51096571111123e-05,1.99735908838393e-06,0.000194980291961288,7.08586914688584e-05,1.90224675084184e-06,5.51651557744133e-06,1.33404210721289e-07,7.89432401599362e-06,2.85337012626276e-07,0.000944465511792972,0.000342404415151531,3.32893181397321e-06,2.33976350353546e-05,0.000159788727070714,0.000536433583737398,9.51123375420919e-05,0.000241585337356913,0.000180713441329975,0.00137912889436033,0.00116532263326524,7.32364999074107e-06,2.3778084385523e-05,2.31519894331261e-06,8.94055972895663e-05,2.2826961010102e-05,0.00454636973451199,2.99603863257589e-05,9.70145842929337e-06,2.53993658365971e-06,0.000171202207575765,6.84808830303061e-06,3.32893181397321e-06,1.55984233569031e-05,0.00035191564890574,7.60898700336735e-06,0.000121743792053878,2.18758376346811e-05,0.00081796610286199,0.000194980291961288
"8",0.644802774805048,0.00455087975160157,0.149230931854602,0.0280637584682097,0.0169709890736809,0.000350796980852621,0.00730036960152752,0.0179190890219312,0.0383980479041383,0.0429489276557398,0.00142214992237549,4.44184934793562e-06,1.09544420594601e-05,0.0182509240038188,4.48451275522405e-05,5.19664362492321e-07,3.03391983440105e-06,0.00154540291564803,0.000711074961187746,4.32333576402149e-05,0.000197204789236068,1.53592191616553e-05,0.000158332691357805,2.0289338892557e-05,7.77441957565269e-06,1.25149193169043e-05,0.0123252993272543,0.00023133638737308,3.81136179196632e-05,1.04290994307536e-05,7.74597657720518e-05,9.00694950837811e-08,3.06236283284856e-06,3.21958341095537e-07,0.000836224154356789,0.000293910983957602,9.48099948250328e-07,2.85378084423349e-05,0.000107135294152287,0.000497752472831422,7.58479958600262e-05,0.000311924882974358,0.000154540291564803,0.00154540291564803,0.00108083394100537,2.47115350518458e-06,3.15717282767359e-05,4.74049974125164e-07,6.6651426361998e-05,2.21855387890577e-05,0.00445606975677654,8.91213951355308e-06,4.45606975677654e-06,2.53186264343591e-06,0.000236076887114332,6.94953220912989e-06,1.04290994307536e-06,1.93412389443067e-05,0.000310976783026107,2.93910983957602e-06,8.60874753011297e-05,6.59877563982228e-06,0.000878888652028054,0.00325198282249862
"9",0.890420717217932,0.00180297633410769,0.0150593922582664,0.027317037119646,0.0220160524099245,0.000337247371847482,0.00942995535896612,0.00566835005759036,0.000778263165801881,0.00876843166803452,0.00203645528384825,3.8913158290094e-06,1.27116317080974e-05,0.00337597590272092,3.50218424610846e-06,7.78263165801881e-07,1.29710527633647e-06,0.000190674475621461,0.00083253526680812,5.60349479377354e-05,0.000365783687926884,2.33289643716019e-05,0.000250730449915839,1.21927895975628e-05,5.83697374351411e-06,9.85800010015716e-06,0.00492796574959371,0.000303004683513954,6.96545533392683e-05,1.9456579145047e-06,7.97055754296192e-05,1.81931503403024e-07,1.55652633160376e-06,4.40474513015472e-07,9.20944746198892e-05,0.000359298161545202,3.8913158290094e-07,3.63189477374211e-05,7.65292113038516e-06,0.000758287744546299,8.93705535395826e-05,0.000132434448713953,0.000258383371046224,0.00032687052963679,0.00158922194039624,3.38081048957716e-06,3.07413950491743e-05,1.42681580397011e-06,7.09516586156048e-05,3.63189477374211e-06,0.000277580529136004,1.38248179173501e-05,4.1507368842767e-06,3.46386728511118e-06,0.000406123662020948,4.53986846717764e-06,3.8913158290094e-07,2.81471844965014e-05,0.000143978685673348,6.93800608149572e-06,3.37247371847482e-05,2.46450002503929e-06,0.00111979098506127,2.99631318833724e-05
"10",0.653733079405186,0.00463506307203793,0.14765986643778,0.0279049715561467,0.0160554984380626,0.000264860746973596,0.00756744991353131,0.0179726935446369,0.0388777739307671,0.0437020232506433,0.00115403611181352,4.43168894350043e-06,1.09293845770991e-05,0.0172641910464825,3.20646825267678e-05,2.83779371757424e-06,1.24504229925341e-06,0.00118714370518522,0.000607137393524931,8.13500865704615e-05,0.000717961810546283,5.77018055906762e-05,0.000128646648530032,2.05796446440422e-05,8.69947967572225e-06,1.38909116765595e-05,0.00359378443157055,0.000213780460057259,4.49227381001853e-05,8.7335246292174e-06,7.47285678961217e-05,1.48511204553052e-07,3.41501290461952e-06,3.21221885015969e-07,0.000888229433600737,0.000300460473052876,9.42110441917097e-07,1.41889685878712e-05,0.000109728023746204,0.00028756309671419,4.16209745244222e-05,0.000255401434581682,0.00015789342054979,0.0015097062577495,0.00387831808068479,4.44587682419964e-05,2.55401434581682e-05,1.89186247838283e-06,6.99989117001646e-05,6.62151867433989e-05,0.00423777195157753,1.32430373486798e-05,4.70023664917976e-06,1.1351174870297e-05,0.000219456047492408,6.93363566416649e-06,1.08777648128191e-06,3.78372495676565e-05,0.000273374128126318,2.7432005936551e-05,8.04041553312701e-05,6.72724744891055e-06,0.000757690922592322,0.00306387128374099
