"","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Ba","Be","Bi","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"14",0.402991587815383,0.00882806088432673,0.212812616637068,0.100959206921822,0.0458140201319553,0.000939155413226248,0.0437646422563431,0.145756920132714,0.0125846825372317,0.00140873311983937,0.000563493247935749,4.48184164239275e-06,1.70461807627174e-05,0.000469577706613124,1.22090203719412e-06,0,2.29519891752407e-06,3.00529732232399e-05,0.00179373378554608,0.000347487502893712,0.000338095948761449,4.03836827687287e-06,0.00509022233968626,7.41932776448736e-06,4.03836827687287e-06,3.47487502893712e-06,0.00159943802479208,0.00017280459603363,7.88890547110048e-06,1.3345942283047e-05,2.81746623967874e-06,1.59656420248462e-06,1.26785980785543e-05,4.60186152480861e-05,4.69577706613124e-07,7.50004611821686e-06,1.97222636777512e-06,2.34788853306562e-05,0.000225397299174299,4.50794598348599e-05,4.60186152480861e-06,1.8031783933944e-05,0.000556135942725596,2.52489986711941e-06,0.000366270611158237,1.42737965225248e-05,6.94975005787423e-06,7.332294466902e-06,0.00737236999382605,1.8783108264525e-07,1.22090203719412e-06,4.69577706613124e-07,1.8783108264525e-07,5.63493247935749e-07,2.81746623967874e-07,0.00392566962728572,2.20864353873723e-05,4.13228381819549e-05,3.47487502893712e-06,0.000872850986079086,8.64022980168148e-05
"15",0.403574317397208,0.00914668896968696,0.205996502295878,0.104113587200876,0.048300117773602,0.000943602300852399,0.0469747812086066,0.141260344445114,0.0120120292897828,0.000856802089201289,0.000350934189041051,4.45406834748926e-06,1.69405481582936e-05,0.00072800177513835,1.78892886654416e-06,0,2.28097591691744e-06,3.15467435893285e-05,0.00158667053555794,0.000326667463203106,0.000420001024118279,3.49992700367284e-06,0.00551801681667801,7.56001843412902e-06,4.38667736301313e-06,2.89334038837036e-06,0.00158952654922315,0.00015101370156075,8.49335404328075e-06,5.69334721582555e-06,1.19466957971421e-05,1.4000034137276e-06,1.55867046728339e-05,5.13334585033452e-05,5.60001365491038e-07,7.45356946659653e-06,0,2.41733922770298e-05,0.000186667121830346,4.20001024118279e-05,5.69334721582555e-06,1.80133772566284e-05,0.00196000477921863,2.50925344446405e-06,0.000476001160667382,1.41853439639911e-05,7.65335199504419e-06,7.28685734689707e-06,0.00714001741001074,7.66755082819877e-07,1.0266691700669e-06,1.77333765738829e-06,0,7.46668487321384e-07,0,0.00457334448484348,2.19495690872384e-05,4.20001024118279e-05,3.82667599752209e-06,0.00111066937489056,0.000332267476858016
"16",0.408199580256697,0.00932392757218323,0.206842121767226,0.102136618372412,0.0457356694147469,0.000989114488552368,0.0439148081931687,0.145235758693505,0.0125819113140974,0.000601906636635659,0.000576592806122945,4.47417683790529e-06,1.54695630911034e-05,0.000370331964908233,1.7970052264384e-06,0,2.29127368937762e-06,3.53559202254096e-05,0.00179066615847093,0.000351580979343259,0.000213761235440701,3.51572789470537e-06,0.00482087838875477,7.51858423010203e-06,4.11835288648182e-06,3.49984548605862e-06,0.00159670268054567,0.000177196813589003,7.94202926107742e-06,1.33231181749097e-05,3.84748655754265e-06,1.58230673452742e-06,5.1565210303678e-05,3.65907154633975e-05,5.95085598998851e-07,1.40632391737304e-05,1.03130420607356e-05,2.76333405887092e-05,0.000139694842459055,0.000133131997511314,5.6591857056039e-06,1.40632391737304e-05,0.00055518484413498,3.28142247387042e-05,0.000358143824291,1.42493856065736e-05,7.88180848684266e-06,2.81264783474607e-06,0.00761477523793587,4.68774639124345e-06,1.23622469603274e-06,0,0,5.69637300090996e-07,0,0.00417396938676317,2.20486633680604e-05,6.09407030861649e-05,4.07722549899239e-06,0.000931923982579199,0.000217511432553696
"17",0.403968686608525,0.00926870453145411,0.20767404311565,0.101405133735216,0.0447670627405728,0.000972755129043699,0.0423974405300178,0.14765688704069,0.0129394786033171,0.00146830962874521,0.000440492888623562,8.71808842067466e-06,0.000227587992455507,0.00050564912839913,2.38600314671096e-05,0,7.43331749552261e-06,7.43331749552261e-05,0.0017527427779999,0.000360653552560541,0.000363406633114439,3.44127052812545e-06,0.00535841245140204,7.35935291330251e-06,4.0311329082133e-06,3.425724482917e-06,0.00156288712929565,0.000172526381377562,1.36736334176897e-05,9.72755129043699e-05,3.76600308509937e-06,1.74361768413493e-06,5.15743757096754e-05,4.35904421033733e-05,5.82482659318048e-07,7.32865254270087e-06,0,0.000114069304283143,0.000230341073009404,4.00114373833069e-05,5.20332224686582e-05,1.79649159973117e-05,0.00412962083084589,0.000142242495284692,0.000383595890509685,1.39476069253381e-05,2.11987202650089e-05,9.72755129043699e-05,0.00581817690390288,2.29423379491438e-05,1.21004347890661e-06,0,0,5.57573313758508e-07,0,0.00423974405300178,2.15817087401254e-05,4.23974405300178e-05,3.99087653152404e-06,0.00088832732539085,0.000103773315546994
"18",0.409111896556743,0.00926489483016175,0.20991081603435,0.0986269279419279,0.047494902087046,0.000917142804751195,0.0413785235689233,0.147404905137294,0.00671792500295461,0.000655241090867892,0.000367051844364332,4.64627704274778e-06,3.89444927707514e-06,0.00049654228282708,1.86612743120978e-06,0,1.65514094275693e-05,0.000108070967438835,0.00185954452958637,0.000357076811092314,0.000413785235689233,3.65096114827801e-06,0.00628077307160293,7.80778824080714e-06,4.27676624407925e-06,3.63446781925852e-06,0.00165812020344428,0.00017622382978765,8.24752117885696e-06,1.38355948717664e-05,3.99548098169505e-06,1.64317051416813e-06,8.17834348185779e-05,3.79981854527894e-05,6.17975698607536e-07,7.77521717166617e-06,7.78889855415028e-06,2.86962631659996e-05,0.000177197442106919,5.25750652405144e-05,5.87686753948334e-06,2.2393083343182e-05,0.00367051844364332,2.61753654499286e-06,0.00040422405097625,1.47974913857183e-05,8.18498399917892e-06,1.65514094275693e-05,0.00719694226403486,7.9984325806863e-07,1.28377635327081e-06,1.84986340661069e-05,0,5.91548525235482e-07,2.92083695780635e-05,0.00394020905608077,2.28967700968778e-05,4.47861666863641e-05,3.01819818973323e-05,0.000851910779360187,4.86806159634392e-05
"19",0.403919503772181,0.00967528113686852,0.21041388103481,0.105206940517405,0.0458233994741998,0.00101449549784641,0.0416131023653665,0.143720195528241,0.0113661069666125,0.00122115198814845,0.000377473320552164,4.48275919397474e-06,1.70496705669929e-05,0.00172839973707166,1.80045223787105e-06,0,2.29566880547768e-06,2.74289523491806e-05,0.00179410101031749,0.000317217712613641,0.000657543378233783,3.85132550108358e-06,0.00572062739063391,7.03571414710148e-06,4.04858851455372e-06,3.40043861315185e-06,0.00159976547207984,0.00018401821113714,7.36448583621837e-06,1.02388897467832e-05,2.89319086422864e-06,1.56871063092917e-06,1.18357808082081e-05,3.66609036924997e-05,5.91789040410404e-07,7.5015815761223e-06,0,2.22625400916295e-05,0.000138365913734052,4.30221238901532e-05,4.4525080183259e-06,1.52174324676961e-05,0.000556249798469454,2.52541678093572e-06,0.000450229344553503,1.42767187463839e-05,6.18090775539756e-06,0.000177536712123121,0.00745842060453748,7.71694129699466e-07,1.30569327963565e-06,7.04510762393339e-07,0,5.16641225755115e-07,0,0.00350376685830287,2.20909570651438e-05,3.96404722306652e-05,3.48497990463905e-06,0.00096564941832047,7.00753371660574e-05
"20",0.407741549856336,0.00868137528044039,0.212599331596002,0.102477973419112,0.0460321902310692,0.00103799052266135,0.0435012391769893,0.140789259982794,0.0119840723979992,0.000754902198299164,0.000377451099149582,4.50318453770115e-06,1.71273560652952e-05,0.000547304093766894,1.80865585850517e-06,0,2.30612884189831e-06,3.30269711755884e-05,0.00180227569207708,0.000330269711755884,0.000405759931585801,3.53852162482117e-06,0.0055107860475839,8.02083585692862e-06,4.1519620906454e-06,3.96323654107061e-06,0.00160705467906932,0.000179289272096051,3.77451099149582e-06,1.34094967483019e-05,5.66176648724373e-05,1.88725549574791e-06,1.22671607223614e-05,3.6827946249737e-05,7.54902198299164e-07,7.53576194931523e-06,0,2.64215769404707e-05,0.000179289272096051,4.71813873936978e-06,5.69587624466495e-06,2.83088324362187e-05,0.000558784307426964,2.53692364614329e-06,0.000391775066225207,1.43417695053166e-05,7.26593365862945e-06,7.3672114509599e-06,0.00715269832888458,7.75210294001121e-07,1.60416717138572e-06,0,0,5.66176648724373e-07,0,0.00418970720056036,2.21916127934077e-05,4.71813873936978e-05,3.96323654107061e-06,0.000745465920820425,3.77451099149582e-05
"21",0.405140548382587,0.0090683970411487,0.209308270978433,0.10265706241314,0.046452930628147,0.000989676160584877,0.0437188705942579,0.144267130796838,0.0127048593927714,0.000855313314189682,0.000367759966533128,4.54434424878586e-06,1.72839023985379e-05,0.000470100877941555,1.82518721580676e-06,0,2.32720716903813e-06,2.99287504570269e-05,0.00181874873380119,0.000349243047268337,0.000386614568649533,3.53155758034903e-06,0.00558210492961469,8.44112504198806e-06,4.26045708982434e-06,3.69989873572765e-06,0.00162174337453228,0.000185689263267633,8.05309911769753e-06,1.35320613483822e-05,3.16689036488751e-06,1.69548351291594e-06,1.31773922331114e-05,3.71645586214468e-05,5.42734709805852e-07,7.6046398249697e-06,2.18220525649048e-06,2.23786832804375e-05,0.000256155958046119,4.10063965974286e-05,4.29291444649519e-06,1.7435599679175e-05,0.000563891670995969,2.56011146877081e-06,0.000379948800224541,1.44728552035242e-05,7.11085980509038e-06,7.43454875243684e-06,0.00735041733153011,1.88144226015588e-07,1.3467673072417e-06,9.51774135629531e-07,0,5.82045595433702e-07,3.37669239496378e-07,0.00415182147613785,2.23944471128617e-05,4.27522468038194e-05,3.53134972079337e-06,0.000911305768959614,8.96566220984341e-05
"22",0.412557708830742,0.00889459280506646,0.205332621138236,0.101246960653416,0.0463654305796017,0.000946233277134729,0.0433374840927706,0.142881224847344,0.0131526425521727,0.000946233277134729,0.000283869983140419,4.51561865603445e-06,1.79784322655599e-05,0.000473116638567365,1.81364988901416e-06,8.51609949421256e-07,2.0817132096964e-06,3.21719314225808e-05,0.00250751818440703,0.000342536446322772,0.000378493310853892,3.78493310853892e-06,0.00602750597534823,8.0429828556452e-06,4.44729640253323e-06,3.40643979768503e-06,0.000662363293994311,0.000179784322655599,8.51609949421256e-06,1.34465228279489e-05,3.88312369124314e-06,1.70321989884251e-06,1.41934991570209e-05,3.78493310853892e-05,6.00597546795832e-07,7.55656957001672e-06,0,2.4602065205503e-05,0.000182623022487003,5.10965969652754e-05,5.10965969652754e-06,1.79784322655599e-05,4.73116638567365e-07,2.54392855756866e-06,0.000397417976396586,1.43813697610123e-05,6.6236329399431e-06,7.3875536728255e-06,0.00732384556502281,7.77350791786211e-07,1.41934991570209e-06,0,0,5.74913534411902e-07,0,0.00429589907819167,2.64945317597724e-05,4.35267307481975e-05,3.78493310853892e-06,0.000832685283878562,7.75911287250478e-05
"23",0.41093258335606,0.00885228921061806,0.202670831927308,0.0993320031423038,0.0454561788510476,0.000919706257987372,0.0433296261361832,0.138468439652405,0.0126727508699374,0.00885228921061806,0.000232023159309884,2.79545975072149e-06,1.49091186705146e-05,0.000492000916126983,1.86363983381433e-06,5.59091950144299e-07,2.27727172147754e-06,2.83273254739778e-05,0.00177972340196528,0.000335455170086579,0.000195682182550505,3.62477947676887e-06,0.00579591988316256,8.01365128540162e-06,3.91364365101009e-06,3.16818771748436e-06,0.0012486386886556,0.00018729580329834,7.45455933525732e-06,9.31819916907165e-06,2.88864174241221e-06,1.49091186705146e-06,1.20204769281024e-05,3.44773369255651e-05,4.93864555960797e-07,4.65909958453582e-06,0,2.21773140223905e-05,0.000214318580888648,5.59091950144299e-05,4.42614460530903e-06,1.56545746040404e-05,0.00478955437290283,2.50517853727297e-06,0.000391364365101009,1.41623076460559e-05,6.33637543496872e-06,3.72727966762866e-06,0.00731478634772124,7.6550990935696e-07,1.12750209945767e-06,8.38637925216448e-07,0,5.66156247946271e-07,0,0.00423046242275853,2.2363678005772e-05,3.6154612775998e-05,3.35455170086579e-06,0.000885228921061807,8.85228921061807e-05
