"","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Ba","Be","Bi","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"27",0.5204,0.0242,0.1367,0.1324,0.081890341147972,0.0017,0.0565,0.0902,0.0244,0.01,0.003,3.19209069952894e-06,0,0.003742,1.03350047388189e-05,4.3794834734609e-07,2.36060917214653e-06,0.00072,0.00131366910737683,0.000405,0.000845,5.86610728760232e-06,0.000532,6.11803303105452e-05,3.08355923958225e-05,2.24540040939752e-05,0.0052807289020985,0.000197,7.25854709934057e-05,1.71600210736816e-05,4.95263020648418e-05,1.17290085744213e-05,1.28709473488108e-06,0.000285,0.000130542624377214,3.67014531580639e-06,3.2e-05,0.000169,0.000327,0.00051,0.000162,7.56892190503941e-05,0.000246,0.0024612406905419,1.9e-05,0.00027,7e-06,9.4e-05,0.000145,0.003861,2.6e-05,1.11212421431204e-05,2e-05,3.8e-05,2e-05,4.13433546970038e-06,3e-05,0.003234,5.7e-05,0.000287,2.52293384313724e-05,0.00113,0.001962
"28",0.5019,0.02458,0.1403,0.1334,0.081890341147972,0.00169,0.0576,0.0881,0.0258,0.0095,0.00307,3.19209069952894e-06,0,0.00327,1.03350047388189e-05,4.3794834734609e-07,2.36060917214653e-06,0.000693,0.00131366910737683,0.000418857443705223,0.000913144043086021,5.86610728760232e-06,0.000640508904284308,7.21e-05,3.7e-05,2.7e-05,0.0052807289020985,0.000219766091202465,8.48e-05,1.71600210736816e-05,4.95263020648418e-05,1.39e-05,1.28709473488108e-06,0.000311,0.000130542624377214,3.8e-06,3.35293828725963e-05,0.00016927928967193,0.000386,0.000524217925173229,0.00013738472103297,9.4e-05,0.000253914025576702,0.0024612406905419,2.28888667339951e-06,0.000317,1.40123736982278e-05,0.0001022,0.000177009969382928,0.00373726830303468,1.36301550335424e-05,1.25e-05,1.84022223585045e-06,3.3972995067174e-05,1.76457826436166e-06,4.5e-06,7.87709246331074e-06,0.00330727616048953,9.22196742634029e-06,0.000317,2.61e-05,0.00113809923585423,0.00198894847850945
"29",0.5127,0.0236,0.1389,0.1315,0.081890341147972,0.00165,0.0562,0.0877,0.0258,0.0099,0.00296,3.19209069952894e-06,0,0.0033,1.08e-05,4.3794834734609e-07,2.36060917214653e-06,0.000595261214198899,0.00131366910737683,0.000438,0.00085,4.5e-06,0.00067,6.11803303105452e-05,3.08355923958225e-05,2.24540040939752e-05,0.0052807289020985,0.000218,7.05e-05,1.71600210736816e-05,4.95e-05,1.17290085744213e-05,1.28709473488108e-06,0.00028339895457814,0.000129,3.67014531580639e-06,3.04e-05,0.000175,0.000331013782099862,5e-04,0.000112,7.56892190503941e-05,0.00028,0.0024612406905419,9.6e-07,0.00027,1.40123736982278e-05,9.07392662827571e-05,0.000177009969382928,0.00405,1.3e-05,1.11212421431204e-05,1.84022223585045e-06,3.04e-05,1.5e-06,4.13433546970038e-06,5.9e-06,0.00318,4.3e-06,0.000284,2.52293384313724e-05,0.00105,0.00208
"30",0.5044,0.0233,0.1502,0.1239,0.081890341147972,0.00148,0.048,0.0875,0.0285,0.01,0.00407,1.2e-06,1.91e-05,0.00346,1.03350047388189e-05,4.3794834734609e-07,1.78e-06,0.000621,0.00172,0.00048,0.000856,5.86610728760232e-06,0.000644,6.3e-05,3.33e-05,2.25e-05,0.0048,0.000241,7.48e-05,5.4e-05,5.75e-05,1.21e-05,8.3e-07,0.000281,0.000128,3.8e-06,3.35293828725963e-05,0.000172,0.000338,0.000519,0.00014,7.79e-05,0.000259,0.00582,2.28888667339951e-06,0.000268,1.8e-05,9.06e-05,0.000177009969382928,0.00409,1.01e-05,1.11e-05,1.84022223585045e-06,3.4e-05,1.47e-06,4.37e-06,6.43e-06,0.00325,9.22196742634029e-06,0.000281,2.63e-05,0.00117,0.00197
"31",0.512,0.0244,0.138,0.133,0.081890341147972,0.0017,0.0566,0.0892,0.0251,0.0099,0.003,3.19209069952894e-06,0.00017,0.00348,1.03350047388189e-05,4.3794834734609e-07,2.36060917214653e-06,6e-04,0.00131366910737683,0.00047,0.001,4e-06,7e-04,6.34e-05,3.14e-05,1.97e-05,0.0052807289020985,0.000235,7.51e-05,2e-05,5e-05,1.13e-05,1.28709473488108e-06,0.000263,0.00015,3.6e-06,3e-05,0.00015,0.000327,0.00055,0.00014,7.96e-05,0.000253,0.0024612406905419,2.28888667339951e-06,0.00029,1.40123736982278e-05,9e-05,0.00018,0.00408,8e-06,1.08e-05,1.84022223585045e-06,3e-05,1.76457826436166e-06,4e-06,5.7e-06,0.00345,9.22196742634029e-06,0.000295,2.6e-05,0.00116,0.00193
"32",0.51006,0.02415,0.13643,0.13061,0.081890341147972,0.00168,0.05588,0.08807,0.02485,0.00981,0.00299,3.19209069952894e-06,0,0.003354547,1.045773e-05,4.3794834734609e-07,2.36060917214653e-06,0.0005918921,0.00131366910737683,0.000448167,0.0009674231,4.53367e-06,0.0006250398,6.161871e-05,3.04349e-05,2.221972e-05,0.0052807289020985,0.0002263354,7.186595e-05,1.71600210736816e-05,5.040914e-05,1.154655e-05,1.28709473488108e-06,0.0002669129,0.0001261954,3.59384e-06,3.39253e-05,0.0001813769,0.0003242006,0.0005459593,0.0001338518,7.634028e-05,0.0002490815,0.0024612406905419,2.28888667339951e-06,0.0002757598,1.40123736982278e-05,8.879012e-05,0.000174082,0.004089823,1.096482e-05,1.102989e-05,1.84022223585045e-06,3.023186e-05,1.83181e-06,4.18468e-06,6.26122e-06,0.003339089,9.22196742634029e-06,0.0003113125,2.545894e-05,0.001169039,0.001997813
"33",0.50964,0.02414,0.13769,0.13206,0.081890341147972,0.001682,0.0555,0.09001,0.02461,0.01001,0.002972,3.19209069952894e-06,0,0.003471,1.03350047388189e-05,4.3794834734609e-07,2.36060917214653e-06,0.000582,0.00131366910737683,0.000418857443705223,0.000904,5.86610728760232e-06,0.000612,6.11803303105452e-05,3.08355923958225e-05,2.24540040939752e-05,0.0052807289020985,0.00021,7.25854709934057e-05,1.71600210736816e-05,4.95263020648418e-05,1.17290085744213e-05,1.28709473488108e-06,0.000298,0.000130542624377214,3.67014531580639e-06,3.35293828725963e-05,0.000176,0.000316,0.000528,0.000153,7.56892190503941e-05,0.000253,0.0024612406905419,2.28888667339951e-06,0.000277,1.40123736982278e-05,9.07392662827571e-05,0.00023,0.004077,1.36301550335424e-05,1.11212421431204e-05,1.84022223585045e-06,3e-05,1.76457826436166e-06,4.13433546970038e-06,7.87709246331074e-06,0.003305,9.22196742634029e-06,0.000315,2.52293384313724e-05,0.001149,0.002009
"34",0.5129,0.02435,0.1374,0.1333,0.085,0.00184,0.05628,0.09099,0.02468,0.01017,0.00303,2.7e-06,0,0.003539,8.17e-06,1e-06,2.3e-06,0.00058,0.00198,0.000475,0.00099,7e-06,0.0006583,5.99e-05,3.01e-05,2.15e-05,0.00512,0.0002226,7.33e-05,1.63e-05,5.28e-05,1.15e-05,1.28709473488108e-06,0.000274,0.00013,3.9e-06,3.67e-05,0.0001721,0.000329,6e-04,0.0001725,7.66e-05,0.00027,0.0024612406905419,1e-06,0.00028,1.40123736982278e-05,8.36e-05,0.0001878,0.004152,1.3e-05,1.12e-05,1.84022223585045e-06,3.2e-05,1.76457826436166e-06,4.5e-06,7e-06,0.003492,9.22196742634029e-06,3e-04,2.45e-05,0.001097,0.00195
"35",0.51647,0.02442,0.14002,0.13332,0.081890341147972,0.00173,0.05691,0.09027,0.0242,0.00974,0.00289,3.19209069952894e-06,8.55e-06,0.003001,7.19e-06,4.3794834734609e-07,1.94e-06,0.0005471,0.00131366910737683,0.0004085,0.0010873,4.37e-06,0.0006851,5.765e-05,2.857e-05,2.123e-05,0.0052807289020985,0.0002106,6.767e-05,1.71600210736816e-05,4.95263020648418e-05,1.091e-05,1.28709473488108e-06,0.0002591,0.000130542624377214,3.36e-06,3.01e-05,0.00017365,0.0003161,0.000444,0.0001547,7.316e-05,0.0002434,0.0024612406905419,2.28888667339951e-06,0.0002378,1.40123736982278e-05,8.52e-05,0.000215,0.00363,1.042e-05,1.039e-05,1.84022223585045e-06,2.85e-05,1.76457826436166e-06,3.74e-06,4.85e-06,0.003145,8.24e-06,0.0002833,2.315e-05,0.001214,0.002161
"36",0.5061,0.02447,0.1352,0.128,0.081890341147972,0.001723,0.05483,0.09002,0.02516,0.01032,0.003126,3.19209069952894e-06,8e-06,0.003401,1.022e-05,4.3794834734609e-07,1.39e-06,0.0006116,0.00131366910737683,0.0004644,0.0006994,4.71e-06,0.0006667,6.354e-05,3.137e-05,2.196e-05,0.0052807289020985,0.0002199,7.254e-05,2.408e-05,5.498e-05,1.192e-05,1.28709473488108e-06,0.0002755,0.000130542624377214,3.627e-06,3.302e-05,0.0001737,0.0003378,0.0005348,0.0001428,7.844e-05,0.0002598,0.0024612406905419,9.367e-07,0.000266977542165582,1.40123736982278e-05,9.178e-05,0.0001899,0.003862,1.144e-05,1.11212421431204e-05,1.84022223585045e-06,3.173e-05,1.679e-06,4.267e-06,6.593e-06,0.003575,5.277e-06,0.000296063987509499,2.497e-05,0.001242,0.00183
