"","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Ba","Be","Bi","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"11",0.6067,0.00884,0.1758,0.0621,0.0363804579716875,0.000958131634095137,0.0313799038070572,0.06184,0.0421,0.0125,0.00172869177164344,1.07276611713763e-06,1.28298394521678e-05,0.00320580778112716,1.24755388072964e-05,3.92846731254129e-06,1.30374674152792e-06,0.00029,0.000463178992333751,0.000185709067441876,0.000385487754365569,3.72121628340981e-06,0.000308129596340825,2.23e-05,1.25e-05,9.81e-06,0.0025,0.000203830471368368,3.01e-05,1.00625921178374e-05,3.17e-05,4.18e-06,0.000146,0.00011,1.65e-06,1.44821293567416e-05,0,0.000161,0.000322565518004971,0.000102823594623432,4.288962827701e-05,0.00016,0,7.67534520812709e-06,0.000139364615396092,3.04e-05,2.21185387184798e-05,0.00584,6.74939100436824e-06,4.46e-06,2.13e-05,3.09672885527078e-06,2.01e-06,7.15e-06,0.00103198103552603,1.60762906345751e-05,0.000161826771811535,1.08e-05,0.000647351954867482,0.00144911813858168
"12",0.602791992414683,0.0073,0.184,0.0639,0.0363804579716875,9e-04,0.0244,0.0583,0.0435,0.0129,0.00172869177164344,1.07276611713763e-06,1.28298394521678e-05,0.00335,1.24755388072964e-05,3.92846731254129e-06,1.30374674152792e-06,0.000351,0.000463178992333751,0.000181,0.000416,3.72121628340981e-06,0.000308129596340825,3.27e-05,1.51017473364727e-05,1.24e-05,0.0029456619573746,0.000203830471368368,3.38150321431173e-05,1.00625921178374e-05,3.85e-05,5.60182198061512e-06,0.000157,0.000116690197350288,2.1e-06,1.44821293567416e-05,0,0.000175,0.000322565518004971,0.000102823594623432,4.288962827701e-05,0.00026,0,7.3e-06,0.000134,3.78e-05,2.21185387184798e-05,0.00675,5.3e-06,5.1e-06,2.47e-05,3.09672885527078e-06,2.25186715958729e-06,1.27e-05,0.00108,1.60762906345751e-05,0.000161826771811535,1.38e-05,0.000647351954867482,0.00187
"13",0.598,0.0085,0.175,0.0602,0.0363804579716875,0.00095,0.0314,0.0599,0.0409,0.0123,0.0022,1.07276611713763e-06,5.3e-06,0.0035,1.17e-05,3.92846731254129e-06,4.3e-06,0.000344,0.000463178992333751,0.000186,0.000365,3.72121628340981e-06,0.00027,2.79290865630495e-05,1.51017473364727e-05,1.31e-05,0.0029456619573746,0.000197,3.38150321431173e-05,1.00625921178374e-05,3.57805660831391e-05,5.60182198061512e-06,0.000188,0.00013,2.03007129041361e-06,9.2e-06,0.000103,0.000194,0.000339,0.000123,4.288962827701e-05,0.000316,0,1.19e-05,0.000132,3.58230689221933e-05,2.12e-05,0.00559,6.74939100436824e-06,5.21142777776697e-06,2.69e-05,7.1e-07,2.25186715958729e-06,8.7e-06,0.00111,1.60762906345751e-05,0.00018,1.37e-05,0.000694,0.00144911813858168
"14",0.6101,0.0085,0.174,0.0618,0.0363804579716875,0.001,0.0318,0.0592,0.0419,0.0118,0.0018,1.07276611713763e-06,1.28298394521678e-05,0.00347,1.24755388072964e-05,3.92846731254129e-06,1.30374674152792e-06,0.00023,0.000463178992333751,0.00018,0.00035,3.72121628340981e-06,0.00026,2.79290865630495e-05,1.51017473364727e-05,1.15441982506921e-05,0.0029456619573746,0.00019,3.38150321431173e-05,1.00625921178374e-05,3.57805660831391e-05,5.60182198061512e-06,0.00015,0.000116690197350288,2.03007129041361e-06,2e-05,8e-05,0.00015,0.00026,7e-05,4.288962827701e-05,0.00016,0,7.67534520812709e-06,0.00015,3.58230689221933e-05,2.21185387184798e-05,0.00503,6.74939100436824e-06,5.21142777776697e-06,3.2e-05,3.09672885527078e-06,2.25186715958729e-06,0,0.00087,1.60762906345751e-05,0.00016,1.39726560207338e-05,0.00053,0.00139
"15",0.5927,0.0087,0.1748,0.0628,0.0363804579716875,9e-04,0.0298,0.0634,0.0467,0.0126,0.0017,4.3e-06,8.5e-06,0.00338,1.27e-05,3.92846731254129e-06,1.1e-06,0.000348,0.000463178992333751,0.000185,0.00038,2.3e-06,0.000347,2.76e-05,1.43e-05,1.1e-05,0.0029456619573746,0.000213,3.46e-05,1.00625921178374e-05,3.65e-05,5.4e-06,0.000147,0.000113,2e-06,1.29e-05,9.16e-05,0.000167,0.000332,9.92e-05,4.05e-05,0.000172,0,7.8e-06,0.000144,3.51e-05,1.59e-05,0.00539,8.6e-06,5.1e-06,0.000103,9e-07,2.1e-06,2.3e-05,0.00108,2.59e-05,0.000237,1.34e-05,0.000703,0.00156
"16",0.606,0.0084,0.1758,0.0606,0.0363804579716875,9e-04,0.032,0.0604,0.0425,0.0123,0.0018,1.4e-06,3.5e-06,0.00356,1.05e-05,3.92846731254129e-06,4.7e-07,0.000315,0.000463178992333751,0.00018,0.00034,2.2e-06,3e-04,2.79e-05,1.49e-05,1.12e-05,0.0029456619573746,2e-04,3.24e-05,1e-05,4.28e-05,5.52e-06,0.000139,0.000116,2.09e-06,7.95e-06,8.16e-05,0.000155,0.00029,9e-05,3.96e-05,0.00018,0,8.5e-06,0.00012,3.29e-05,1.52e-05,0.00548,5.47e-06,4.99e-06,2.33e-05,5.3e-07,2.15e-06,8.48e-06,0.00105,2e-05,0.00015,1.41e-05,0.00062,0.00146
"17",0.6043,0.0085,0.1752,0.0601,0.0363804579716875,9e-04,0.0312,0.0608,0.0426,0.0121,0.0014,1.07276611713763e-06,1.28298394521678e-05,0.00307,1.24755388072964e-05,3.92846731254129e-06,1.30374674152792e-06,0.000335,0.000463178992333751,0.00019,0.000385487754365569,2.5e-06,3e-04,2.6e-05,1.6e-05,1.2e-05,0.0029456619573746,0.00021,3.6e-05,1.00625921178374e-05,4e-05,5.60182198061512e-06,0.000165,0.000124,2e-06,1.44821293567416e-05,5e-05,0.00017,0.000344,0.000102823594623432,4.4e-05,0.00017,0,7.67534520812709e-06,0.000139364615396092,3.6e-05,2.21185387184798e-05,0.00527,6.74939100436824e-06,5e-06,2.7848902895025e-05,3.09672885527078e-06,2e-06,0,0.00105,1.60762906345751e-05,0.00014,1.4e-05,7e-04,0.00141
"18",0.602791992414683,0.0083,0.1455,0.0485,0.0363804579716875,0.00176,0.0262,0.0721,0.044,0.0113,0.00172869177164344,1.07276611713763e-06,1.28298394521678e-05,0.00516,1.24755388072964e-05,3.92846731254129e-06,1.30374674152792e-06,0.000361,0.000463178992333751,0.0001505,4.55e-05,2.6e-06,0.0005183,3.2e-05,1.45e-05,9.3e-06,0.0029456619573746,0.0001824,3.1e-05,1.00625921178374e-05,2.78e-05,6.6e-06,0.0001935,0.000116690197350288,2.1e-06,1.44821293567416e-05,9.33e-05,0.0002504,0.000151,0.000296,4.24e-05,0.0001958,0,7.67534520812709e-06,0.0001275,4.17e-05,2.21185387184798e-05,0.005513,1.5e-06,6e-06,2.7848902895025e-05,3.09672885527078e-06,3.6e-06,0,0.0008414,1.60762906345751e-05,0.000319,1.54e-05,0.0005832,0.001408
"19",0.6056,0.0082,0.1777,0.0613,0.0363804579716875,0.001,0.0319,0.0653,0.0125,0.039,0.0016,1.07276611713763e-06,1.28298394521678e-05,0.00231,1.24755388072964e-05,3.92846731254129e-06,1.30374674152792e-06,0.0003538,0.000463178992333751,0.0002098,0.0004505,3.72121628340981e-06,0.000282,2.86e-05,1.65e-05,1.34e-05,0.0029456619573746,0.000203830471368368,3.53e-05,1.00625921178374e-05,3.57805660831391e-05,8.8e-06,0.0001755,0.0001297,2.3e-06,1.44821293567416e-05,0,0.0001955,0.0003368,9.68e-05,4.89e-05,0.0001741,0,7.67534520812709e-06,0.000139364615396092,3.89e-05,2.21185387184798e-05,0.0050688,6.74939100436824e-06,8.2e-06,2.7848902895025e-05,3.09672885527078e-06,3.8e-06,0,0.0011413,1.60762906345751e-05,0.0001725,1.4e-05,0.0006723,0.00144911813858168
"20",0.6086,0.00839,0.1722,0.0613,0.0357,0.00095,0.0323,0.0612,0.0428,0.0126,0.0018,1.07276611713763e-06,1.28298394521678e-05,0.0032,1.2e-05,3.92846731254129e-06,1.30374674152792e-06,0.00038,0.000463178992333751,0.00018,0.00039,3.72121628340981e-06,0.00034,2.79290865630495e-05,1.8e-05,1.18e-05,0.0029456619573746,0.00022,3.2e-05,1.00625921178374e-05,3.57805660831391e-05,5.60182198061512e-06,0.00018,0.00011,2.2e-06,1.3e-05,9.6e-05,0.000162,0.00032,0.00011,4.288962827701e-05,0.00019,0,7.67534520812709e-06,0.000139364615396092,4.1e-05,1.5e-05,0.00551,6.74939100436824e-06,5.21142777776697e-06,2.7848902895025e-05,3.09672885527078e-06,2.25186715958729e-06,0,0.00114,1.60762906345751e-05,0.00016,1.4e-05,0.00062,0.0015
