"","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","B","Ba","Be","Bi","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"53",0.5839,0.0097,0.1637,0.0349,0.0284511702745096,0.001,0.0075,0.0333,0.0387,0.0347,0.0058,1.94807396581292e-06,2.00796680111083e-05,9.07327600470181e-05,0.01103,3.5752243378418e-05,2.6504647324052e-07,1.2529523174346e-06,0.00198,0.000363845036025331,0.000145,0.000915,8.2e-06,5.7e-05,8.66e-05,4.75e-05,5.52e-05,0.00137533093598794,0.000502,0.0001035,3.54e-05,0.000274,2.20656457398433e-07,1.69e-05,4.1758787455936e-07,0.00112,0.000170901031000371,6.8e-06,5.123713870101e-05,0.000846,0.0007725,3.2e-05,4.8e-05,0.0002241,0.00057,0.00069493265787484,4.22749679901447e-06,1.2e-05,9.35514898330883e-06,0.0001188,2.40523380272779e-05,0.01186,5.41e-05,1.51e-05,1.98001305486321e-06,0.0001212,2.28741361418248e-07,6.8e-06,3.76e-05,0.000371,3.2e-05,0.000215,4.36e-05,0.000459,0.00459
"54",0.569,0.0106,0.1913,0.0475,0.0284511702745096,0.00147,0.01089,0.0364,0.0617,0.03742,0.00588,1.3e-06,1.71e-05,9.07327600470181e-05,0.01323,3.73e-05,2.6504647324052e-07,1.2529523174346e-06,0.00192,0.000363845036025331,5.17e-05,0.00132,8.70729804230674e-06,6.4e-05,6.14e-05,3.3e-05,5.12e-05,0.00886,0.000251823974418666,8.29e-05,1.52088266702165e-05,0.000110587745026985,2.20656457398433e-07,1.15e-05,4.1758787455936e-07,0.00104,0.000170901031000371,4.9e-06,5.12e-05,0.00107082514996989,0.000728,3.73e-05,6.31e-05,0.000198,0.00063913199502828,0.00069493265787484,1.6e-06,6.63213645086315e-05,3.11e-05,0.000116,2.40523380272779e-05,0.0107931331876677,6.04e-05,1.19e-05,1.98001305486321e-06,0.000134,2.28741361418248e-07,4.8e-06,3.61e-05,0.000288,2.90989493106014e-05,0.000293,3.22e-05,0.000786,0.00481852508808543
"55",0.5744,0.01028,0.1977,0.04981,0.0284511702745096,0.00142,0.01204,0.0372,0.07169,0.0376,0.00597,1.94807396581292e-06,7e-05,9.07327600470181e-05,0.01321,3.5752243378418e-05,2.6504647324052e-07,1.2529523174346e-06,0.0017,0.000363845036025331,7e-05,0.0014,6e-05,8e-05,5.65099524016632e-05,3.19965127553293e-05,4.62537171715041e-05,0.00137533093598794,0.00025,8.21232697438004e-05,1.52088266702165e-05,0.000110587745026985,2.20656457398433e-07,1.10823815467242e-05,4.1758787455936e-07,0.00093,0.000170901031000371,5.26253697716601e-06,6e-05,0.00095,0.00063,4.08871347513166e-05,5.78630950131466e-05,0.000192196084287233,0.00067,0.00069493265787484,4.22749679901447e-06,6.63213645086315e-05,9.35514898330883e-06,0.000108139329811774,2.40523380272779e-05,0.01033,5.75176147986095e-05,1.1185143144412e-05,1.98001305486321e-06,0.00011,2.28741361418248e-07,4.51663855782488e-06,3.37170917770764e-05,0.00023,2.90989493106014e-05,0.00027,2.89354810607565e-05,0.00064,0.00472
"56",0.58056,0.01088,0.19693,0.04767,0.029,0.00146,0.01126,0.03736,0.07111,0.03775,0.00572,3.2e-06,3.03e-05,9.07327600470181e-05,0.0118768,2.99e-05,8e-07,4.3e-07,0.00212922,0.000363845036025331,0.0001581,0.0006954,5.7e-06,7.21e-05,6.786e-05,3.551e-05,4.672e-05,9.5375e-07,0.0002545,7.704e-05,3.7e-06,7.868e-05,2.20656457398433e-07,1.262e-05,3.2e-07,0.00117232,0.0002296,6.32e-06,6.44e-05,0.0011889,0.00065051,3e-05,8.16e-05,0.00018139,0.0004376,0.0019,3.1e-06,5.47e-05,6.4e-05,0.00011743,2.7e-05,0.0092185,8.35e-05,1.386e-05,2.4e-06,0.0001032,3.7e-07,5.04e-06,2.95e-05,0.0002826,3.15e-05,0.00028204,2.857e-05,0.0007669,0.0025262
"57",0.582,0.0105,0.1974,0.0424,0.0284511702745096,0.0011,0.0113,0.0365,0.0674,0.0377,0.0061,1.94807396581292e-06,2.00796680111083e-05,9.07327600470181e-05,0.01314,3.5752243378418e-05,2.6504647324052e-07,1.2529523174346e-06,0.00176,0.000363845036025331,5.57192190314981e-05,0.00141,8.70729804230674e-06,0.00012,5.5e-05,4.6e-05,4.9e-05,0.00137533093598794,0.00023,0.00015,1.52088266702165e-05,0.000110587745026985,2.20656457398433e-07,1.5e-05,4.1758787455936e-07,0.00098,0.00015,6e-06,5.123713870101e-05,0.00101,0.00065,4.08871347513166e-05,5.78630950131466e-05,0.00016,0.00063,0.00069493265787484,4.22749679901447e-06,6e-05,9.35514898330883e-06,0.00011,2.40523380272779e-05,0.01126,5.75176147986095e-05,1.3e-05,1.98001305486321e-06,1e-04,2.28741361418248e-07,7e-06,3e-05,0.00028,2.90989493106014e-05,3e-04,2.9e-05,0.00088,0.00441
"58",0.576569756325061,0.0109,0.1948,0.0476,0.0284511702745096,0.0014,0.0112,0.0358,0.0674,0.0379,0.0063,1.94807396581292e-06,2.00796680111083e-05,9.07327600470181e-05,0.01317,3.38e-05,2.6504647324052e-07,1.2529523174346e-06,0.00189,0.000363845036025331,4.8e-05,0.00121,5.4e-06,6.98e-05,5.75e-05,3.18e-05,4.92e-05,0.00137533093598794,0.000232,8.48e-05,1.66e-05,0.000158,2.20656457398433e-07,1.14e-05,4.1758787455936e-07,0.00101,0.000168,3e-06,4.96e-05,0.00135,0.000721,4.08871347513166e-05,5.63e-05,0.000205,0.000614,0.00069493265787484,3.6e-06,8.94e-05,9.35514898330883e-06,0.00011,2.04e-05,0.01088,4.25e-05,1.13e-05,1.98001305486321e-06,0.000121,2.28741361418248e-07,4.4e-06,3.17e-05,0.000301,2.11e-05,0.000301,3.05e-05,0.000802,0.00481852508808543
"59",0.578,0.0108,0.197,0.0482,0.0289,0.00138,0.0112,0.0379,0.0684,0.0385,0.006,1.94807396581292e-06,3e-05,9.07327600470181e-05,0.013,3.5752243378418e-05,2.6504647324052e-07,1.2529523174346e-06,0.0014,0.000363845036025331,2e-06,0.0016,8.70729804230674e-06,6.9e-05,5.65099524016632e-05,3.19965127553293e-05,4.62537171715041e-05,0.00137533093598794,0.00025,8.21232697438004e-05,1.52088266702165e-05,0.000110587745026985,2.20656457398433e-07,1.10823815467242e-05,4.1758787455936e-07,0.0011,0.000170901031000371,5.26253697716601e-06,5.123713870101e-05,0.001,5e-04,0.00025,5.5e-05,0.000192196084287233,6e-04,0.00069493265787484,4.22749679901447e-06,6.63213645086315e-05,9.35514898330883e-06,0.000108139329811774,2.40523380272779e-05,0.011,5.75176147986095e-05,1.1185143144412e-05,1.98001305486321e-06,9.5e-05,2.28741361418248e-07,4.51663855782488e-06,2.1e-05,0.00021,2.90989493106014e-05,3e-04,2.89354810607565e-05,0.00082,0.0054
"60",0.57984,0.010498,0.19988,0.048086,0.02913,0.0014148,0.011622,0.037548,0.06745,0.03806,0.006165,5.3e-07,6.9e-06,9.07327600470181e-05,0.0133997,3.748e-05,2.6504647324052e-07,2.1e-07,0.00181088,0.000363845036025331,5.037e-05,0.0012753,6.311e-06,6.59e-05,5.7286e-05,3.0987e-05,4.6519e-05,0.00137533093598794,0.00025554,7.3664e-05,1.52088266702165e-05,0.0001158,2.20656457398433e-07,1.0767e-05,3.4e-07,0.00096882,0.0001701,4.301e-06,5.045e-05,0.001086497,0.00069846,2.57e-05,5.98e-05,0.0001991,0.00061153,0.00115,2.05e-06,6.32e-05,4.72e-06,0.00010355,1.89e-05,0.0105431,5.8553e-05,1.038e-05,1.98001305486321e-06,0.000123124,2.03e-07,4.282e-06,3.2231e-05,0.0002825,2.52e-05,0.00029359,2.9061e-05,0.000774,0.005458
"61",0.594,0.011,0.18,0.04,0.0284511702745096,0.0014,0.009,0.036,0.072,0.039,0.0081,1.94807396581292e-06,2.00796680111083e-05,9.07327600470181e-05,0.0135,4.7e-05,2.6504647324052e-07,5e-06,0.00195,0.003,5.5e-05,0.00138,8.70729804230674e-06,7e-05,5.9e-05,3.1e-05,4.9e-05,0.0065,0.000267,9.5e-05,1.52088266702165e-05,0.000110587745026985,2.20656457398433e-07,1.1e-05,4.1758787455936e-07,0.00103,0.000171,4.4e-06,5.4e-05,0.00122,0.000718,3.4e-05,6.2e-05,0.000206,7e-04,0.0019,2.7e-06,6.7e-05,9.35514898330883e-06,0.000109,2.3e-05,0.011,5.75176147986095e-05,1.2e-05,1.98001305486321e-06,0.000115425077292255,2.28741361418248e-07,4.5e-06,3.9e-05,0.000303,2.90989493106014e-05,0.00028,3e-05,0.000827,0.00535
"62",0.5841,0.0109,0.1821,0.0472,0.0282,0.0138,0.0101,0.035,0.0568,0.0362,0.0065,1.94807396581292e-06,2.46e-05,0.000202,0.012964,2.2e-05,1.03e-05,2.7e-06,0.0018532826870116,0.000363845036025331,0.0001043,0.0012465,8.70729804230674e-06,1.45e-05,5.65099524016632e-05,3.19965127553293e-05,4.62537171715041e-05,0.00137533093598794,0.000251823974418666,8.21232697438004e-05,1.52088266702165e-05,0.000110587745026985,2.20656457398433e-07,1.10823815467242e-05,4.1758787455936e-07,0.000855,0.000188,5.26253697716601e-06,4.53e-05,0.00107082514996989,0.000669670117918681,2.86e-05,2.61e-05,0.000192196084287233,0.00063913199502828,0.00069493265787484,1.57e-05,5.6e-05,9.35514898330883e-06,0.000108139329811774,2.07e-05,0.01056,5.75176147986095e-05,1.1185143144412e-05,1.98001305486321e-06,0.000115425077292255,2.28741361418248e-07,4.51663855782488e-06,3.37170917770764e-05,0.0003102,1.91e-05,0.000306,2.89354810607565e-05,0.000734,0.00346
