"","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Ba","Be","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","Ga","Gd","Ge","Hf","Hg","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr","Rest"
"1",0.397245098649765,9.26843440620077e-05,0.00333663638623228,0.0803573263017607,0.0673337240032523,0.00111221212874409,0.440806740358909,0.00398542679466633,9.26843440620077e-05,9.26843440620077e-05,5.61419250834677e-05,3.98338514422126e-08,3.57538113344654e-07,1.00099091586968e-06,7.52690720124916e-08,1.85368688124015e-08,4.44884851497637e-07,6.90602040789631e-05,0.000111221212874409,0.00266930910898582,6.0244823640305e-09,5.60740281575147e-06,4.7269015471624e-09,2.03905556936417e-07,1.01952778468209e-09,4.7269015471624e-07,1.57563384905413e-07,7.70496613424863e-07,1.57563384905413e-08,7.80124264946118e-09,1.01952778468209e-09,3.89274245060432e-08,1.86295531564636e-06,2.68784597779822e-09,4.23927135678362e-07,2.4097929456122e-08,2.4097929456122e-07,0.00221700950996323,0.000226149799511299,2.13173991342618e-06,6.58058842840255e-08,6.86159943508298e-05,1.88194871914422e-06,9.45380309432479e-06,3.24395204217027e-09,3.82603516831388e-07,2.87321466592224e-07,1.11221212874409e-07,8.34159096558069e-10,1.01952778468209e-08,1.56439366187003e-08,1.29758081686811e-09,2.50247728967421e-09,3.38297855826328e-05,6.21081965729967e-06,3.33663638623228e-08,1.29758081686811e-08,6.0337507984367e-05,7.2293788368366e-07,1.11022302462516e-16
"2",0.413662869796757,2.80196118625033e-05,0.00550118379567148,0.0839654368813016,0.0673337246755159,0.00122352305132931,0.420574374056175,0.00434303983868801,0.000579071978491735,0.00016811767117502,5.61419256439918e-05,3.9833851839916e-08,3.57538116914335e-07,1.26742044324723e-05,7.52690727639822e-08,1.08854813724394e-07,4.76333401662556e-07,6.9060204768464e-05,8.24897373232097e-05,0.000461464327634188,2.33790124459222e-08,6.72470684700079e-06,1.8301184994736e-08,2.5217650676253e-07,7.36223695836929e-09,3.64254954212543e-07,2.14817024279192e-07,7.70496621117544e-07,4.29634048558384e-07,7.80124272734922e-09,3.80480026364101e-09,4.10954307316715e-08,7.24773960176752e-06,4.8377769213078e-09,4.23927139910874e-07,1.34129624786851e-07,1.85863425354605e-07,0.00155882440661727,0.000162887343627353,2.97941872804618e-06,2.24580489952977e-07,6.86159950358957e-05,1.63074141039769e-05,9.90960272870534e-06,2.36300454308673e-08,3.82603520651323e-07,3.80132734267962e-06,9.33987062083444e-09,4.92034339930546e-09,7.46547654590627e-08,1.56439367748902e-08,3.60251956682166e-09,2.40444300577772e-08,1.45048190741559e-05,6.21081971930884e-06,8.59268097116768e-07,2.80132591166893e-08,3.26241680785747e-05,3.4015808801079e-05,0
"3",0.392246942747745,0.000359859580502518,0.00274629679857185,0.076612210691194,0.0673337249944737,0.00104169878566518,0.433536094615929,0.00236749724014815,0.00814419050610962,0.0113639867527111,0.000189399779211852,3.98338520286077e-08,3.57538118607981e-07,1.89399779211852e-06,7.52690731205294e-08,1.08854814240036e-07,7.57599116847407e-07,6.90602050956e-05,7.00779183083851e-05,0.000364689274872421,2.33790125566679e-08,9.46998896059259e-06,2.65159690896592e-08,2.71788683169007e-07,9.46998896059259e-09,5.71918516232659e-07,3.78799558423703e-07,7.70496624767362e-07,7.21715335399161e-08,7.80124276430346e-09,5.68199337635555e-09,1.85074318841811e-07,2.84099668817778e-06,4.73499448029629e-09,1.88452780315792e-05,2.84099668817778e-06,3.26714619140444e-07,0.00250481208007674,0.000126329652734305,2.56636700832059e-06,2.24580491016808e-07,6.86159953609275e-05,2.36749724014815e-06,9.00690650041961e-06,2.9356965777837e-08,3.82603522463704e-07,5.29193890544093e-07,1.789827913552e-07,5.68199337635555e-08,1.79929790251259e-07,1.5643936848995e-08,4.73499448029629e-09,2.40444301716749e-08,2.91736602039822e-05,6.21081974872929e-06,1.74247796874904e-07,2.55689701936e-08,6.34489260359703e-05,2.00942720803439e-06,0.000684760185095112
"4",0.361137616516748,0.000163013507455477,0.0040780247222241,0.0916279220477762,0.0673337210487922,0.00124320191400111,0.458139610238881,0.00913592184640584,0.000342149229934023,0.000132257971335908,5.61419226200799e-05,1.51369685494371e-08,2.0081114489845e-07,9.37596371452709e-07,7.52690687098453e-08,8.97469969617515e-08,5.49767532286657e-07,6.90602010487487e-05,0.000119415186615065,0.00332764309433372,9.20757613539726e-08,1.43935553011512e-05,1.8301184008999e-08,2.62254697708591e-07,9.5837611526022e-09,5.46811792865761e-07,4.65752878444219e-09,3.41092329171399e-06,1.85405472765295e-08,7.8012423071593e-09,1.03003040425164e-08,6.53845387046692e-08,2.05807897843477e-06,6.18018242550983e-09,3.13935353643652e-07,1.71074614967011e-08,2.22128295873397e-07,0.0026048752380634,0.000174349215973919,2.4861351244185e-06,2.56343218866799e-07,0.000160326471618299,2.27681503270232e-06,1.57518519168447e-05,1.88092508602473e-09,8.03065443871321e-07,4.35747644929063e-07,6.53845387046692e-09,1.25395005734982e-09,7.43413248285965e-09,1.56439359322777e-08,2.50790011469964e-09,6.53845387046692e-09,4.09142407426549e-05,7.95819403897064e-06,3.3140108658531e-08,1.72865972191797e-08,5.9568807906542e-05,8.1802327669828e-07,0
"5",0.40095219723588,7.58265846876287e-05,0.0036552444348292,0.0872572453545125,0.0673337249927837,0.00103096637905439,0.429256910551737,0.00440503816505058,0.000368396034795281,0.000132257979082759,5.61419259085253e-05,3.98338520276079e-08,3.57538118599008e-07,3.28971999134628e-07,3.18662335344084e-09,1.08854814237304e-07,5.38914243596613e-07,6.90602050938667e-05,0.00011153181737043,0.0026327132352398,9.84104270915555e-09,6.12019132293197e-06,5.18294916015525e-09,2.51180899624161e-07,1.2840217630041e-09,5.52035633875487e-07,1.07782848719323e-07,9.14748350870077e-07,1.58393925509265e-08,7.80124276410766e-09,1.39649082253731e-09,3.04603702902434e-08,1.93071885532004e-06,3.45842358064609e-09,4.23927141908364e-07,1.05908364393769e-08,1.89322916880897e-07,0.00224282049552469,0.000223063634740859,2.23063634740859e-06,2.455574466475e-07,6.86159953592054e-05,1.8819487468012e-06,8.58513821103474e-06,4.66746597062806e-09,3.82603522454101e-07,1.79013253090353e-07,1.1153181737043e-08,9.46614584404486e-10,2.95231281274666e-09,1.56439368486024e-08,1.73389800113693e-09,2.03381549322548e-09,3.25223030483521e-05,6.21081974857342e-06,2.70862985042472e-08,1.43398050904838e-08,6.33575702037062e-05,6.15768100944304e-07,1.11022302462516e-16
"6",0.427580682782719,9.92066549379858e-05,0.00436509281727138,0.0859129631762957,0.0673337249944737,0.00128968651419382,0.398314719576013,0.00476191943702332,0.000297619964813957,0.000198413309875972,1.78571978888374e-05,3.98338520286077e-08,3.57538118607981e-07,4.67263344757913e-05,8.92859894441872e-08,1.08854814240036e-07,9.92066549379858e-07,6.90602050956e-05,0.000115377339692877,0.00291270738897926,1.19047985925583e-07,4.06747285245742e-06,2.97619964813957e-08,2.67857968332562e-07,9.92066549379858e-09,7.7381190851629e-07,2.38095971851166e-07,7.70496624767362e-07,9.92066549379858e-08,7.80124276430346e-09,6.94446584565901e-09,2.7777863382636e-07,2.05807909903591e-06,4.96033274689929e-09,2.57937302838763e-07,4.76191943702332e-07,4.1666795073954e-07,0.00220933220546894,0.000324405761647214,2.57937302838763e-06,1.28968651419382e-06,6.86159953609275e-05,1.88194874684843e-06,8.53177232466678e-06,3.96826619751943e-08,1.88492644382173e-07,3.07540630307756e-06,1.98413309875972e-08,6.94446584565901e-09,6.94446584565901e-08,1.98413309875972e-08,7.93653239503887e-09,1.98413309875972e-08,3.42262959536051e-05,6.25001926109311e-06,2.28175306357367e-07,2.7777863382636e-08,8.10518370843344e-05,2.67857968332562e-06,0.00392822583382346
"7",0.400765087521178,7.58265846895317e-05,0.00344283915446566,0.0833725373621955,0.0730440198987985,0.00120964618940685,0.427377303688129,0.00446638593011761,0.000372198827509801,0.000132257979086079,5.61419259099343e-05,3.98338520286077e-08,9.30497068774503e-07,4.83858475762742e-07,7.52690731205294e-08,1.08854814240036e-07,3.72198827509801e-07,6.90602050956e-05,0.000113520642390489,0.00285104301872508,2.33790125566679e-08,5.42479791095535e-06,1.83011850814282e-08,2.04709355130391e-07,7.36223699324398e-09,5.71918516232659e-07,5.93872370502331e-08,1.86099413754901e-06,7.21715335399161e-08,7.80124276430346e-09,3.80480028166422e-09,9.30497068774503e-08,2.05807909903591e-06,4.8377769442242e-09,4.23927141919003e-07,1.34129625422219e-07,1.86099413754901e-07,0.00222016600609596,0.00022518029064343,2.38207249606273e-06,2.24580491016808e-07,6.86159953609275e-05,1.39574560316175e-06,8.37447361897053e-06,2.3630045542802e-08,3.82603522463704e-07,1.48879531003921e-07,3.47461098253407e-08,4.92034342261297e-09,7.46547658126999e-08,1.5643936848995e-08,3.60251958388668e-09,2.40444301716749e-08,3.07064032695586e-05,5.58298241264702e-06,2.34539713366041e-07,2.80132592493872e-08,7.44397655019602e-05,7.44397655019602e-07,1.77818932245444e-07
"8",0.405191696796162,7.58265846895317e-05,0.00358576722828462,0.0853035151149814,0.0673337249944737,0.00119840115261091,0.426045764097501,0.00443502788761518,0.000368396034804526,0.000132257979086079,5.61419259099343e-05,3.98338520286077e-08,3.57538118607981e-07,3.96321641020931e-06,7.52690731205294e-08,1.08854814240036e-07,9.47397446630988e-07,6.90602050956e-05,9.0851895102346e-05,0.00284030509398334,1.50979672769879e-08,6.86889195150974e-06,2.83086886443522e-08,3.08564706223439e-07,7.54898363849393e-09,5.71918516232659e-07,3.01959345539757e-08,7.70496624767362e-07,5.75610002435162e-08,7.80124276430346e-09,4.71811477405871e-09,2.18920525516324e-07,2.05807909903591e-06,4.71811477405871e-09,4.23927141919003e-07,9.24750495715507e-08,3.66125706466956e-07,0.00239680230522182,0.000221156911919228,2.65158050302099e-06,3.6329483760252e-07,6.86159953609275e-05,1.88194874684843e-06,8.40768052737262e-06,2.64214427347288e-08,3.82603522463704e-07,2.07030876285696e-06,4.24630329665284e-08,4.71811477405871e-09,1.11347508667785e-07,1.5643936848995e-08,3.60251958388668e-09,3.3026803418411e-08,3.49140493280344e-05,6.21081974872929e-06,1.6796488595649e-07,2.5477819779917e-08,6.60536068368219e-05,1.90894923758415e-06,0.000444084829999136
"9",0.403390629466708,7.58265846895317e-05,0.00358385981478434,0.0848023792299363,0.0673337249944737,0.00118492537855304,0.428956121600968,0.00447513385249249,0.000368396034804526,0.000132257979086079,5.61419259099343e-05,3.98338520286077e-08,3.57538118607981e-07,1.37350020126813e-06,7.52690731205294e-08,9.10037701659898e-08,5.00989827511738e-07,6.90602050956e-05,0.000116559880468274,0.00272288909435827,2.33790125566679e-08,6.86889195150974e-06,2.34545799396881e-09,2.64022093553398e-07,7.36223699324398e-09,4.94891636727419e-07,5.93872370502331e-08,7.70496624767362e-07,1.87636639517505e-08,7.80124276430346e-09,1.40727479638129e-09,4.31564270890261e-08,2.00958840923248e-06,2.81454959276257e-09,4.23927141919003e-07,1.34129625422219e-07,2.0827666986443e-07,0.00225923895811052,0.000229010518531115,2.19794025158905e-06,2.24580491016808e-07,6.86159953609275e-05,1.88194874684843e-06,8.73542375273743e-06,2.3630045542802e-08,3.82603522463704e-07,5.29193890544093e-07,3.47461098253407e-08,4.92034342261297e-09,7.46547658126999e-08,1.5643936848995e-08,9.38183197587524e-10,2.40444301716749e-08,3.52118917718549e-05,7.59553116766859e-06,2.34539713366041e-07,1.26654731674316e-08,5.51651720181464e-05,7.09266497376168e-07,4.83903744602499e-05
"10",0.406041427573533,0.000186214825761767,0.00353808168947357,0.0827724900511054,0.0673337243323826,0.00121039636745148,0.428573421490706,0.0044691558182824,0.000186214825761767,9.31074128808834e-05,9.31074128808834e-06,3.98338516369223e-08,3.57538115092317e-07,1.21039636745148e-06,7.52690723804102e-08,1.08854813169669e-07,8.14639226510739e-07,6.90602044165325e-05,9.08518942090013e-05,0.00280253312771459,2.7932223864265e-08,6.86889188396808e-06,4.65537064404417e-08,2.64022090957275e-07,2.97943721218827e-07,4.65537064404417e-07,4.65537064404417e-08,7.70496617191086e-07,1.86214825761767e-07,7.80124268759401e-09,9.31074128808835e-09,4.65537064404417e-07,2.05807907879887e-06,9.31074128808835e-09,4.23927137750537e-07,1.86214825761767e-07,1.86214825761767e-07,0.00222825839627875,0.000220013102212002,2.34630680459826e-06,1.86214825761767e-07,6.86159946862279e-05,1.88194872834327e-06,8.94113405387855e-06,2.7932223864265e-08,9.31074128808835e-07,5.29193885340541e-07,9.31074128808834e-08,9.31074128808835e-09,4.65537064404417e-08,1.56439366951685e-08,1.86214825761767e-08,4.65537064404417e-08,4.65537064404417e-06,7.44859303047068e-06,4.65537064404417e-07,4.65537064404417e-08,6.2643280571725e-05,1.86214825761767e-06,0
