"","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Ba","Be","Bi","Cd","Ce","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"16",0.5743,0.00443,0.1557,0.089,0.0496141545131825,0.00131,0.0484,0.0668,0.0238,0.0022,0.00046,6.08158250099154e-06,8.17327248389814e-05,0.00149,5.49071902153465e-06,2.90122037720674e-06,1.2e-06,0.000130313858196993,0.00032,0.00074,1.52780479619246e-06,0.00068,3.38346068146104e-05,2.36505487294475e-05,5.09457872967749e-06,0.00405457903534988,0.00015,2.72597109896994e-05,1.66186775093521e-05,1.58665417758614e-05,8.19409417135901e-06,5.66586685943691e-05,0.000204914223653457,4.11335344362184e-06,1.41337519664189e-05,5e-05,7.3512274766528e-05,1e-04,3.3e-05,1.65482933551368e-05,1e-04,0.001,3.04805640460387e-06,0.00016,2.76595887353495e-05,2.09572745524416e-05,1.31041291806399e-05,0.00103,1.6074449232049e-06,4.90387120974824e-06,1.46381295050957e-05,2.00000006666668e-07,3.70222301825032e-06,4.8564925498419e-06,0.00083,1.0222241549637e-05,0.00027,2.49154346546557e-05,0.00078,0.00055
"17",0.58099,0.00426,0.14999,0.08712,0.0496141545131825,0.00135,0.04549,0.06659,0.02477,0.00209,0.00049,3.2e-05,8.4e-05,0.001138,3.6e-06,2.90122037720674e-06,1.81684930056844e-06,0.0001213,0.000291,0.000234,1.52780479619246e-06,0.000546,3.38e-05,2.383e-05,5e-06,0.00405457903534988,0.000125,2.65e-05,1.66186775093521e-05,2.055e-05,7.51e-06,5.17e-05,0.000202,3.82e-06,3.5e-05,1.8e-05,6.97e-05,0.00011,3.7e-05,1.58e-05,2.2e-05,0.000759934387466488,3.04805640460387e-06,0.000278,2.76595887353495e-05,2.08e-05,1.31041291806399e-05,0.000946,1.6e-06,4.69e-06,1.81e-05,2.00000006666668e-07,3.56e-06,3.95e-06,0.001951,1.6e-05,0.000191,2.544e-05,0.000681,0.000489
"18",0.6178,0.0045,0.1496,0.0887,0.0496141545131825,0.0012,0.0459,0.066,0.0231,0.0024,6e-04,6.08158250099154e-06,5e-05,0.00163,8e-06,2.90122037720674e-06,1.81684930056844e-06,0.00016,0.00029,0.00033,1.52780479619246e-06,0.00045,4e-05,3e-05,9e-06,0.00405457903534988,7e-05,3e-05,1.66186775093521e-05,1.58665417758614e-05,2e-05,9e-05,0.00028,6e-06,2e-05,3e-05,8e-05,1e-04,6e-05,2e-05,6e-05,0.000759934387466488,3.04805640460387e-06,0.000314321297848434,2.76595887353495e-05,2e-05,1.31041291806399e-05,0.00112,3e-06,8e-06,3e-05,2.00000006666668e-07,5e-06,3e-06,0.0052,1.0222241549637e-05,0.00022,3e-05,0.00072,2e-04
"19",0.5799,0.00433,0.149,0.0889,0.0496141545131825,0.00125,0.0465,0.0656,0.024,0.0022,0.00049,6.08158250099154e-06,8.17327248389814e-05,0.00135,5.49071902153465e-06,2.90122037720674e-06,1.81684930056844e-06,0.000130313858196993,0.00027,3e-04,1.52780479619246e-06,0.00053,3.38346068146104e-05,2.36505487294475e-05,5.09457872967749e-06,0.00405457903534988,0.00014,2.72597109896994e-05,1.66186775093521e-05,1.58665417758614e-05,8.19409417135901e-06,5.66586685943691e-05,0.000204914223653457,4.11335344362184e-06,1.41337519664189e-05,2e-05,7.3512274766528e-05,0.00013,5.22767240934477e-05,1.65482933551368e-05,1.8e-05,0.00058,3.04805640460387e-06,0.000321,2.76595887353495e-05,2.09572745524416e-05,1.31041291806399e-05,0.00104,1.6074449232049e-06,4.90387120974824e-06,1.46381295050957e-05,2.00000006666668e-07,3.70222301825032e-06,4.8564925498419e-06,0.00221,1.0222241549637e-05,0.00021,2.49154346546557e-05,8e-04,0.00056
"20",0.583,0.014,0.15,0.089,0.0496141545131825,0.0013,0.0477,0.0633,0.0245,0.00214,0.00049,6.08158250099154e-06,0.000121,0.00147,5.49071902153465e-06,2.90122037720674e-06,1.81684930056844e-06,0.000148,0.000252,0.000259,1.52780479619246e-06,0.000613,3.6e-05,2.5e-05,7e-06,0.00405457903534988,0.00017,3.3e-05,2.6e-05,1.6e-05,8e-06,6.3e-05,0.000221,4.11335344362184e-06,9e-06,2.1e-05,7.8e-05,9.9e-05,5e-05,1.7e-05,9.7e-05,0.000759934387466488,3.04805640460387e-06,0.000434,1e-05,2.5e-05,6e-06,0.00111,1.6074449232049e-06,4.90387120974824e-06,2e-05,2.00000006666668e-07,3.70222301825032e-06,4.8564925498419e-06,0.00216,6e-06,0.000207,2.4e-05,0.00073,0.000226
"21",0.58,0.00436,0.149,0.0893,0.049,0.00125,0.0471,0.0631,0.0242,0.0021,0.00045,6.08158250099154e-06,9e-05,0.00138,5.49071902153465e-06,2.90122037720674e-06,1.81684930056844e-06,0.000138,0.00024,0.00022,9e-06,0.000611,3.85e-05,2.7e-05,5.6e-06,0.00405457903534988,0.00014,3.1e-05,1.66186775093521e-05,2.1e-05,8.85e-06,6.3e-05,0.000204914223653457,4.35e-06,1.41337519664189e-05,6e-05,8.1e-05,9e-05,1e-04,1.8e-05,5e-05,0.000759934387466488,1e-04,0.000334,2.76595887353495e-05,2.7e-05,5e-05,0.00101,1.6074449232049e-06,5.5e-06,1.5e-05,2.00000006666668e-07,4e-06,4e-06,0.00204,2e-05,0.000225,2.8e-05,0.000648,0.00054
"22",0.5839,0.0045,0.152,0.0919,0.0489,0.0014,0.0475,0.0656,0.0239,6e-04,2e-04,2e-05,7e-05,0.00145,5.49071902153465e-06,2.90122037720674e-06,1.81684930056844e-06,0.00012,0.00021,0.00029,1.3e-06,0.00062,3.5e-05,2.4e-05,5.1e-06,0.00405457903534988,0.00014,2.8e-05,1.66186775093521e-05,1.2e-05,7.7e-06,5.4e-05,0.000204914223653457,3.6e-06,9.7e-05,2.1e-05,7.2e-05,0.000214,5.22767240934477e-05,1.6e-05,2e-05,0.001,3.04805640460387e-06,0.00028,0.00019,2.2e-05,1.31041291806399e-05,0.0011,1.5e-06,4.9e-06,1.6e-05,2.00000006666668e-07,3.6e-06,3.7e-06,0.00215,1.0222241549637e-05,0.00017,2.3e-05,0.00074,0.00058
"23",0.5578,0.0038,0.1222,0.1019,0.0496141545131825,0.0013,0.0776,0.0585,0.0248,0.0019,4e-04,3.1e-06,6.08e-05,0.00143,3.6e-06,2.90122037720674e-06,1.8e-06,0.000116,0.00023,0.000291,1.52780479619246e-06,0.000612,3.27e-05,2.5e-05,3.3e-06,0.00405457903534988,0.000122,2.7e-05,1.66186775093521e-05,1.49e-05,7.2e-06,6.11e-05,0.000181,3.6e-06,1.09e-05,2.82e-05,6.84e-05,0.000174,7.77e-05,1.57e-05,2.58e-05,0.00035,1.7e-06,0.000314321297848434,3.5e-06,2.21e-05,6.4e-06,0.00102,1.3e-06,4.7e-06,1.68e-05,2.00000006666668e-07,3.4e-06,3.8e-06,0.00241,3.7e-06,0.000296,2.68e-05,0.000736,6e-04
"24",0.581,0.0045,0.1495,0.0909,0.0496141545131825,0.00133,0.0456,0.0662,0.0239,0.0021,0.00055,6.08158250099154e-06,8.17327248389814e-05,0.00129,4.6e-06,2.90122037720674e-06,1.8e-06,0.000136,0.00023,0.00032,1.52780479619246e-06,0.00075,3.9e-05,2.7e-05,5.9e-06,0.0075,0.00013,2.3e-05,1.66186775093521e-05,1.8e-05,9e-06,6.1e-05,0.00019,4.3e-06,6.6e-06,5e-05,7.7e-05,0.00012,4.2e-05,1.8e-05,2.1e-05,6e-04,2.2e-06,0.00035,2.76595887353495e-05,2.2e-05,1.31041291806399e-05,0.00108,1.6074449232049e-06,4.90387120974824e-06,1.46381295050957e-05,2.00000006666668e-07,4e-06,3.8e-06,0.0022,1.0222241549637e-05,0.00021,2.7e-05,7e-04,0.00045
"25",0.5744,0.00432,0.1531,0.09193,0.0496141545131825,0.00126,0.04825,0.06618,0.02548,0.002,0.000481,6.08158250099154e-06,8.17327248389814e-05,0.00125,5.49071902153465e-06,2.90122037720674e-06,1.81684930056844e-06,0.000119,0.000245,0.000201,1.52780479619246e-06,0.000631,3.24e-05,2.37e-05,4.9e-06,0.00405457903534988,0.000136,2.74e-05,1.66186775093521e-05,1.42e-05,7.5e-06,5.41e-05,0.000204914223653457,3.7e-06,1.41337519664189e-05,1.78e-05,6.95e-05,0.000129,4.02e-05,1.56e-05,1.76e-05,0.000759934387466488,4.4e-06,0.000349,2.76595887353495e-05,2.01e-05,1.31041291806399e-05,0.0011,1.6074449232049e-06,5e-06,1.62e-05,2.00000006666668e-07,3.6e-06,4e-06,0.00219,1.0222241549637e-05,0.000226,2.37e-05,0.000735,0.000421
"26",0.5831,0.0048,0.1474,0.0923,0.0496141545131825,0.0014,0.0483,0.0668,0.0257,0.0017,3e-04,6.08158250099154e-06,5.2e-05,0.000971,1.98e-05,2.90122037720674e-06,5e-07,0.0001246,0.000229,0.00027,1.34e-06,0.00064,3.182e-05,2.246e-05,5e-06,0.00405457903534988,0.0001374,2.515e-05,1.66186775093521e-05,1.76e-05,8.27e-06,5.546e-05,0.000204914223653457,4.12e-06,1.074e-05,2.2e-05,7.616e-05,0.000106,3.47e-05,1.648e-05,3e-05,0.000759934387466488,5.4e-06,0.000314321297848434,2.76595887353495e-05,2.029e-05,7.7e-06,0.00106,1.43e-06,4.98e-06,1.75e-05,2.00000006666668e-07,3.47e-06,3.26e-06,0.00251,4.5e-06,0.000241,2.514e-05,0.000785,0.00056
"27",0.5756,0.00433,0.1562,0.0892,0.0496141545131825,0.00136,0.0502,0.0654,0.0211,0.00209,0.00057,6.08158250099154e-06,9e-05,0.00143,5.49071902153465e-06,4e-05,1.81684930056844e-06,0.00019,2e-04,0.00023,1.52780479619246e-06,0.00051,3.38346068146104e-05,2.36505487294475e-05,5.09457872967749e-06,0.00405457903534988,0.00014,2.72597109896994e-05,1.66186775093521e-05,1.58665417758614e-05,8.19409417135901e-06,7e-05,0.000204914223653457,4.11335344362184e-06,4e-05,6e-05,1e-04,9e-05,3.3e-05,1.65482933551368e-05,3e-05,0.000759934387466488,3.04805640460387e-06,0.00037,2.76595887353495e-05,2.09572745524416e-05,2e-05,0.00101,1.6074449232049e-06,4.90387120974824e-06,5e-07,2.00000006666668e-07,3.70222301825032e-06,8.4e-06,0.0022,1.0222241549637e-05,0.00021,2.49154346546557e-05,0.00077,0.00065
"28",0.5795,0.00456,0.1533,0.0912,0.0463,0.00127,0.048,0.0654,0.0251,0.0022,4e-04,6.08158250099154e-06,5.9e-05,0.00124,3e-06,2.90122037720674e-06,1.81684930056844e-06,0.00017,2e-04,0.00023,1.52780479619246e-06,0.00059,3.38346068146104e-05,2.36505487294475e-05,5.09457872967749e-06,0.00405457903534988,0.00014,2.72597109896994e-05,1.66186775093521e-05,1.58665417758614e-05,8.19409417135901e-06,5e-05,2e-04,4.11335344362184e-06,9e-06,2.73309666524919e-05,7.3512274766528e-05,0.000126511603119154,5.22767240934477e-05,1.65482933551368e-05,2.82517556562256e-05,0.000759934387466488,2e-06,0.00033,2.76595887353495e-05,2.09572745524416e-05,1.6e-05,9e-04,1.6074449232049e-06,4.90387120974824e-06,6e-05,2.00000006666668e-07,3.70222301825032e-06,4.8564925498419e-06,0.0023,1.0222241549637e-05,0.00021,2.49154346546557e-05,0.00066,0.00052
"29",0.583,0.0044,0.152,0.09,0.052,0.0013,0.0469,0.0648,0.024,0.0021,5e-04,6.08158250099154e-06,8.17327248389814e-05,0.00155,5.49071902153465e-06,2.90122037720674e-06,3e-06,0.00012,0.00022,0.00035,1.3e-06,7e-04,3.3e-05,2.2e-05,5.1e-06,0.0025,0.00014,2.9e-05,1.66186775093521e-05,1.5e-05,7.5e-06,5.3e-05,0.000204914223653457,3.8e-06,1.41337519664189e-05,2.1e-05,7.3e-05,0.00012,9e-05,1.6e-05,2.1e-05,0.00081,3.04805640460387e-06,0.00032,2.76595887353495e-05,2.2e-05,1.31041291806399e-05,0.0011,2e-06,5.2e-06,1.5e-05,2e-07,3.6e-06,3.4e-06,0.002,1.0222241549637e-05,0.00022,2.4e-05,6e-04,0.00049
"30",0.5751,0.0044,0.1525,0.0935,0.0496141545131825,0.0012,0.0473,0.0653,0.025,0.0018,0.0014,6.08158250099154e-06,8.31e-05,0.00116,6.6e-06,1e-06,1.5e-06,0.0001178,0.000217,0.00029,2.1e-06,0.00062,3.08e-05,2.14e-05,4.2e-06,0.00405457903534988,0.000145,2.53e-05,1.1e-05,1.47e-05,7.6e-06,5.44e-05,0.000204914223653457,3.9e-06,5.9e-06,1.83e-05,6.67e-05,0.000163,4.06e-05,1.48e-05,2.13e-05,0.000759934387466488,2.8e-06,0.000314321297848434,2.76595887353495e-05,2.04e-05,5.5e-06,0.00102,1.4e-06,4.4e-06,1.58e-05,2.00000006666668e-07,3.5e-06,4.5e-06,0.00211,3.8e-06,0.000195,2.44e-05,0.000641,0.00052
"31",0.5879,0.0044,0.1514,0.0886,0.0496141545131825,0.00129,0.0469,0.0653,0.0248,0.00217,0.00044,5e-06,8.1e-05,0.0013,5.49071902153465e-06,1.5e-05,4e-06,0.000121,0.00026,0.00023,1.52780479619246e-06,0.00053,3.38346068146104e-05,2.36505487294475e-05,4.9e-06,0.00355,0.000126,2.72597109896994e-05,1.6e-05,1.5e-05,6.9e-06,5.2e-05,0.000204914223653457,4e-06,1.8e-05,1.5e-05,6.7e-05,0.00012,4e-05,1.65482933551368e-05,2e-05,0.000759934387466488,1.7e-06,0.00033,2.76595887353495e-05,1.92e-05,5e-06,0.001,1.6074449232049e-06,4.1e-06,1e-05,2.00000006666668e-07,3.70222301825032e-06,4e-06,0.0023,1.0222241549637e-05,2e-04,2.28e-05,0.00084,0.00053
