"","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Au","B","Ba","Be","Bi","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","Ir","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Pt","Rb","S","Sb","Sc","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1",0.408545224636843,0.00351682202546932,0.0756812676509968,0.110942280043565,0.0789996688737106,0.00167953769554076,0.198324636280622,0.0727304776665661,0.0106803750694332,0.00045054965176786,0.000399006192863274,2.30809731030987e-06,8.51030804399383e-06,2.72103069073314e-08,0.00022518795021696,5.48401534842314e-05,1.19678538372631e-06,5.17313100678008e-07,1.36148599978177e-06,1.23877504063365e-05,0.000568759432310541,0.000909548535452515,0.0223165091589808,1.74449219205338e-06,0.000474260616680045,1.43827813706529e-05,9.26065535994296e-06,2.96934841200576e-06,0.00173274250238914,9.66894076659376e-05,1.15062250965223e-05,1.43549437292903e-05,5.3077102864603e-06,3.12709504639357e-06,1.70933696787139e-08,3.99006192863274e-06,5.18562579135989e-05,1.43827813706529e-06,3.33718692614254e-06,3.21060797048123e-06,1.4150801025965e-05,0.00765906306021736,8.02544067106376e-06,2.3198034468795e-06,9.58383036850018e-08,9.52975255978099e-06,0.000763288479506145,3.42645916371097e-06,0.000257006604362078,6.699592354588e-06,7.37732414011251e-06,0.000156261960181803,2.3198034468795e-07,2.09710231597907e-06,2.69097199838022e-07,1.67902768222022e-07,1.3918820681277e-06,1.50187628986066e-07,0.00167860977416201,1.37318523122375e-06,8.95629714771237e-05,9.49263570463092e-06,0.00067515559517981,0.000173057337137211
"2",0.411912939917625,0.00359670761770465,0.0743619299960436,0.111857606910615,0.0765524745254902,0.00161851842796709,0.198538260497297,0.0732829177107322,0.0110598759244418,8.99176904426162e-05,0.000359670761770465,2.23659874868979e-06,8.24668190424166e-06,2.63674057885506e-08,0.000218212241496722,5.12530835522912e-05,5.39506142655697e-07,5.01288151279e-07,1.31931087561544e-06,1.1239711305327e-05,0.00055114081582656,0.000791275675895022,0.0216341963204934,1.79835380885232e-06,0.000368662530814726,1.38473243281629e-05,8.81193366337638e-06,2.60761302283587e-06,0.00167906686400707,8.00267444939284e-05,1.01606990200156e-05,1.10584286743772e-05,4.58580221257342e-06,3.14711916549157e-06,1.65638636913323e-08,3.68662530814726e-06,4.13621376036034e-05,1.16892997575401e-06,3.23380997404839e-06,3.41687223681941e-06,1.30380651141793e-05,0.00784082260659613,2.7874484037211e-06,2.15802457062279e-06,9.28694943410551e-08,8.18250983027807e-06,0.000739643883525682,3.32031680109872e-06,0.000257164594665882,6.47407371186836e-06,7.1487947526092e-06,0.000141170773994907,2.87736609416372e-07,2.06810688018017e-06,2.33785995150802e-07,1.70843611840971e-07,1.34876535663924e-06,7.19341523540929e-08,0.00149263366134743,1.33064769676544e-06,8.81193366337638e-05,8.18250983027807e-06,0.000525393071132642,0.000120489705193106
"3",0.40722845047625,0.00369006749025841,0.0740655551147332,0.109812533498883,0.0786758558561152,0.00165128318478151,0.193851839049697,0.0749858702763847,0.00989889226503687,0.000594461946521342,0.000273012153217209,2.58011870675926e-06,8.47542500501809e-06,2.70987741412454e-08,0.000224264923693869,5.14321462105838e-05,7.75091541134184e-07,5.15192677661552e-07,5.29842883879892e-07,1.13353167368087e-05,0.00101652969752202,0.000782697341692975,0.0221571187433262,1.58354019425825e-06,0.000426253965886703,1.48290007893057e-05,9.64855741913463e-06,2.68997211732905e-06,0.00599752521537991,8.02235378857769e-05,1.03498407101962e-05,1.13651628608129e-05,5.58588246643598e-06,3.32646821357653e-06,6.46882534786739e-08,3.85068460203335e-06,4.86427886777486e-05,1.43542937528026e-06,3.32350807679746e-06,3.21612966013911e-06,1.37575206660839e-05,0.00841358207189674,2.89232951093462e-06,2.18460422622451e-06,1.8482358136764e-07,7.79165110197147e-06,0.00318820677859179,8.82866625110566e-07,0.000243192083130236,6.41432977042437e-06,7.34708510714379e-06,0.000143673386661787,4.20825478450623e-07,2.11444275898189e-06,6.76854296279714e-07,1.67214548855843e-07,1.4332447617182e-06,1.49572022489978e-07,0.00161216299447714,1.38316224160751e-06,7.44935641843314e-05,9.21574784461132e-06,0.00057648561168184,8.31706116154379e-05
"4",0.409555507828672,0.00337236923189209,0.0738174154091935,0.108009492343655,0.0797529411015811,0.00159250769283793,0.200655969297579,0.0722249077163555,0.0111475538498655,0.000468384615540568,0.000281030769324341,2.33010532158215e-06,9.36769231081135e-06,2.74697607607126e-08,0.000227335146925097,0.000215456923148661,1.20819688968748e-06,5.22245749098057e-07,1.37446794776828e-06,1.4998246750041e-05,0.000290398461635152,0.000740047692554097,0.0198969784681633,1.80465529442981e-06,0.000412178461675699,1.51651219783934e-05,1.01554948938268e-05,2.97118472643255e-06,0.00299766153945963,9.36769231081135e-05,1.13975954014235e-05,1.15207537863452e-05,5.6623541046792e-06,3.53602526956847e-06,1.72563572056652e-08,2.81030769324341e-05,5.23507141497389e-05,1.56915605862733e-06,3.36900744218412e-06,9.36769231081135e-06,9.36769231081135e-06,0.00903982307993296,3.74707692432454e-05,2.38412958578231e-06,9.67521345093757e-08,9.36769231081135e-06,0.00203278923144606,3.45913090227334e-06,0.000243560000081095,1.87353846216227e-05,7.44766789559873e-06,0.000159250769283793,4.26586647602494e-07,2.25677751448909e-06,6.86120541532722e-07,1.69503743189226e-07,1.53435851642012e-06,1.51619687771854e-07,0.00158314000052712,4.68384615540568e-05,8.43092307973022e-05,9.95228463301709e-06,0.000580796923270304,0.000187353846216227
"5",0.411781536091123,0.00381070622841439,0.0752567550232181,0.109065040330481,0.0758386855310055,0.00167070371590581,0.198231811685005,0.0725817518825824,0.0107938723218634,0.000478684772534812,0.00032850915762193,2.33465316130024e-06,8.60822353104411e-06,2.75233755342067e-08,0.000227778853825779,4.95110230415909e-05,1.21055501734433e-06,5.23265054937304e-07,1.37715059900563e-06,1.14415046611752e-05,0.000575303303171764,0.000787577240458747,0.0242843355290063,1.67070371590581e-06,0.00038473115345494,1.39757181628301e-05,8.75711554460745e-06,2.61868728504338e-06,0.00175267859931736,8.32817644451252e-05,8.88851920765622e-06,1.15432396976757e-05,4.97456724398922e-06,3.37895133553985e-06,1.7290037720431e-08,3.82009220434644e-06,5.24528909289923e-05,1.35158053421594e-06,3.37558298437708e-06,3.86702208400672e-06,1.33750157031786e-05,0.00825308863705608,3.10675803351025e-06,2.21509031996501e-06,9.694097284044e-08,9.06685275036526e-06,0.000772070507470861,3.46588234512089e-06,0.000273038039863484,6.6734288876912e-06,7.46220406250458e-06,0.000151592897278623,2.77824887588832e-07,2.0085988494598e-06,6.00702459651529e-07,1.69834576241492e-07,1.40789638980827e-06,1.04184332845812e-07,0.00158716853011052,1.38898443614447e-06,9.63845868462742e-05,8.75711554460745e-06,0.000535732734249843,0.000141277709729294
"6",0.416755606980839,0.00377271490432198,0.0791792571058968,0.113850029517767,0.0813150591738258,0.00171921185513407,0.185865903893939,0.0668582388107693,0.0100446598473527,0.0017669677399989,0.000200574716432308,2.02484951826901e-05,8.75973547801961e-06,2.80078100054407e-08,0.000947476755718331,0.000195799127945824,1.23186179997344e-06,0.000211081011102572,1.40138960346239e-06,9.07361812431869e-05,0.000585429123354133,0.000715383155275232,0.0219390535069053,1.84000301466009e-06,0.000497616320291583,1.54621606929916e-05,1.03544102176646e-05,3.02938121791023e-06,0.00178352721123447,9.64668874269672e-05,1.16208397045272e-05,0.000189113304064748,5.77326243678827e-06,3.60528527303933e-06,1.75943568716304e-08,6.39928857188792e-05,5.33761057596115e-05,1.59989106354999e-06,3.43499607330256e-06,4.90963418580991e-06,1.57929688941607e-05,0.00683100177106603,0.000161414890843143,2.43082744872106e-06,9.86472151892574e-08,1.13255888436608e-05,0.000785659595320103,0.000488065143318616,0.000269343190637671,7.87629932938823e-06,7.59354510658426e-06,0.000203440069524198,4.34942185371934e-07,2.30098093685478e-06,6.99559560619196e-07,1.72823807087707e-07,1.56441194309876e-06,1.54589457301417e-07,0.00171348114895029,1.41343172605045e-06,0.000116524359070198,1.01472196845728e-05,0.000422162022205144,0.000156308902497485
"7",0.408766720729059,0.00351436838574356,0.0743890178202483,0.110464894883451,0.0793633558491975,0.00165930390626619,0.198370714187329,0.0730839473321738,0.0110930991486335,0.000279657961730257,0.000372877282307009,2.31872298687135e-06,8.54948653976614e-06,2.73355736883481e-08,0.000226224637151198,5.65841275900887e-05,5.59315923460514e-07,5.19694630115379e-07,1.36775380738764e-06,1.1223606197441e-05,0.000571377802750135,0.00082778756672156,0.022475178191055,1.79583973128399e-06,0.000416690362978083,1.45422140099734e-05,9.64819967969386e-06,2.75929188907187e-06,0.00174071944569758,8.50160203659981e-05,1.0533783225173e-05,1.14644760402269e-05,5.31350127287488e-06,3.20674462784028e-06,1.71720616024645e-08,3.81267021158917e-06,4.00843078480035e-05,1.35168014836291e-06,2.0694689168039e-06,3.14149110343655e-06,1.36379866003789e-05,0.00837109498779236,1.32371435218988e-06,2.37248334786854e-06,9.62795098735836e-08,8.76261613421472e-06,0.000766802393962917,3.4422333889406e-06,0.000246099006322626,6.52069147434382e-06,2.43302426705324e-06,0.000163133811009317,2.23726369384206e-07,2.17201016943833e-06,2.70336029672582e-07,1.30507048807453e-07,1.37964594453593e-06,9.13549341652173e-08,0.00167794777038154,5.40672059345163e-07,8.25923180310025e-05,9.47108297059803e-06,0.000582620753604702,0.000164998197420852
"8",0.410111532598542,0.00345258855657476,0.0740906841600097,0.110296207401929,0.0759569482446447,0.00168896899659468,0.196051042090907,0.0762368878573399,0.0103577656697243,0.000373252816927001,0.00016796376761715,2.32105823441004e-06,1.866264084635e-06,2.73631040710354e-08,0.000226452473995051,7.89531333284691e-05,1.20350583024015e-06,9.33132042317502e-07,1.36913130859426e-06,1.95957728886675e-05,0.000571953252519292,0.000864080271186007,0.0235055961459779,1.79764836920069e-06,0.000462833492989481,1.42769202474578e-05,1.2690595775518e-05,3.07933573964776e-06,0.00116828131698151,8.03272602176574e-05,1.84760144378865e-05,1.14760222187083e-05,5.64036891340484e-06,3.52229596361811e-06,1.71893560420411e-08,6.03371012279565e-06,5.21474523185899e-05,2.33283010579375e-06,3.35592661543753e-06,4.79662034093108e-06,1.54294338385471e-05,0.00834220045831847,8.07050685044165e-06,2.37487273889544e-06,9.6376475526545e-08,1.10648874772661e-05,0.00279939612695251,3.44570015366179e-06,0.000237948670790963,2.2021916198693e-05,7.41875087624501e-06,0.000121307165501275,4.24930341961899e-07,2.24801513679203e-06,3.73252816927001e-05,1.68845611933773e-07,1.52840107101078e-06,1.51030994840434e-07,0.00170109971314481,1.38089623607518e-06,8.21156197239402e-05,1.13842109162735e-05,0.000556146697221231,0.000125972825712863
"9",0.404974833203799,0.00341563590634071,0.0740007305259244,0.109299875592943,0.0790164594651542,0.00161361924391621,0.208409586923511,0.0695789418272473,0.00949538575094698,0.000450645411601233,0.000255043113989522,2.30858787336541e-06,8.51211682506169e-06,2.72160901865888e-08,0.000225235811669091,4.22680678711272e-05,1.19703974851936e-06,5.17423050416352e-07,4.4472349544187e-07,1.07893787155027e-05,0.000568880316453396,0.000826563237365213,0.0240324916945287,1.76342533844776e-06,0.0004020226030317,1.50250790696681e-05,1.0061713581253e-05,2.94374720551828e-06,0.00173311077952054,7.98956855497799e-05,1.12923438634033e-05,1.14143649374295e-05,5.61006487547409e-06,3.50337170669031e-06,1.70970027038995e-08,4.61158928969069e-06,3.9931658203045e-05,1.55466562597488e-06,2.37830391040652e-06,4.77084951512471e-06,1.53465360431241e-05,0.008251192990061,2.91777284618166e-06,2.36211324839666e-06,9.58586731602764e-08,1.06733638906049e-05,0.000763450708857175,3.42718742342062e-06,0.000257061228551694,7.65365349320627e-06,7.37889211675531e-06,0.000219964108006378,4.22647316614011e-07,2.23593721475889e-06,6.79784534706711e-07,1.67938454280251e-07,1.52018942302456e-06,3.36442992203849e-07,0.00145157748912226,1.37347708804445e-06,8.1279986323454e-05,9.86037987350014e-06,0.000197231003067639,0.000151890390091616
"10",0.409902809275114,0.00362910546236764,0.0762205201083419,0.112036999402324,0.0784445103788697,0.00165636095461908,0.1974233371528,0.073159043961883,0.00951942278974896,0.000539713120044418,0.000325688951750942,2.31461048547384e-06,8.53432311768344e-06,2.72870911461766e-08,0.000225823403738797,7.87338066550228e-05,1.20016256925617e-06,5.1877289651256e-07,1.36532795079495e-06,2.85675737678683e-05,0.000570364403553413,0.000798390922380996,0.0220072677397422,1.79265461885511e-06,0.000120970182078921,3.69703487230426e-05,2.29285022032663e-05,6.44864124466865e-06,0.00173763209494734,8.01041163090136e-05,2.41568148212984e-05,1.14441425747789e-05,5.62470033511498e-06,9.11929064902638e-06,1.71416051280438e-08,9.7613631539068e-06,5.20025900849638e-05,4.23395637276225e-06,3.34660406939199e-06,4.78329564134272e-06,3.33598540579179e-05,0.00650447363639738,8.04808750689047e-06,5.42504739630855e-06,9.6108747940766e-08,1.8610797242911e-05,0.000765442388505326,3.4361282225612e-06,0.00025773184632871,1.62379205944398e-05,7.39814206843437e-06,7.44431889716439e-05,4.23749913086946e-07,5.09005304593615e-06,6.81557947197125e-07,1.68376569796618e-07,3.54535687477454e-06,1.50611440551843e-07,0.00294050596437993,1.37706019607189e-06,8.62842375835088e-05,2.47058333399643e-05,0.000400132140722586,0.000130275580700377
