"","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"16",0.748019769032414,0.000498430941681194,0.11275366620803,0.00701256866076931,0.0065337389358958,0.000981927622937483,0.00116393892186601,0.00407145274833964,0.0382503745132871,0.0128807996164803,0.000278874693838427,2.94696132524652e-06,1.12006953186785e-05,0.000311518986537121,8.68053887197585e-05,0.000417225900620775,2.45947995940227e-06,4.06426371943395e-05,2.11512767667078e-06,7.28045195714104e-05,0.00110140170633672,4.07891987855209e-06,0.000173610777439517,0.00388290771047522,3.8082364083507e-05,1.5120938680216e-05,2.89351295732528e-06,3.92024336153748e-06,0.0259482774882719,0.000451761377853367,2.46415297010927e-05,4.52694769129923e-05,1.26007822335133e-05,1.40008691483481e-06,1.95078776800317e-05,0.000310193922938036,3.54688685091486e-07,8.30718236135323e-06,0.00185744864034752,5.18032158488881e-05,6.30972502952223e-05,5.96437025719631e-05,1.2414103978202e-05,0.0282817556796633,0,5.97370416996188e-05,8.16997384369942e-05,2.49440456003486e-06,3.21086599135451e-05,0.00167077038503621,0.000430293378492566,0.00123207648505464,4.38693899981575e-06,4.88163637639072e-05,7.62580672946696e-05,4.20026074450444e-07,5.33899810190343e-05,6.30972502952223e-05,4.62028681895489e-05,9.0445614698329e-05,2.70683470201398e-06,0.000277217209137293,6.41239806994345e-05
"17",0.747894290731971,0.000560430341500166,0.114888220007534,0.00700537926875207,0.00603504977019288,0.00102745562608364,0.000840645512250249,0.00270874665058413,0.037268617709761,0.012236062456087,0.000280215170750083,2.94904288511714e-06,4.11022429853232e-05,0.0003117390251972,0.00016812910245005,0.000411094956323175,2.46121719115425e-06,4.06713447589401e-05,2.1166216782565e-06,0,0.000989307083243968,5.59710171809915e-06,0.000112086068300033,0.00390082508896668,5.60430341500166e-05,1.32363503163309e-05,2.58444680068747e-06,4.38404885707833e-07,0.0273644340368275,0.000504387307350149,2.14272301775387e-05,6.5383539841686e-05,1.13621955323402e-05,0,0,0.00612737173373515,3.18461950554616e-07,6.23164849978342e-06,0.00130767079683372,4.74638282231254e-05,0,0.000149448091066711,1.16615842185651e-05,0.023706203445457,0,7.47240455333554e-05,2.82485724405064e-05,2.49616646046728e-06,2.61430979322335e-05,0.00136371383098374,0.000317577193516761,0.00114888220007534,3.79400535972975e-06,4.66958960534211e-05,0.000116325876970313,3.68618168410031e-07,3.61203503197857e-05,2.41949536635823e-05,7.47240455333554e-05,0.00032691769920843,0,0.000242853147983405,3.73620227666777e-05
"18",0.740911208432996,0.000494874531152474,0.116995808968689,0.00681619637247747,0.0060329496433479,0.001027098083524,0.0002054196167048,0.00352948250520066,0.0403182684059695,0.0132215535115453,0.000224094127314328,2.94801665263094e-06,4.1087939884741e-05,0.000311630543656803,0.0002054196167048,0.000410951900078988,2.46036071631291e-06,4.06571916059087e-05,2.11588511862959e-06,0,0.00112047063657164,5.59515399206211e-06,4.38850999323892e-05,0.00408971782348648,5.60235318285819e-06,1.32317442209899e-05,2.58354744338103e-06,4.38252325927135e-07,0.0273549115333343,0.000613457673522972,2.1419773751656e-05,4.0126291267011e-05,1.13582416209784e-05,0,0,0.00533248331628184,3.18351129514702e-07,6.22947995887635e-06,0.00155745418483458,4.74473113651686e-05,0,7.13124197886654e-05,1.16575261234367e-05,0.025444020705481,0,7.18968658466801e-05,2.52105893228619e-05,2.49529782368833e-06,2.61340004394424e-05,0.00172925968244223,0.000137257652980026,0.000856226311446827,3.79268509016954e-06,1.58733340180982e-05,0.000116285396923537,3.68489893592009e-07,5.60235318285819e-06,2.4186534102247e-05,5.19852872558319e-05,7.09631403162038e-05,0,0.000231563931558139,4.29513744019128e-05
"19",0.748385943422095,0.000552625415042598,0.117034823067072,0.00759625782372114,0.00610128650009436,0.000505201619640768,0.000406994201990974,0.00303475651650512,0.0383887332805439,0.0130335299157928,0.000283290627835945,2.98140963675756e-06,2.34633970995582e-05,0.000315160467339023,3.92829670599177e-05,0.000502368713362409,1.79417397629432e-06,4.11177266414613e-05,2.13985232319646e-06,3.45519202553496e-05,0.00115204855319951,2.17189481340891e-06,0.000146501244369904,0.00281402023650372,1.22759272062243e-05,4.65031657652302e-06,7.8555217910135e-07,1.99567529354541e-07,0.0235603372150228,0.00044571058779522,8.52983277377352e-06,4.05808126504447e-05,9.15973030002889e-06,4.075209211189e-07,8.43520890655954e-06,0.00982074176497942,1.1825493070123e-07,2.5496156505235e-06,0.00169974376701567,2.12643022561305e-05,1.51088334845837e-05,4.59875119187017e-05,5.15739823967689e-06,0.0192637626928443,0.00167141470423207,6.64788673321684e-05,4.81594067321106e-05,2.52356273886215e-06,1.29327443825445e-05,0.000972631155570078,0.000202583923491841,0.00110643982829687,1.43133047222696e-06,2.13299522489538e-05,0.000121814969969456,1.14329670769081e-07,2.5661482035618e-05,2.44605015334124e-05,6.02464735197776e-05,1.47059133351571e-05,9.13344057556816e-07,0.000226632502268756,5.29736480153337e-05
"20",0.743421406635032,0.000467560633103794,0.115768012756499,0.00673287311669463,0.00561072759724553,0.00100057975484212,0.000841609139586829,0.00252482741876049,0.0392750931807187,0.0126241370938024,0.000196375465903593,2.95242335678973e-06,4.11493582608565e-05,0.000312096369930719,7.85501863614374e-05,0.00074809701296607,2.46403847091141e-06,4.07179660982015e-05,2.11904795006863e-06,7.78020893484713e-05,0.000990441120523409,5.60351764507739e-06,0.000168321827917366,0.00414258720929961,2.84910828835501e-05,1.5897061525529e-05,2.99238805186428e-06,4.67560633103794e-07,0.0299986902199394,0.00063588246102116,2.83341743660899e-05,4.01862721678805e-05,9.91228542180043e-06,1.49619402593214e-06,1.98245708436009e-05,0.00534045432838095,3.74048506483035e-07,6.23879180425462e-06,0.00158035493989082,5.50786425796269e-05,0,6.98535585857068e-05,1.34657462333893e-05,0.0235650559084312,0,7.46956228020529e-05,2.88017349991937e-05,2.49902780238002e-06,3.69372900151997e-05,0.00115511726559846,0.000336643655834732,0.00117825279542156,4.86263058427946e-06,5.84450791379742e-05,0.000116459220684597,4.67560633103794e-07,4.42312358916189e-05,2.42226882061663e-05,5.20629950195725e-05,7.43421406635032e-05,2.99238805186428e-06,0.0002711851672002,4.86263058427946e-05
"21",0.744458166145855,0.000757429140171288,0.115791979803686,0.00719557683162724,0.00611733816832449,0.00094678642521411,0.00110774011750051,0.00302971656068515,0.0389129220762999,0.0128762953829119,0.000151485828034258,2.98925332650178e-06,4.16626754363667e-05,0.000315989612349817,7.21451256013152e-05,0.000371803029181581,2.49477608922902e-06,4.12259018773588e-05,3.88182434337785e-06,6.44477519643245e-05,0.00100279636638832,6.60856924799449e-06,0.000144858323057759,0.00372721412014039,2.88464945548646e-05,1.61900478711613e-05,2.77408422587734e-06,5.77539719380607e-07,0.0277375503371752,0.000556047667528247,4.78789895230776e-05,4.06875753374885e-05,9.78030377246176e-06,4.38362114874133e-06,1.83676566491537e-05,0.00636524513671446,3.88182434337785e-07,6.31661753770239e-06,0.000991001351271609,5.73089823182101e-05,2.9189425489351e-05,5.98653056662882e-05,1.18205908749414e-05,0.0230381540847349,0,7.56482353746074e-05,2.42377324854812e-05,9.4678642521411e-07,3.55044909455291e-05,0.0011695267620577,0.000320013811722369,0.00142964750207331,5.09371096765191e-06,4.84754649709624e-05,0.000147698682333401,3.73644307341061e-07,4.41202474149775e-05,8.20863830660634e-06,6.02156166436174e-05,0.000167297161335333,3.55991695880505e-06,0.000220885273002452,7.26185188139222e-05
"22",0.745015564011372,0.000526512766085776,0.119781654284514,0.00676944984967426,0.00607479106297887,0.000977809422730726,0.00106242754585165,0.00307445847339373,0.0388303164988259,0.0130687990153434,0.000225648328322475,2.9684625719795e-06,4.13729045929057e-05,0.000893191299609798,9.40201368010314e-05,0.000413802049991694,2.47742450621016e-06,4.09391688667127e-05,2.13055980387864e-06,0.000122226177841341,0.000995821750719394,4.70100684005157e-06,9.40201368010314e-05,0.00392651233892662,8.46181231209282e-05,1.33235127579626e-05,2.60146559272846e-06,4.41291817478931e-07,0.0272658396722991,0.000432492629284744,2.15683302281603e-05,4.04045864775452e-05,1.88040273602063e-05,0,1.88040273602063e-05,0.00653439950767168,3.20559048358299e-07,2.82060410403094e-05,0.000282060410403094,6.5814095760722e-05,4.70100684005157e-06,0.000141030205201547,1.17383766975712e-05,0.0173663288045209,0.00223767925586455,7.51014112080757e-05,2.84345915838263e-05,2.51260391929951e-06,2.63152523549508e-05,0.00116139250873043,0.000338472492483713,0.00106549854865171,3.81898919309884e-06,4.70033923206646e-05,0.000117091892315886,3.71045548981003e-07,3.63582057596333e-05,9.40201368010314e-06,5.2345830331325e-05,0.000112824164161238,0,0.000253854369362785,5.64120820806188e-05
"23",0.752673273412558,0.00065694393090747,0.115872912475309,0.00790047533193141,0.0060404610878211,0.00104032852501176,0.00134144417344473,0.00269017934265643,0.0321103799617258,0.0125730418730261,0.000218088175422495,2.95168713965659e-06,6.73119420552752e-05,0.000312018545490601,0.000130884331774146,0.000411463563951734,2.46342403757318e-06,4.0707812654523e-05,2.1185195436654e-06,0,0.000990194143842162,1.49582093456167e-05,0.000158930974297178,0.00371150569388115,2.8483978338969e-05,1.32482186684618e-05,2.58676414073673e-06,4.38797980740461e-07,0.0273889703124057,0.000532886207937595,2.14464428688666e-05,4.01762513075527e-05,5.32886207937595e-05,0,0,0.00533912263116136,3.18747498948179e-07,6.23723609734496e-06,0.00123405227101338,4.75063865880349e-05,9.34888084101044e-05,5.51583969619616e-05,1.16720405592181e-05,0.0230823867964548,0,7.46769966801754e-05,2.82739014773562e-05,1.12186570092125e-05,2.61665390987663e-05,0.00115482922522655,0.000308513067753345,0.000813352633167908,3.79740724850721e-06,4.6737765853191e-05,0.000149582093456167,3.68948689295318e-07,5.32886207937595e-05,2.42166480297034e-05,3.64606352799407e-05,9.97212543458739e-05,0,0.000233722021025261,2.0567537850223e-05
"24",0.7556917138305,0.000476654526014802,0.107437930163736,0.0064825015538013,0.00615948190096951,0.000953309052029604,0.000762647241623683,0.00276459625088585,0.0403249729008522,0.0127743412971967,0.000190661810405921,3.00984697189687e-06,4.19496990741898e-05,0.000318166536589583,5.46246086812963e-05,0.000419571012580319,2.51196316857966e-06,4.15099164828886e-05,2.1602627011979e-06,4.76654526014802e-05,0.00100970485841534,2.38327263007401e-06,0.000116780358873626,0.003381387207549,7.14981789022203e-06,1.04863995723256e-05,1.90661810405921e-06,1.90661810405921e-07,0.0279286406240732,0.00055291925017717,1.71595629365329e-05,4.09678812891647e-05,1.1596464056085e-05,9.53309052029604e-07,1.14397086243552e-05,0.00596771466570532,1.90661810405921e-07,6.36013415120403e-06,0.00137852590706061,3.14591987169769e-05,1.01050759515138e-05,2.57393444047993e-05,7.62647241623683e-06,0.0211920602266181,0,7.61484268804752e-05,2.45000426371608e-05,2.54763303046694e-06,2.09727991446513e-05,0.00117758389766557,0.000301054998630949,0.00108035304554347,2.85992715608881e-06,2.09727991446513e-05,0.000118724312324958,2.85992715608881e-07,2.09727991446513e-05,1.37276503492263e-05,5.30756023004537e-05,5.33853069136578e-05,1.90661810405921e-06,0.000312399376350101,5.51012632073111e-05
"25",0.738140218080856,0.000670079305740629,0.114009207591013,0.00670079305740629,0.00890248220483979,0.00105298176616385,0,0.00248886599275091,0.0404919351897552,0.0138802141903416,0.000191451230211608,3.02230899985436e-06,8.61530535952237e-05,0.000319483879401739,5.74353690634825e-05,0.000421308212423949,7.65804920846433e-05,4.16817849348574e-05,0.000172306107190447,0,0.000545636006103084,5.74353690634825e-05,0.000201023791722189,0.00432679780278235,2.87176845317412e-05,1.91451230211608e-05,1.91451230211608e-05,9.57256151058042e-06,0.027080776513432,0.000631789059698307,9.57256151058042e-06,4.11375054882524e-05,1.91451230211608e-05,0,0,0.00546686610606111,3.26373829329429e-07,5.74353690634825e-05,0.00159861777226693,6.70079305740629e-05,8.61530535952237e-05,0.000201023791722189,1.91451230211608e-05,0.0275689771504716,0,0.000335039652870315,2.87176845317412e-05,2.55818129898277e-06,9.57256151058042e-06,0.000162733545679867,0.000392475021933797,0.00115827994278023,9.57256151058042e-06,0.000143588422658706,0.000119215880737984,3.77776129848045e-07,2.87176845317412e-05,4.78628075529021e-05,1.91451230211608e-05,0.00120614275033313,0,0.000325467091359734,0.000248886599275091
