"","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","B","Ba","Be","Bi","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1",0.733148067251118,0.00281234046961408,0.121221571966124,0.0276385184082763,0.017592711228557,0.000588434850267803,0.00465490836349916,0.0111523846208834,0.0445125612259608,0.0204622013478817,0.000540381789637106,2.09042936384898e-06,1.42393228687415e-05,2.04418394332297e-05,0.00382090394837223,1.33828615450601e-05,9.84317259755367e-07,2.69182020782875e-06,0.000617745130739368,0.000578717676040017,2.81234046961408e-05,0.000601258996951975,5.52770368165526e-06,0.000114433163936021,0.00011540293651175,7.19571251190913e-05,1.28979752571956e-05,0.00228701575457452,0.000168740428176845,0.00010134123416368,1.3990640945537e-05,7.85515786340484e-05,2.46322234235164e-05,5.81863545437396e-07,0.00026959677605266,6.40049899981135e-05,1.18312254238937e-05,4.69369926652832e-05,0.000112493618784563,0.000349118127262437,6.30352174223845e-05,5.04281739379076e-05,8.02971692703606e-05,0.00050040264907616,0.000572784314943656,4.91411994811652e-06,6.88538528767585e-05,6.47547461789724e-06,9.05767585730879e-05,3.29722675747857e-05,0.000686598983616127,9.69772575728993e-06,1.77468381358406e-05,4.77128107258664e-05,1.63580449089489e-06,1.18312254238937e-05,1.30919297723414e-05,0.000102736211278757,1.23457723504956e-05,0.000675931485283108,7.96183284673503e-05,0.000504281739379076,0.00249231551962351
"2",0.731951902145303,0.00288954071799159,0.122024523563834,0.0264549167086392,0.0177092424313776,0.000575955751221297,0.0053690790368087,0.0112262561678727,0.0445145461960867,0.0209882180529795,0.00050762201802555,2.10427602142302e-06,1.43336417829605e-05,2.05772427889759e-05,0.00368025963068524,1.30726889178426e-05,9.90837214112955e-07,2.7096503786603e-06,0.000615101218380575,0.000582551005991631,3.17201418005589e-05,0.000722385179497898,5.3690790368087e-06,0.000107381580736174,0.00012622216717443,7.79004558431517e-05,1.41548447334048e-05,0.00230216456781246,0.000156191390161708,0.00010240298017477,1.40833126319209e-05,7.30194749005984e-05,2.65525363274903e-05,6.48798194801552e-07,0.000269039669553542,5.74492614830928e-05,1.22024523563834e-05,4.06538434589237e-05,9.88886738961312e-05,0.000342352003310693,9.76196188510673e-05,5.33979315115338e-05,8.15123817406412e-05,0.000508598214214061,0.000576578343294944,4.94667026403538e-06,7.32147141383005e-05,6.51836708832177e-06,9.08838651503437e-05,3.57711879721468e-05,0.000732147141383005,9.46910302855353e-06,1.87429668194049e-05,5.02741037082997e-05,1.64663978867401e-06,1.19095934998302e-05,1.27881700694898e-05,0.000136667466391494,1.24275486999771e-05,0.000726387583870792,7.63385419415346e-05,0.000517383979910657,0.00244049047127668
"3",0.727914007049397,0.00288438968412082,0.122990687746273,0.0284738536001664,0.0176657367778229,0.000629073509771118,0.00389908720297764,0.0108188958104599,0.0464696406908324,0.0210632507993023,0.000559933851576459,2.09910652284474e-06,1.42984288450834e-05,2.0526691422967e-05,0.0037111441884485,1.30405737171336e-05,9.88403060267393e-07,2.70299367885593e-06,0.000695291773957551,0.000324274734912976,0.000199628590562042,0.00064173288380676,6.87396036750868e-06,0.000100301194282392,0.000111404335719982,7.22419887600905e-05,1.27291697525669e-05,0.00229650892361981,0.00018112642850995,9.70851215383861e-05,1.40487146685896e-05,7.30141159651967e-05,2.40901432465083e-05,6.47204315808742e-07,0.000358357665008934,5.73081279661316e-05,1.14240858277212e-05,4.05539706362412e-05,0.000108091578304325,0.000487872799373576,5.95849341974518e-05,6.71920621891751e-05,7.59783960095615e-05,0.000530719911494209,0.0010750729950268,0.000172362246485275,6.84379723760009e-05,6.50235365232156e-06,0.000149964892422217,3.56833101921013e-05,0.000690422783943843,1.10233952148419e-05,1.7629685719515e-05,6.57313651850626e-05,1.64259454842993e-06,1.15505955189683e-05,1.31550676577608e-05,0.000127567538359159,1.23970183918416e-05,0.00072937470405351,7.35908215393686e-05,0.000538510295516143,0.00241794044080756
"4",0.729674523757677,0.00298963123481705,0.123188388014449,0.0288932764615707,0.0176661584920869,0.000594030961966906,0.00459643629587508,0.0116566403520391,0.0440751497354462,0.0206937015439291,0.000542637812781839,2.09915663245371e-06,1.42987701753926e-05,2.05271814335833e-05,0.00378134791035655,1.36334974877651e-05,9.88426655301911e-07,2.70305820438374e-06,0.000595199547465857,0.000581133746485857,2.92146374737823e-05,0.000818983670515029,5.06387049545559e-06,0.000113937086147751,0.000116371639270566,7.71266429307852e-05,1.30492047382894e-05,0.00229656374559427,0.000158245952982987,9.26104007918898e-05,1.40490500377531e-05,7.26470651848053e-05,2.50272061025401e-05,6.47219765789408e-07,0.000254751638771381,5.73094960186113e-05,1.19780013642507e-05,4.27507528366347e-05,9.42658969154041e-05,0.000335870948823583,9.15391974178511e-05,4.67434199580516e-05,7.81978463048239e-05,0.000484865599939873,0.000575175614384595,4.93463575481383e-06,7.01151299370774e-05,6.50250887569656e-06,8.62805626725703e-05,3.39863615945e-05,0.000717706260605918,9.15391974178511e-06,1.7626164609182e-05,4.54774523341877e-05,1.64263376024202e-06,1.16858549895129e-05,1.24649119888138e-05,9.64083036634815e-05,1.23973143319177e-05,0.000630159730309483,7.98533424283382e-05,0.000515151440787694,0.00215896170931251
"5",0.735858087593537,0.00253777568710684,0.110422300889382,0.0299302552410692,0.0175717419440074,0.00056179767119159,0.00435877503510717,0.0110422300889382,0.0477528020512852,0.0204378118312803,0.000435877503510717,2.08793771787174e-06,1.42223505891907e-05,2.04174741866101e-05,0.00368074336297939,1.35606334425556e-05,8.71755007021433e-07,8.71755007021433e-07,0.000629600838404369,0.000578027884940449,2.8961638566601e-05,0.000610228504915003,5.90856171425638e-06,0.000117202617610659,0.000117202617610659,7.8457950631929e-05,1.32700484402152e-05,0.00442657820231995,0.000160790367961731,9.97675174702307e-05,1.39739650774911e-05,7.26256266662422e-05,2.51840335361747e-05,6.43760708396598e-07,0.000271212668851113,6.00542338170321e-05,1.25920167680874e-05,4.45563670255399e-05,0.000112359534238318,0.000348702002808573,5.6179767119159e-05,5.03680670723495e-05,8.23324173298021e-05,0.000471716320466042,0.00185974401497906,2.6152650210643e-06,7.26462505851194e-05,6.46775630386981e-06,9.00813507255481e-05,3.39015836063891e-05,0.000676094438778845,9.39558174234212e-06,1.75319618078755e-05,5.03680670723495e-05,1.84037168148969e-06,1.19139850959596e-05,1.23014317657469e-05,0.000110422300889382,8.52382673532068e-06,0.000678961333141003,8.03951839808655e-05,0.000501743437374558,0.00264432352129835
"6",0.897851734994002,0.00207276473283799,0.0182210481165758,0.0314047958940453,0.0282594959215412,0.000614598845201961,0.0041093765924288,0.00539882907157801,0.000939974704426529,0.00156662450737755,0.000590496929703845,2.65121070479277e-06,5.66395014205729e-06,1.3497072678945e-05,0.000200527936944326,6.14598845201961e-06,6.02547887452903e-07,1.44611492988697e-06,0.000301273943726452,0.000719148224762778,3.91579165265801e-05,0.000409732563467974,8.50667240272849e-06,0.000119786520025637,5.65189918430823e-05,3.30196242324191e-05,6.38700760700078e-06,0.00284197871950441,0.000192397445043026,5.88086738154034e-05,1.32560535239639e-06,9.03565240536678e-05,1.14484098616052e-05,8.00929129332814e-07,0.000120509577490581,6.1218865365215e-05,3.97681605718916e-06,3.1332490147551e-05,5.54344056456671e-06,0.000418888889038193,3.85630647969858e-05,3.84425552194952e-05,4.12142755017786e-05,7.23057464943484e-05,0.000711775085361676,6.10657110240915e-06,8.46934488684898e-05,8.04680117570009e-06,4.94089267711381e-05,1.25329960590204e-05,9.64076619924645e-05,1.36416864289328e-05,9.52025662175587e-06,2.25352909907386e-05,2.41019154981161e-07,1.42941080371545e-05,5.54344056456671e-06,6.02547887452903e-05,3.735796902208e-06,0.000844723671871342,2.85607698652676e-05,0.000567118071670673,0.000477940984327643
"7",0.728523669736421,0.00283676372267016,0.123865539260426,0.0282704877841444,0.017623947425398,0.000544036878320304,0.00466317324274546,0.0111721858940777,0.0455630885593254,0.0212757279200262,0.000553751822576024,2.09414096135337e-06,1.42646050601122e-05,2.04781343119458e-05,0.00346823509929194,1.30097254633787e-05,9.86064933964319e-07,2.69659958633272e-06,0.000514892045553145,0.000579745200394239,3.15673645321331e-05,0.000553751822576024,6.85769960488294e-06,0.000116421770976009,0.000111140802129189,7.20710960333312e-05,1.26990581434357e-05,0.00229107639499317,0.000145724163835796,9.68554609015153e-05,1.40154815973745e-05,7.284139672555e-05,2.40331565779783e-05,6.45673315455661e-07,0.000184583940858674,5.71725621764615e-05,1.13970614723382e-05,4.04580378035231e-05,0.000106864386812917,0.000310878216183031,5.94439824870471e-05,6.8004609790038e-05,7.57986645889331e-05,0.000514892045553145,0.000573801304501238,4.92284506251221e-06,6.8276078276545e-05,6.48697194751152e-06,8.45988207904898e-05,3.55988991967344e-05,0.000699475986411819,1.09973187169666e-05,1.75879816480155e-05,4.67939809229776e-05,1.63870889320146e-06,1.15232718973764e-05,1.31239485617707e-05,9.71494425571971e-05,1.23676925065355e-05,0.000718905874923259,8.74344983014774e-05,0.000476032268530266,0.00254531539499856
"8",0.730797393742315,0.00310894929536747,0.118723001216845,0.0286606263166688,0.0176248949194708,0.0005829279928814,0.00485773327401167,0.0114642505266675,0.0450797647828282,0.0212768717401711,0.000359472262276863,2.09425354601448e-06,4.85773327401167e-06,2.04792352520708e-05,0.00324399428038499,1.30104248888518e-05,6.80082658361633e-06,2.69674456021757e-06,0.00114156731939274,0.000579776368504756,4.17765061565003e-05,0.00056641169974976,2.3317119715256e-05,0.000102012398754245,0.000111146777252055,7.20749707008312e-05,1.26997408668932e-05,0.0022911995672458,0.000138931171636734,9.68606680195863e-05,1.4016235094047e-05,0.000102012398754245,2.40344486422848e-05,6.45708027976334e-07,0.000580984899571795,5.71756358728634e-05,1.13976741981896e-05,2.81748529892677e-05,0.000105898585373454,0.000489659514020376,2.6231759679663e-05,0.000322553489394375,7.58027396570033e-05,0.000477029407507946,0.00194309330960467,3.40041329180817e-05,3.7890319537291e-05,6.48732069840836e-06,7.2865999110175e-05,7.38375457649773e-05,0.000656765538646377,1.94309330960467e-05,1.75889272085055e-05,4.0804959501698e-05,1.63879699304231e-06,1.15238914085199e-05,2.0402479750849e-05,6.7036719181361e-05,2.81748529892677e-05,0.000660651725265586,6.9951359145768e-05,0.000443996821244666,0.00247064314316233
"9",0.731450947063546,0.0061035366490397,0.113796401000437,0.0361636980082655,0.0176594385338483,0.000973450821218453,0.00354336098923517,0.00821592493108374,0.0241999874154907,0.0412743148196624,0.000905309263733161,2.09835814279267e-06,0.000204424672455875,2.05193731824544e-05,0.00344910696630803,1.30359244508237e-05,9.88050671703185e-07,2.70202999905784e-06,0.000583067065017176,0.000580912691381594,3.16309348964255e-05,0.000622382415815605,6.87150964156326e-06,9.73450821218453e-05,0.000111364617496224,7.22162328193027e-05,1.27246315089768e-05,0.00229569016504366,0.000155752131394953,9.70505084458532e-05,1.40437059767006e-05,7.29880847431921e-05,2.40815545529566e-05,6.46973572492816e-07,0.00025546181258511,5.72876962923103e-05,1.14200128767521e-05,0.00010707959033403,0.000165486639607137,0.000338369564913118,3.89380328487381e-05,3.89380328487381e-05,7.59513079531229e-05,0.000535397951670149,0.000574956825669989,4.93275868877202e-06,6.8413572655085e-05,6.50003541276968e-06,8.47691859107987e-05,3.56705882662491e-05,0.000681415574852917,1.10194651193489e-05,1.7623400328577e-05,0.000126548606758399,1.64200892546116e-06,1.15464774643666e-05,8.76105739096608e-05,0.000103125878934038,3.89380328487381e-05,0.00073008811591384,7.35645847084809e-05,0.000535397951670149,0.00242389254483395
"10",0.729931337490851,0.00282014505558682,0.124961599876864,0.0282014505558682,0.0176415331364164,0.000544579734871938,0.00311188419926822,0.0112805802223473,0.0460947847016604,0.0205189864389248,0.000544579734871938,2.09623055892702e-06,4.76507268012946e-05,2.04985680174894e-05,0.00325775377110891,1.30227069633178e-05,9.87048859560304e-07,2.69929033545453e-06,0.000495956544258372,0.000580323687796204,2.43115953067829e-05,0.000495956544258372,6.86454242622098e-06,9.23840621657751e-05,0.000111251701803446,7.21430107659977e-05,1.27117296500697e-05,0.00229336250073504,0.000155594209963411,9.69521062276084e-05,1.40294666713882e-05,8.07144964185193e-05,2.40571375929145e-05,6.46317587936954e-07,0.000204217400576977,5.72296106986996e-05,1.14084338070754e-05,3.11188419926822e-05,0.000136144933717984,0.000301463781804108,5.95032975015879e-05,4.86231906135659e-05,7.58742988029302e-05,0.000447333353644806,0.000574373860903014,4.92775722711236e-06,4.66782629890232e-05,6.49344484551219e-06,8.46832360681239e-05,3.56344208615883e-05,0.000641826116099069,1.10082921762188e-05,1.76055314712869e-05,4.47333353644806e-05,1.64034404679921e-06,1.15347701687161e-05,1.3137044036993e-05,7.68246411694341e-05,1.23800333664538e-05,0.000661275392344496,6.71000030467209e-05,0.000447333353644806,0.00231446387320574
