"","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","B","Ba","Be","Bi","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"18",0.707688185845278,0.00186765757113296,0.128040441732311,0.0266670694434964,0.019666107067433,0.00050060924587069,0.00119376050938395,0.0104261502553453,0.033598582078629,0.0497721115606052,0.000317694329110246,3.13625598407712e-06,1.63660714996187e-05,0.000223887901144786,0.00555483720898823,4.41336431749636e-05,5.3182503240283e-06,1.51131109913707e-06,0.00111770641241514,0.000661280588976428,1.96719400968742e-05,9.3382878556648e-05,3.98685989724655e-05,9.14574583802222e-05,9.02453188611181e-05,5.21269499995546e-05,1.57869643635479e-05,0.00181163428938014,0.000204094538701128,9.99735284671198e-05,2.55071004712687e-05,7.46160517778517e-05,1.89042618226244e-05,0.000618684285763495,0.000305979701223667,7.03204131307807e-06,2.21423320288959e-05,0.000406263657225829,0.000537377670106749,3.46575631756632e-05,0.000230087711082875,0.000143615381869628,0.00149220063672994,7.86370820549015e-05,1.88712584403151e-05,5.11137271266538e-05,0.000112504756209129,0.000234901261523939,0.000876066180273708,0.000943335861255771,1.53477917433731e-05,0.000189653887377935,8.11050411574052e-06,6.77595246028203e-06,2.79185925581731e-05,0.00019831827817185,1.62820728963403e-05,0.000481355044106433,4.69685021214236e-05,0.000621910716985511,0.00227007038800594
"19",0.708682741804505,0.00185723753024629,0.125119159932382,0.0269788188604198,0.019745367426829,0.000488746718485865,0.00156398949915477,0.0112411745251749,0.0331370275133417,0.0498521652855582,0.000293248031091519,3.18441624185083e-06,7.81994749577385e-06,0.000227325917392915,0.00547396324704169,3.90997374788692e-05,5.3999172248842e-06,1.53451874943101e-06,0.00122186679621466,0.000671435194910239,1.9974021850017e-05,0.000273698162352085,3.51897637309823e-05,6.84245405880211e-05,9.7749343697173e-05,5.29274099625429e-05,1.36849081176042e-05,0.00183945369404966,0.000224823490503498,0.000101508719129479,2.58987867813126e-05,8.30869421425971e-05,2.5414829361265e-05,0.00061582086529219,0.000312797899830954,6.84245405880211e-06,1.95498687394346e-05,0.000478971784116148,0.000430097112267561,7.81994749577384e-05,0.000410547243528127,0.000145820735592739,0.00153466469604562,7.98446308524373e-05,1.17299212436608e-05,4.69196849746431e-05,0.000117299212436608,0.000234598424873215,0.000889519027644275,0.000977493436971731,1.56398949915477e-05,0.000215048556133781,8.23504878647912e-06,6.88000379372114e-06,2.73698162352084e-05,1.95498687394346e-05,1.65320999450759e-05,0.000596270996552756,5.37621390334452e-05,0.00072334514335908,0.00245350852679904
"20",0.710354639443481,0.00192952502904653,0.126287413151096,0.0276886841668177,0.0200670603020839,0.000482381257261633,0.00125419126888025,0.00945467264232801,0.0350208792771946,0.0487205069834249,0.000385905005809306,3.14294224858881e-06,8.68286263070939e-06,0.000224365213499269,0.00520971757842564,4.42825994166179e-05,2.50838253776049e-06,2.02600128049886e-06,0.00122042458087193,0.000675333760166286,1.55326764838246e-05,0.000116736264257315,2.25754428398444e-05,4.14847881245004e-05,7.92070024423602e-05,4.64050769485691e-05,1.53397239809199e-05,8.58638637925707e-07,0.00024215539114534,8.55744350382137e-05,1.16736264257315e-05,6.57003272390344e-05,1.52432477294676e-05,0.000583970750040933,0.000306632027190673,5.88505133859192e-06,1.36996277062304e-05,0.000464243721988596,0.000535636148063317,7.15853785776263e-05,0.000214177278224165,0.000138829325839898,0.00142977804652348,5.7885750871396e-08,0.000199705840506316,5.12226977915111e-05,0.000110272355410009,0.000206459178107979,0.000875039600672602,0.000877547983210363,1.34101989518734e-05,0.000199802316757768,8.12779510732933e-06,6.65686135021054e-06,2.58556353892235e-05,4.40896469137133e-05,9.45467264232801e-06,0.000489134594863296,4.17742168788574e-05,0.0006676156600501,0.00261450641435805
"21",0.71042941006932,0.00183598460164813,0.125716629828643,0.0264768305711362,0.0197395982731457,0.000483153842538982,0.00125619999060135,0.010436122998842,0.0344005535887755,0.0491850611704684,0.000289892305523389,3.1479760074098e-06,1.18359114489304e-05,0.000224724558432534,0.00528956826811678,4.25175381434305e-05,1.25619999060135e-05,1.51695878906888e-06,0.00122914337541917,0.000663751759688131,2.89892305523389e-05,4.54164611986644e-05,4.00175858257616e-05,3.18881536075728e-05,9.48914146746562e-05,5.22772457627179e-05,1.46878768131851e-05,0.00181840427124693,0.000229014921363478,9.779033772989e-05,2.56024191615128e-05,8.7837368573587e-05,1.85531075534969e-05,0.000542195242097246,0.000281195536357688,6.57089225853016e-06,2.03680079231994e-05,0.000476389688743437,0.000519873534571945,3.28544612926508e-05,0.000203890921551451,0.000137408952818087,0.00141467445095414,7.89309446863884e-05,1.34316768225837e-05,3.57533843478847e-05,0.000107839937654701,0.000205823536921607,0.000787540763338541,0.000809572578558319,1.57508152667708e-05,0.000203697660014435,5.70121534195999e-06,7.24730763808474e-06,2.69599844136752e-05,5.4113230364366e-05,2.99555382374169e-05,0.000474457073373281,4.59962458097111e-05,0.000576885687991545,0.00257134474999246
"22",0.718357028765349,0.00186759410518274,0.107140924981536,0.0288002669904496,0.0200794480196123,0.000471813247625113,0.000786355412708521,0.010615798071565,0.0371552932504776,0.053570462490768,0.000294616616910993,3.2021736072392e-06,1.27782754565135e-05,0.00022859356240877,0.00533148969816378,4.32495476989687e-05,1.9658885317713e-06,3.93177706354261e-07,0.00127586165711958,0.000675179341147762,1.67100525200561e-05,3.93177706354261e-05,4.2266603433083e-05,3.24371607742265e-05,9.21420890708942e-05,5.3222550825541e-05,1.61187737480729e-05,0.00184971110039338,0.000237574229761558,0.00010207476555017,2.60432070408086e-05,7.61843270742263e-05,1.9301590361273e-05,0.000629084330166817,0.000277190282979754,7.17984029750061e-06,1.9658885317713e-05,0.000486428199980895,0.000548672238832535,5.30789903578252e-05,0.000222145404090157,0.000146633880573313,0.00159531854353241,8.02898711026636e-05,1.86759410518274e-05,4.32495476989687e-05,0.000114869373817318,0.000159236971073476,0.000999654318405708,0.000963162832693448,1.56703706264892e-05,0.000235906623812556,6.88060986119956e-06,6.91836898594471e-06,3.14542165083409e-05,3.04712722424552e-05,1.66242884396275e-05,0.000619254887507961,4.795568302727e-05,0.000620237831773846,0.00268867690002727
"23",0.707552358090682,0.00193849961120735,0.127940974339685,0.0298528940125932,0.0197996994998518,0.00038769992224147,0.00261697447512992,0.00949864809491601,0.0339237431961286,0.0438100912132861,0.00038769992224147,3.15756066141687e-06,9.69249805603674e-05,7.7539984448294e-05,0.00567980386083753,3.8769992224147e-05,3.8769992224147e-05,1.45387470840551e-05,0.00127315999686347,0.00066577268708663,6.78474863922572e-05,0.000145387470840551,4.01394275149724e-05,1.93849961120735e-05,9.08583579145373e-05,5.24810498740814e-05,1.58942056677166e-05,0.00182394077334982,0.000234264326070773,0.000100652651528924,0.000126002474728478,7.51229207692746e-05,1.90326790183259e-05,0.000622887025957626,0.00035862242807336,7.07981017250012e-06,7.7539984448294e-05,0.000397392420297507,0.000541028092116092,0.000252004949456955,0.00077539984448294,0.000144590965300092,0.00150447159439086,7.91712660209504e-05,0.000504009898913911,5.14609441489868e-05,0.000113269004262347,8.72324825043307e-05,0.000785092342538976,0.000949743968964168,1.54520497352686e-05,0.000223242155932568,8.16559900408058e-06,6.82198170074221e-06,3.11368709619509e-05,0.000193849961120735,5.81549883362205e-05,0.000474932404745801,4.72875605107606e-05,0.000630012373642389,0.00265121803252442
"24",0.708267875830973,0.00197624764591465,0.123009365667663,0.0275710647186142,0.019692931987533,0.000530212783050272,0.00159063834915082,0.0106042556610054,0.0364400785441824,0.0494543923099618,0.000192804648381917,3.14053389306527e-06,1.18079302298336e-05,0.000224193288227189,0.00529248759808363,4.41938422498404e-05,5.325504512136e-06,1.51337255437788e-06,0.00127251067932065,0.000662182587470695,2.16905229429657e-05,8.29059988042244e-05,3.75969064344739e-05,5.5913348030756e-05,0.000100624745990523,5.68291701105701e-05,1.83742829907967e-05,0.00181410539079824,0.000227509485090662,0.000113754742545331,2.55418926103421e-05,7.87606988640132e-05,2.14013159703928e-05,0.000629989188587914,0.000306397062982625,7.06629036319727e-06,1.6388395112463e-05,0.000462731156116601,0.00061340798882707,8.57980685299532e-05,0.000224617415364934,0.000161281088371474,0.00149423602495986,7.87443444345774e-05,1.88969991727392e-05,5.11834471602873e-05,0.00013881934683498,0.000171657050848398,0.000867620917718628,0.000826167918316515,1.82200392720912e-05,0.000218351264292521,8.1215669877227e-06,8.54124592331894e-06,3.00775251475791e-05,0.000133999230625433,9.06181847395011e-06,0.000549493247888464,5.06594213623488e-05,0.000713377199013094,0.00260286275315588
"25",0.708262745224442,0.00181605832108831,0.126737687088716,0.0286898575193207,0.0200925601482111,0.000444354695585438,0.00115918616239679,0.0105292743084376,0.0335197998626407,0.0482028245863334,0.000386395387465598,3.14693608438335e-06,8.69389621797596e-06,0.000224650321449033,0.00492654119018638,3.96055272152238e-05,2.89796540599199e-06,1.51645766696019e-06,0.00131374431738303,0.000663532491581538,9.65988468663996e-06,6.76191928064797e-05,4.73334349645358e-05,3.86395387465598e-05,9.65988468663996e-05,5.21633773078558e-05,1.64218039672879e-05,0.00181780356766196,0.000222177347792719,0.00011108867389636,2.5593961490566e-05,7.92110544304476e-05,1.83537809046159e-05,0.000714831466811357,0.000270476771225919,7.43811120871277e-06,1.35238385612959e-05,0.00041827300693151,0.000608572735258317,5.79593081198397e-05,0.000193197693732799,0.000164218039672879,0.00149728212642919,7.89048701207991e-05,2.89796540599199e-06,4.82994234331998e-05,0.000115918616239679,0.000216381416980735,0.000850069852424316,0.000965988468663996,1.73877924359519e-05,0.000222177347792719,8.13812335279579e-06,6.76191928064797e-06,3.10321014516893e-05,5.95198146344179e-05,1.63375193180001e-05,0.000502314003705278,4.82994234331998e-05,0.000656872158691517,0.00257918921133287
"26",0.711259628823392,0.00184842783884801,0.123998700856054,0.0274376007329002,0.0219500805863201,0.000471734188039337,0.00129967582419001,0.00979089120889807,0.0342729328453069,0.0474622356537537,0.000308071306474669,3.85089133093336e-07,4.8136141636667e-06,8.27941636150672e-05,0.00496187347990763,4.50554285719203e-05,2.88816849820002e-06,1.51133110613137e-06,0.00126116691088068,0.00066128934312174,1.44408424910001e-05,6.67166923084205e-05,3.98691267597839e-05,5.29497558003337e-05,9.02465135440533e-05,5.21276400650163e-05,1.57871733540768e-05,0.00181165827210409,0.000232686779300156,9.99748519337543e-05,2.55074381386186e-05,7.46170395578815e-05,1.89045120804692e-05,0.000618692476011674,0.000332139377293002,7.03213440444129e-06,2.02924457579736e-05,0.000476421248752129,0.000537384784004071,3.85089133093336e-05,0.000173290109892001,0.000143617283074567,0.00149434041332278,7.86381230660164e-05,9.6272283273334e-06,5.11144037788982e-05,0.000112506245566295,0.000171425495846001,0.000808687179496006,0.000943348349296922,1.53479949200599e-05,0.00022173883296375,8.1106114839784e-06,6.77604216149729e-06,3.09271938375803e-05,5.0446676435227e-05,1.62822884412005e-05,0.000524274212575935,4.69691238984718e-05,0.000711452173389938,0.0026333646080805
"27",0.704832865377752,0.00192052551874047,0.12483415871813,0.0266953047104925,0.0196161133760428,0.000432118241716605,0.0012483415871813,0.0104668640771356,0.0338012491298322,0.0483972430722598,0.00028807882781107,3.12828323109397e-06,1.17618696023251e-05,0.000223318750239756,0.00508939262466224,4.41720869310308e-05,2.8807882781107e-06,1.72847296686642e-06,0.00127714946996241,0.00057615765562214,1.6324466909294e-05,8.64236483433211e-05,3.97672480326807e-05,5.18541890059926e-05,0.000109469954568207,6.24170793590652e-05,2.01655179467749e-05,0.0073940232471508,0.000235264376045707,9.97193833171802e-05,2.54422582478002e-05,7.44263684891077e-05,2.01655179467749e-05,0.000633773421184354,0.000364899848560689,7.3940232471508e-06,1.6324466909294e-05,0.000470528752091415,0.000566555028028438,5.18541890059926e-05,0.000220860434655154,0.000153642041499237,0.00146920202183646,0.00182449924280344,1.44039413905535e-05,4.03310358935498e-05,0.000119072582161909,0.00012483415871813,0.000720197069527675,0.000940937784108968,1.53087757469021e-05,0.000182449924280344,7.29799697121378e-06,7.68210207496187e-06,2.68873572623665e-05,5.91670224770885e-05,1.62406818409178e-05,0.000480131379685117,4.89734007278819e-05,0.000633773421184354,0.00278476200217368
