"","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Ba","Be","Bi","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1",0.59392,0.00874,0.1745,0.0609,0.0344290823140639,0.00101657155997683,0.03171,0.05626,0.04093,0.01249,0.0019,2.9863572618577e-06,1.69109150832208e-05,0.0027256,1.07612667927077e-05,5.24013753959974e-07,2.29205142315045e-06,0.00030605,0.000898854174737278,0.0001303,0.0003134,4.1415610868814e-06,0.0002056,3.275e-05,1.693e-05,1.073e-05,0.00297665352137289,0.00027998,3.188e-05,0,4.21799254265489e-05,6.04e-06,4.21805520644566e-07,0.00014579,0.000107900065028481,6.9e-07,1.6501437051334e-05,7.99528540618151e-05,0.00016038,0.0002321,8e-05,3.999e-05,0.00016971,0.000614494265797298,9.4e-06,0.00013205967137331,0,3.583e-05,1.51e-05,0.0036662,0,5.51e-06,1.08801227246653e-06,4.28e-06,0,2.33e-06,6.66e-06,0.0009377,1.25516937171512e-05,0.00017132,1.416e-05,0.0004256,0.00144063016931328
"2",0.6285,0.0049,0.1705,0.0553,0.0344290823140639,9e-04,0.0228,0.059,0.0426,0.0132,0.0018,2.9863572618577e-06,1.69109150832208e-05,0.00286,1.07612667927077e-05,5.24013753959974e-07,2.29205142315045e-06,0.0004026,0.000898854174737278,6e-05,0.00052,2.1e-06,0.00034,2.91e-05,1.57e-05,1.25e-05,0.00297665352137289,0.000266,3.64e-05,2.07e-05,0.0002397,5.9e-06,4.21805520644566e-07,0.000190496105013187,0.000107900065028481,2.2e-06,1.6501437051334e-05,8e-05,0.0001784,0.00033,9e-05,4.4e-05,0.00018,0.000614494265797298,1.0440380919124e-05,0.0001293,0,3.85e-05,2.39511115774213e-05,0.0057,1.59e-05,5.3e-06,1.08801227246653e-06,2.83e-05,0,2.3e-06,9.4e-06,0.001,1.25516937171512e-05,0.000148,1.45e-05,6e-04,0.00165
"3",0.5968,0.00832,0.17308,0.06148,0.034,0.000953,0.03185,0.05976,0.0424,0.01228,0.0018,1.7e-06,5.057e-06,0.003063302,1.0612e-05,5.24013753959974e-07,7.46e-07,0.000325833,0.00076,0.000180587,0.000417183,2.321e-06,0.0002928,2.7369e-05,1.4466e-05,1.1101e-05,0.00345,0.000207168,3.1213e-05,1.1508e-05,3.5477e-05,5.455e-06,3.79e-07,0.000158591,0.000118,2.016e-06,1.0285e-05,6.9529e-05,0.000163866,0.000330922,8.0142e-05,4.0607e-05,0.000183394,0.000614494265797298,6.604e-06,0.0001372,0,3.5732e-05,1.7706e-05,0.005381448,5.819e-06,4.66e-06,1.08801227246653e-06,2.5053e-05,0,1.963e-06,8.594e-06,0.00101894,1.25516937171512e-05,0.000145737,1.3538e-05,0.000681593,0.001370812
"4",0.6066,0.0086,0.175,0.0614,0.0344290823140639,0.001,0.0315,0.059,0.0407,0.0126,0.0018,2.9863572618577e-06,1.69109150832208e-05,0.00339,1.07612667927077e-05,5.24013753959974e-07,2.29205142315045e-06,0.000323783006382923,0.000898854174737278,0.00017,0.00032,4.1415610868814e-06,0.00031,2.84614170886856e-05,1.5508250868024e-05,1.13708583038964e-05,0.00297665352137289,0.00019,3.56097689909002e-05,0,6e-05,5.66583527909716e-06,4.21805520644566e-07,0.000190496105013187,0.000107900065028481,2.08492549020195e-06,1.6501437051334e-05,8e-05,0.000177718434992619,0.00029,9e-05,4.2857812180356e-05,0.00018,0.000614494265797298,1.0440380919124e-05,0.00015,0,0,2.39511115774213e-05,0.00542,0,5.45226974275061e-06,1.08801227246653e-06,2.49545647834883e-05,0,2.23495793020284e-06,1.14111956044442e-05,0.00088,1.25516937171512e-05,0.00016,1.4928882787688e-05,6e-04,0.00158
"5",0.6034,0.0085,0.1754,0.0611,0.0351,0.00094,0.0317,0.0609,0.0419,0.0123,0.0018,2.9863572618577e-06,1.69109150832208e-05,0.00325,1.07612667927077e-05,5.24013753959974e-07,2.29205142315045e-06,0.000323783006382923,0.000898854174737278,0.00011,4e-04,4.1415610868814e-06,0.00031,2.84614170886856e-05,1.5508250868024e-05,1.13708583038964e-05,0.00297665352137289,0.00018,3.56097689909002e-05,0,4.21799254265489e-05,5.66583527909716e-06,4.21805520644566e-07,0.000190496105013187,0.000107900065028481,2.08492549020195e-06,1.6501437051334e-05,9e-05,0.000177718434992619,0.00035,7e-05,4.2857812180356e-05,0.00016,0.000614494265797298,1.0440380919124e-05,0.00013205967137331,0,0,2.39511115774213e-05,0.00558,0,5.45226974275061e-06,1.08801227246653e-06,2.49545647834883e-05,0,2.23495793020284e-06,1.14111956044442e-05,0.001,1.25516937171512e-05,0.00016,1.4928882787688e-05,0.00067,0.0014
"6",0.604,0.0086,0.173,0.0608,0.0201,0.001,0.0305,0.0604,0.0426,0.0124,0.00166,3e-06,2e-05,0.00306,1.4e-05,3.6e-06,1.3e-06,0.000342,0.000898854174737278,0.000187,0.00036,2.7e-06,0.000365,1.74e-05,1.45e-05,8.8e-06,0.00297665352137289,0.000206,2.73e-05,0,3.56e-05,5.9e-06,5e-07,0.000189,0.00012,2.7e-06,2.44e-05,9.2e-05,0.000175,0.000435,0.000155,3.53e-05,0.000186,0.000614494265797298,2.04e-05,0.000159,3e-05,3.1e-05,2.1e-05,0.00559,1.48e-05,5.9e-06,1.4e-06,2.5e-05,0,2.9e-06,8.4e-06,0.00124,1.9e-05,0.000158,1.4e-05,0.00073,0.00143
"7",0.603,0.0083,0.1755,0.0608,0.0344290823140639,0.00094,0.0318,0.0604,0.0428,0.0127,0.0015,2.9863572618577e-06,1.69109150832208e-05,0.003211,1.07612667927077e-05,5.24013753959974e-07,2.29205142315045e-06,0.000336,0.000898854174737278,0.000172,0.000351,1.3e-05,0.000286,2.84614170886856e-05,1.5508250868024e-05,1.13708583038964e-05,0.00297665352137289,0.000185,3.56097689909002e-05,9e-06,3.7e-05,5.66583527909716e-06,4.21805520644566e-07,0.00017,0.000107900065028481,2.08492549020195e-06,1.1e-05,6.7e-05,0.000187,0.000277,8.8e-05,4.2857812180356e-05,0.000168,0.000614494265797298,1.15e-05,0.000151,0,5.5e-05,1.69e-05,0.005302,9e-06,5.45226974275061e-06,1.08801227246653e-06,1.2e-05,1e-06,2.23495793020284e-06,1.2e-05,0.000958,5e-06,0.000145,3e-06,0.000613,0.001442
"8",0.5957,0.0068,0.126,0.0528,0.0344290823140639,7e-04,0.0339,0.0514,0.0448,0.013,0.0016,2.9863572618577e-06,0.00043,0.00268,2e-06,5.24013753959974e-07,2.29205142315045e-06,0.00074,0.000898854174737278,0.00035,0.00035,4.1415610868814e-06,9e-05,2.83e-05,1.62e-05,8.9e-06,0.00297665352137289,0.000206074386474541,4.13e-05,0,4.21799254265489e-05,6.3e-06,4.21805520644566e-07,0.0003211,0.00019,2.1e-06,1.6501437051334e-05,0.00046,0.0002357,0.00036,9.58432330546371e-05,6.2e-05,0.000193399497849054,0.000614494265797298,1.0440380919124e-05,4.95e-05,0,4.17e-05,0.00026,0.00578,0,6e-06,1.08801227246653e-06,2.49545647834883e-05,0,2.6e-06,1.14111956044442e-05,0.00107419066701294,1.25516937171512e-05,0.0001691,1.59e-05,0.00054,0.00144063016931328
"9",0.5943,0.00811,0.1739,0.0633855,0.0344290823140639,0.000918,0.03323,0.05905,0.04149,0.01225,0.00193,2.9863572618577e-06,4e-05,0.00326,1.07612667927077e-05,5.24013753959974e-07,2.29205142315045e-06,4e-04,0.00063,0.00018,0.00032,5e-05,3e-04,2.84614170886856e-05,1.5508250868024e-05,1.13708583038964e-05,0.00162,0.00021,3.56097689909002e-05,0,4.21799254265489e-05,5.66583527909716e-06,4.21805520644566e-07,1e-04,0.000107900065028481,2.08492549020195e-06,5e-05,8e-05,2e-04,0.00034,7e-05,4.2857812180356e-05,0.00023,0.000614494265797298,3e-05,0.00013,0,0,5e-05,0.00569,0,5.45226974275061e-06,1.08801227246653e-06,6e-05,1e-05,2.23495793020284e-06,3e-05,0.00104,1.25516937171512e-05,0.00017,1.4928882787688e-05,0.00066,0.00153
"10",0.60695,0.008462,0.17544,0.06124,0.0344290823140639,0.000959,0.03227,0.06045,0.04136,0.01229,0.001778,2.9863572618577e-06,1.69109150832208e-05,0.003014,1.07612667927077e-05,4.7e-07,2.29205142315045e-06,0.0003169,0.000898854174737278,0.0001753,0.0003653,2.57e-06,0.00027,2.81e-05,1.57e-05,1.17e-05,0.00297665352137289,0.00019,3.41e-05,0,3.75e-05,5.2e-06,4.21805520644566e-07,0.0001515,0.0001199,2.2e-06,9.2e-06,7.62e-05,0.0001617,0.000332,8.16e-05,3.83e-05,0.000188,0.000614494265797298,1.11e-05,0.0001145,0,3.4e-05,1.81e-05,0.005381,5.2e-06,5.5e-06,1.08801227246653e-06,2.51e-05,9e-07,2.3e-06,1.24e-05,0.0009405,2.6e-06,0.0001337,1.36e-05,0.0006084,0.0014218
