"","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","B","Ba","Be","Bi","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"56",0.34272808136289,0.0345532137980005,0.086925755130572,0.124554385863473,0.0679360318838081,0.00177288740953092,0.126815721845018,0.120483981096693,0.0294878211993408,0.0114514054105415,0.00828553503637919,1.26634814966494e-06,2.83119264889376e-05,0.000309005033924178,0.00686541603996922,2.30656270117543e-05,4.72337364053978e-07,3.79904444899482e-06,0.00113971333469845,0,0.000564842573124679,0.00386517722938238,0,0.000498979612023655,6.49455693899591e-05,2.63219508251784e-05,3.57291085084037e-05,0.00764452336228062,0.000180744740131024,9.9770143505745e-05,9.27232491370477e-06,6.10894255647014e-05,8.28616249873357e-08,1.06735058328902e-05,7.45116574304087e-07,0.000566238529778752,9.94987831879597e-05,2.17088254228276e-06,8.86443704765459e-06,0.000755013556539027,0.000547243307533778,0.00274570054022421,2.47842423577281e-05,0.00013658469328529,0.000281996304054999,0.00082024550131861,1.35680158892672e-06,0.000202773803387939,5.59906789030428e-05,0.000110353195899373,1.94462503050385e-05,0.0105218409200968,0,1.29348418144348e-05,2.73625191962067e-07,7.46240873909698e-05,1.70130998353648e-07,2.89451005637701e-06,1.89047688057123e-05,0.00263131896803728,7.61878185034347e-06,0.000263494341294151,1.63720725063825e-05,0.00104933134073054,0.00259319285128771
"57",0.352509134635741,0.0354076661522691,0.0892568250921782,0.117748931449082,0.0692534110494287,0.00184138305484587,0.0225908286648592,0.124756698708385,0.117195686665453,0.0114337255283369,0.00848308668231446,2.52627798061908e-06,2.12181098358436e-05,0.00653750919321843,0.00673819829816423,2.07754901642412e-05,4.81496677385865e-07,1.41467521372555e-06,0.000820646429049986,0,0.000580907022810664,0.00360531183998365,0,0.000119869703119661,6.31944418568161e-05,2.43922404833646e-05,3.51108853680133e-05,0.00779276186737601,0.000175194181482581,9.60133772681081e-05,9.45212887515885e-06,6.22740390054203e-05,8.44684332650767e-08,1.03879493524634e-05,7.59565476068405e-07,0.000507141051660104,0.000152022618848624,2.13681004559212e-06,8.73862224648132e-06,0.000769654375285208,0.000488699558872463,0.00273856167896456,4.61037319691003e-05,0.000134740081844444,0.000267401645420782,0.000836151263020725,1.34413399568557e-06,0.000206705884442861,0,0.000108090286193194,1.98233415818018e-05,0.00994918535893185,0,1.27535004960625e-05,2.78931185219022e-07,8.29867175443806e-05,1.73430087606324e-07,2.87155701869043e-06,0.000165973435088761,0.00270167869338928,7.76652118981824e-06,0.000230518659845502,1.55058057846989e-05,0.000903633146594366,0.00244349779436232
"58",0.340310034261705,0.0350737361216799,0.0900541873394483,0.119440290576531,0.0691995334292603,0.00189587762819891,0.128919678717526,0.117544412948333,0.031281980865282,0.0113752657691935,0.0085314493268951,2.59714002614651e-06,1.99067150960886e-05,0.000323832756166532,0.00683843060491347,2.36984703524864e-05,4.95002649308188e-07,1.70628986537902e-06,0.0012133616820473,0,0.000591946755469503,0.00430838191008203,4.73969407049728e-06,0.000545064818107187,6.63557169869619e-05,2.65422867947848e-05,3.79175525639782e-05,0.00601941146953154,0.000186743946377593,0.000100481514294542,1.42190822114918e-05,6.16160229164646e-05,8.68377710852138e-08,1.13752657691935e-05,7.80871272088934e-07,0.000594357636440359,0.000156286850188443,1.89587762819891e-06,7.58351051279565e-06,0.000900541873394483,0.00059151381999806,0.00346945605960401,2.36984703524864e-05,0.00013934700567262,0.000292913093556732,0.00100481514294542,1.38183692668839e-06,0.000241724397595361,0,0.000115648535320134,9.47938814099456e-07,0.0110937279414059,4.73969407049728e-05,1.32711433973924e-05,2.86755199241883e-07,6.63557169869619e-05,1.78294798005602e-07,2.95210413415204e-06,2.0854653910188e-05,0.00294335001777881,7.98437194985526e-06,0.00029575690999903,1.70628986537902e-05,0.00115174565913084,0.00277082515361271
"59",0.340426011687815,0.0349070885013221,0.0927276412482983,0.120300237223013,0.0683455307485862,0.00179267373168938,0.131766069212499,0.113839331895605,0.0321225293038757,0.0111928359897357,0.00836277745899766,2.49315964062253e-06,7.27989332665738e-05,0.000310867627412404,0.00656100386064996,2.05031330633469e-05,4.75184477861025e-07,1.3961294736794e-06,0.001111548712314,0,0.000400394132966156,0.00319405319707092,0,0.000391294266307834,6.03230160780147e-05,2.33138583786202e-05,3.27595199699582e-05,0.00769060235087945,0.000163797599849791,8.97883843176604e-05,9.32821582197139e-06,6.3699066608252e-05,8.33610910353971e-08,9.90065492425403e-06,7.49607922751207e-07,0.000558094822154871,0.000150029672380808,1.98377093151414e-06,8.6240629363497e-06,0.000755288932640703,0.000536073144841732,0.00301205586390449,3.16155292537667e-05,0.000133313046544413,0.00026389613309133,0.000825189705333996,1.32651301849638e-06,0.000183362313165183,0,0.000105185358703541,1.95634667099902e-05,0.0109380397233027,0,1.15477307894103e-05,2.75274525936633e-07,6.92954846031199e-05,1.71156499089524e-07,2.79365906410477e-06,0,0.00224766706460546,7.66470567651047e-06,0.000260711179760917,1.48873818530143e-05,0.000973685732440424,0.00289375759734631
"60",0.341602991640157,0.035628974446545,0.0916562167059975,0.121211040292699,0.0667250004902217,0.00186757474198175,0.129461006385919,0.118037976410691,0.0303707542992178,0.0114230299752282,0.00824996609322035,2.48385266188943e-06,2.08617812451135e-05,0.000309707156839243,0.00474237061908084,2.04265947541776e-05,4.73410611575975e-07,1.39091771462937e-06,0.00143150510562582,0,0.000545766987705346,0.00394457170017602,0,0.00048230571006519,6.21331792569416e-05,2.3982606791041e-05,3.45212469695291e-05,0.00766189328975152,0.000192197012281617,9.44009663758154e-05,9.29339354069496e-06,6.12282332890043e-05,8.30499036213252e-08,1.02134982169959e-05,7.46809632227997e-07,0.000494091375912647,0.000149469610783697,2.10092529817144e-06,8.59186926169137e-06,0.000700793823083443,0.000608321675664929,0.00291196605400261,3.14975083081337e-05,0.000132477309908115,0.000282855980338983,0.00082210926759821,1.32156113805874e-06,0.000203234547124458,0,0.0001062750604427,1.94904361805172e-05,0.0109144331644264,0,1.25393232251465e-05,2.74246924608218e-07,7.34337641264669e-05,1.70517570931415e-07,2.8233332196062e-06,0,0.0025991926142047,7.63609328781125e-06,0.000271976904172099,1.52454073813471e-05,0.00113414369039766,0.00260644533164929
