"SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Ba","Be","Bi","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr","Rest"
0.48632002908496,0.0153398594530718,0.13368919935465,0.102358698532315,0.0748110021439991,0.00125414972134508,0.0699125715679392,0.0760485153491679,0.0274258093251889,0.00771641414912095,0.00269609650993383,3.47632909965093e-07,1.98479520909984e-06,0.0002156877207947,1.01306813290637e-06,9.69340896660241e-08,1.86380677274609e-07,2.88203420027409e-05,9.79247258711348e-05,4.3695357229962e-05,0.00022219553995661,7.57860560490646e-07,2.97500304544422e-05,3.86184716302637e-06,1.84394240345547e-06,1.44373397137572e-06,0.00024129832768624,1.95234574857277e-05,4.15827418913924e-06,1.46108906478697e-06,3.13802230545539e-06,1.80093339240285e-08,7.03861331077994e-07,7.43750761361055e-06,6.64730162334244e-06,2.1220301448855e-07,1.67052112852586e-06,1.67343921306237e-05,1.6796335184983e-05,0.00015432828298241,5.57813071020792e-06,3.79436945581409e-06,2.23125228408317e-05,0.00010984192609786,1.66695387296518e-07,1.79031353445854e-05,4.68172628545799e-07,4.05645306299365e-06,1.64442645924981e-06,0.00034212535022608,2.42893229532262e-06,7.23596487650274e-07,7.43750761361055e-06,7.01436268105691e-08,2.51777602660792e-07,6.9750817315596e-07,0.00015897672524092,7.76843773264025e-07,2.0453145937429e-05,1.55176694149241e-06,9.57579105252359e-05,0.00013015638323818,0.00037674388813779
0.479932817969672,0.0164221533253752,0.134329523830035,0.10600592230818,0.0748110021439991,0.00134698560983414,0.069286725546948,0.0789739508231525,0.026847452908338,0.00757448757310843,0.00242641928346835,3.47632909965093e-07,1.98479520909984e-06,0.00019466709840753,1.01306813290637e-06,9.69340896660241e-08,1.86380677274609e-07,2.88679313230893e-05,9.79247258711348e-05,4.3361865522058e-05,0.00021680932761029,7.57860560490646e-07,4.42844584055061e-05,3.80108267980594e-06,1.8359598380616e-06,1.41156711167551e-06,0.00024129832768624,1.75039964877781e-05,4.48380141355749e-06,1.46108906478697e-06,3.13802230545539e-06,1.80093339240285e-08,7.19622449089473e-07,1.4134122974424e-05,6.64730162334244e-06,2.1219636319305e-07,1.67052112852586e-06,1.62924085814099e-05,1.53611715094099e-05,0.00014207930405099,3.69037153379217e-06,3.72727524913009e-06,2.1219636319305e-05,0.00010984192609786,1.66695387296518e-07,1.79031353445854e-05,4.68172628545799e-07,4.13321611784723e-06,1.64442645924981e-06,0.00033766899534198,2.42893229532262e-06,6.4581501841363e-07,1.84518576689609e-06,7.01436268105691e-08,2.39874149696491e-07,6.9750817315596e-07,0.00015960856883651,7.76843773264025e-07,2.02970434358569e-05,1.62376347486856e-06,0.00010517558871307,0.00014576967558479,5.45301240606477e-07
0.476799304665691,0.0159149001363281,0.133055967418836,0.105019835201933,0.0779089878766761,0.00133241024397166,0.0711544081676532,0.0770762314741938,0.0293315310652094,0.00740227913317588,0.00286838316410565,3.47632909965093e-07,1.98479520909984e-06,0.00018228112365445,9.80801985145804e-07,9.69340896660241e-08,1.86380677274609e-07,2.59079769661156e-05,0.00011566061145587,3.9602193362491e-05,0.00023132122291174,7.30975064401118e-07,5.0335498105596e-05,3.46981834367619e-06,1.60999571146575e-06,1.38792733747048e-06,0.00026925790346927,1.76729414304574e-05,3.94171363841616e-06,1.18436466130814e-06,2.78510752385742e-06,9.25284891646985e-10,6.33820150778185e-07,1.30465169722225e-05,7.58733611150528e-06,2.03562676162337e-07,1.48045582663518e-06,1.4434444309693e-05,1.48045582663518e-05,0.00013694216396375,2.76660182602449e-06,3.15522148051622e-06,1.92459257462573e-05,0.00024520049628645,1.66695387296518e-07,2.02914976738184e-05,3.70113956658794e-08,3.79366805575264e-06,1.37867448855401e-06,0.00031922328761821,2.89614171085506e-06,6.08837458703716e-07,2.12815525078807e-06,7.01436268105691e-08,2.22068373995276e-07,5.829294817376e-07,0.00013324102439716,4.62642445823493e-07,1.78579984087868e-05,1.40643303530342e-06,0.00010548247764775,0.00011103418699763,3.20690363153631e-09
0.483156456675223,0.0159225207193941,0.129521791348989,0.102984256816666,0.0748110021439991,0.00132222101880349,0.0691838180965486,0.0791470328157017,0.0280273610323838,0.0081009315940777,0.00262882403406073,2.58857354385471e-07,1.33339471755394e-06,0.00020472078393953,1.01306813290637e-06,9.69340896660241e-08,5.12127859395717e-08,2.98919311260101e-05,9.79247258711348e-05,4.10447200766603e-05,0.00024395908938486,7.36532975967294e-07,5.18273393708465e-05,3.82699182202981e-06,1.84366029382458e-06,1.40602375943188e-06,0.00024129832768624,1.78034266757202e-05,4.40429959080316e-06,1.33153243442886e-06,3.13802230545539e-06,1.80093339240285e-08,7.28152701904455e-07,1.34084385005424e-05,6.64730162334244e-06,2.04851143758287e-07,1.58294065631403e-06,1.78313609225963e-05,1.6686056800675e-05,0.00015152466647175,2.89585025949214e-06,3.54764935326851e-06,1.99264294383061e-05,0.00010984192609786,1.66695387296518e-07,1.79031353445854e-05,4.68172628545799e-07,4.04115438141347e-06,1.46189225318414e-06,0.00034452237813893,2.42893229532262e-06,7.23596487650274e-07,2.18818267196352e-06,7.01436268105691e-08,2.42096806259793e-07,5.49373521897223e-07,0.00014324663515254,5.0281644377034e-07,1.9579726733425e-05,1.48982650006027e-06,0.00010428785500421,0.00012561099678633,0.00313154558629158
0.483156445874869,0.0157874623661431,0.130321634586687,0.107200054256791,0.0748110004716934,0.0012921150754999,0.0674356677783785,0.0789373118307156,0.0284538298668182,0.0077799886588198,0.00262882397529668,3.47632902194198e-07,1.98479516473224e-06,0.00019108744074294,1.01306811026051e-06,9.69340874991847e-08,1.86380673108304e-07,2.86631161114414e-05,0.00012739162716196,4.24942070604544e-05,0.00023658445044364,6.46057537749949e-07,5.12236272780784e-05,4.36771293126726e-06,1.84394236223647e-06,1.4741031143027e-06,0.00024129832229232,1.75039960964983e-05,4.15827409618626e-06,1.46108903212616e-06,3.23028768874974e-06,1.80093335214526e-08,7.03861315344061e-07,1.39220849684144e-05,6.64730147475038e-06,1.81988038802802e-07,1.67052109118347e-06,1.62924082172137e-05,1.18292225221822e-05,0.0002274850485035,3.35861559342507e-06,3.79436937099574e-06,2.36584450443643e-05,0.00010984192364248,1.66695383570252e-07,1.91997380936957e-05,4.6817261808039e-07,3.95823984396095e-06,1.64442642249073e-06,0.00040037368536616,2.54783254323923e-06,6.73355743570369e-07,2.34764570055615e-06,7.01436252425967e-08,2.51777597032621e-07,6.97508157564043e-07,0.00015377989278836,7.76843755898661e-07,1.95797262957449e-05,1.40130789878158e-06,9.29751772287281e-05,0.00011829222522182,0
0.480810252770016,0.0161966880143894,0.132350079203296,0.104861985830304,0.0748110021439991,0.00129573504115115,0.0698771397192227,0.0779292074749477,0.0293391434317796,0.00768185774396752,0.00280434083906284,3.47632909965093e-07,1.98479520909984e-06,0.00020083893137842,9.53290780275488e-07,9.69340896660241e-08,1.86380677274609e-07,3.18380610111425e-05,9.79247258711348e-05,4.0260338778625e-05,0.00018140290576116,7.86696274984626e-07,4.94230365696224e-05,4.00752337727462e-06,1.98987881319641e-06,1.52711629849957e-06,0.00024129832768624,1.75849755584799e-05,4.6553908978502e-06,1.46108906478697e-06,3.23933760287787e-06,1.80093339240285e-08,7.31164773221005e-07,1.50108531090449e-05,6.64730162334244e-06,2.31381257348419e-07,1.610413551145e-06,1.7122213043783e-05,1.68445555349649e-05,0.00013836599189435,3.35861566850269e-06,3.97050237609888e-06,2.12870756760546e-05,0.00010984192609786,1.66695387296518e-07,1.81402905761161e-05,4.68172628545799e-07,4.32220188726847e-06,1.64442645924981e-06,0.00036188028649292,2.42893229532262e-06,7.23596487650274e-07,2.40911719196433e-06,7.01436268105691e-08,2.77657508818103e-07,6.9750817315596e-07,0.00015178610482056,7.76843773264025e-07,1.95285781202066e-05,1.59190305055713e-06,0.00010365880329209,0.00011754167873299,3.76074748100752e-05
0.483791156758486,0.0149260673122557,0.186762417244599,0.100004650992113,0.0748110021439991,0.00149260673122557,0.0236951318582059,0.0715518351781255,0.0286521310540825,0.00886235246665179,0.00262882403406073,3.47632909965093e-07,1.98479520909984e-06,0.00021176357999262,1.01306813290637e-06,9.69340896660241e-08,2.42548593824154e-06,2.70534970034634e-05,9.79247258711348e-05,4.02985599568561e-05,0.00018498366827788,7.57860560490646e-07,5.13083563858788e-05,3.86184716302637e-06,1.84394240345547e-06,1.44373397137572e-06,0.00024129832768624,1.58589465192716e-05,4.15827418913924e-06,1.46108906478697e-06,3.13802230545539e-06,1.80093339240285e-08,7.03861331077994e-07,1.21274296912077e-05,6.64730162334244e-06,2.1220301448855e-07,1.21274296912077e-06,1.30603088982237e-05,1.67918257262876e-05,0.00012593869294715,9.32879207015978e-08,3.79436945581409e-06,2.14562217613675e-05,0.00010984192609786,1.66695387296518e-07,1.79031353445854e-05,4.68172628545799e-07,4.05645306299365e-06,1.64442645924981e-06,0.00034143378976784,2.42893229532262e-06,7.23596487650274e-07,2.40911719196433e-06,7.01436268105691e-08,2.51777602660792e-07,6.9750817315596e-07,0.00014324663515254,7.76843773264025e-07,1.77247049333036e-05,1.55176694149241e-06,9.04892830805499e-05,0.00012593869294715,0.00086492202293742
0.482324835719191,0.0160127032391902,0.132266779935276,0.104591645435173,0.0748110021439991,0.0013328492869615,0.0692341157393888,0.0783974545872491,0.0285081653044542,0.00777495417394205,0.00268421036957523,3.47632909965093e-07,1.98479520909984e-06,0.00020733211130512,1.01306813290637e-06,9.69340896660241e-08,1.86380677274609e-07,2.98919311260101e-05,9.79247258711348e-05,4.00780375871061e-05,0.00022130851702256,7.57860560490646e-07,5.3406530456721e-05,3.86184716302637e-06,1.84394240345547e-06,1.44373397137572e-06,0.00024129832768624,1.86043546305042e-05,4.15827418913924e-06,1.46108906478697e-06,3.13802230545539e-06,1.80093339240285e-08,7.03861331077994e-07,1.42540826522271e-05,6.64730162334244e-06,2.1220301448855e-07,1.67052112852586e-06,1.79564417826757e-05,1.71234109783248e-05,0.00014753901134837,3.35861566850269e-06,3.79436945581409e-06,1.82341187174593e-05,0.00010984192609786,1.66695387296518e-07,1.79031353445854e-05,4.68172628545799e-07,4.05645306299365e-06,1.64442645924981e-06,0.00033413791152298,2.42893229532262e-06,7.23596487650274e-07,2.40911719196433e-06,7.01436268105691e-08,2.51777602660792e-07,6.9750817315596e-07,0.00014235570856574,7.76843773264025e-07,2.09183290870346e-05,1.55176694149241e-06,9.99636965221122e-05,0.00011634663567434,4.29212257578859e-05
0.480787562162424,0.01618969085596,0.132847977538049,0.104724171708267,0.0748110021439991,0.0012951752684768,0.0699394644977473,0.0777105161086081,0.0290489310215511,0.00777105161086081,0.00277537557530743,9.25125191769144e-08,1.98479520909984e-06,0.00018965066431267,1.01763771094606e-06,9.69340896660241e-08,1.86380677274609e-07,2.8123805829782e-05,9.79247258711348e-05,4.25557588213806e-05,0.00018409991316206,7.40100153415315e-07,5.8282887081456e-05,3.42296320954583e-06,1.85025038353829e-06,1.20266274929989e-06,0.00024129832768624,1.75773786436137e-05,4.07055084378423e-06,7.40100153415315e-07,3.14542565201509e-06,1.80093339240285e-08,6.475876342384e-07,1.32292902422988e-05,6.84592641909166e-06,2.12778794106903e-07,1.48020030683063e-06,1.66522534518446e-05,1.58196407792524e-05,0.00013876877876537,2.77537557530743e-06,3.70050076707658e-06,1.9427629027152e-05,0.00014802003068306,9.25125191769144e-08,1.75773786436137e-05,4.68172628545799e-07,3.79301328625349e-06,1.85025038353829e-06,0.00032286869192743,2.77537557530743e-06,5.92080122732252e-07,2.12778794106903e-06,9.25125191769144e-08,2.03527542189212e-07,6.10582626567635e-07,0.00014802003068306,4.62562595884572e-07,1.75773786436137e-05,1.38768778765372e-06,9.52878947522218e-05,0.00011749089935468,1.00514948571107e-05
0.472548449072607,0.0272695212199568,0.0279165946048371,0.181550303986424,0.0748110021439991,0.0021260982646068,0.0156222002921108,0.14355785238845,0.0363285486082814,0.0136809801374698,0.00157146393470937,3.47632909965093e-07,8.30102713746481e-06,0.00020463488595126,1.01306813290637e-06,9.69340896660241e-08,1.86380677274609e-07,0.00011277564707914,9.79247258711348e-05,7.84530259639909e-05,0.00042152209072204,7.57860560490646e-07,4.46110879347496e-05,3.86184716302637e-06,1.84394240345547e-06,1.44373397137572e-06,0.00024129832768624,2.68073259450423e-05,4.15827418913924e-06,1.46108906478697e-06,3.13802230545539e-06,1.80093339240285e-08,7.03861331077994e-07,3.09301077972798e-05,6.64730162334244e-06,2.1220301448855e-07,1.67052112852586e-06,7.61697813059132e-06,6.08064103677545e-05,0.00010741418189013,5.05641630756487e-06,3.79436945581409e-06,1.58532979295681e-05,0.00010984192609786,1.66695387296518e-07,1.79031353445854e-05,4.68172628545799e-07,4.05645306299365e-06,1.64442645924981e-06,0.00061102215343699,1.13700037628972e-06,7.23596487650274e-07,2.40911719196433e-06,7.01436268105691e-08,2.51777602660792e-07,6.9750817315596e-07,0.00045110258831657,7.76843773264025e-07,6.02425321323588e-05,1.55176694149241e-06,6.9449462008656e-05,0.00018210493831632,6.00452111387817e-06
