"SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Ba","Be","Bi","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr","Rest"
0.730369270988601,0.00225725520461406,0.110114797372912,0.0370974985801789,0.0318371328677304,0.00088327377571854,0.00029442459190618,0.00215911367397866,0.0357235171512834,0.0456358117454581,0.00016684060208017,3.70713301542465e-07,2.22979767485165e-06,1.47212295953091e-05,9.01267091514988e-06,3.11638575993757e-07,4.12566601991004e-07,0.00022376268984869,5.88849183812363e-05,7.51718000534147e-07,6.86990714447757e-06,7.57999999942639e-07,3.70477448294536e-06,1.79800770896948e-05,1.10782892841579e-05,1.11860527291452e-06,0.00117769836762473,3.43495357223879e-05,1.77356015808971e-05,1.17769836762473e-06,1.6684060208017e-05,3.92653180340227e-06,0.00010501143777987,1.64141314877376e-06,1.60234447717842e-06,1.96283061270788e-06,5.98663336875903e-05,9.22530387972702e-05,3.26253319336508e-06,3.04238744969721e-05,7.85132245083151e-06,0.00018058041636912,6.23877189963411e-05,3.10187872512093e-07,8.9634381306018e-07,5.88849183812363e-06,2.25725520461406e-05,5.88849183812363e-06,1.27583989826012e-05,2.85921782086606e-06,2.64982132715563e-05,1.17769836762473e-06,1.71959515645805e-06,5.88849183812363e-06,3.7963392631662e-06,2.300872506554e-06,9.5197284716332e-05,1.0982177706803e-05,0.00014721229595309,0.00096473124614592,2.89091506289196e-09
0.732386440954058,0.00236635360566739,0.107570490990964,0.0391434325604148,0.0318371328677304,0.00069018646831965,0.00032931167136913,0.00187336327115335,0.0370728731554558,0.0430873552365271,4.9299033451404e-05,3.70713301542465e-07,2.95794200708424e-06,2.66214780637582e-05,9.01267091514988e-06,3.11638575993757e-07,4.12566601991004e-07,0.00019226623046047,0.00011084107637596,7.88784535222465e-06,1.87336327115335e-05,7.57999999942639e-07,3.70477448294536e-06,1.79800770896948e-05,1.10782892841579e-05,1.11860527291452e-06,0.00116770458204946,3.15513814088986e-05,1.77356015808971e-05,1.50874442600625e-06,2.37926052759237e-05,3.92653180340227e-06,8.97242408815553e-05,1.64141314877376e-06,1.60234447717842e-06,2.56354973947301e-06,8.67662988744711e-05,8.77522795434992e-05,1.97196133805616e-06,3.54953040850109e-05,2.03602499615167e-05,0.00016594606237987,6.23877189963411e-05,3.10187872512093e-07,8.9634381306018e-07,1.80872682707111e-05,9.92397504473773e-06,7.88784535222465e-06,5.35787930545236e-06,2.85921782086606e-06,2.66214780637582e-05,7.8602756084927e-07,1.71959515645805e-06,4.9299033451404e-06,4.9299033451404e-06,2.300872506554e-06,0.00013212140964976,1.0982177706803e-05,0.00013507935165684,0.00102246195378212,1.83841701861809e-08
0.726895644481434,0.00228521047335607,0.111577885286037,0.0376562943218239,0.0325890884895995,0.001589711633639,0.00029807093130731,0.00198713954204875,0.0357685117568775,0.0456048524900189,9.93569771024376e-05,2.98070931307313e-07,3.67620815279019e-06,9.93569771024376e-06,1.03331256186535e-05,1.98713954204875e-07,4.12566601991004e-07,0.00019662745768572,0.00011084107637596,7.51718000534147e-07,1.589711633639e-05,6.95498839717063e-07,5.96141862614626e-06,1.7894191576149e-05,1.10783029469218e-05,1.18234802751901e-06,0.0013611905863034,3.29865163980093e-05,1.87188544860993e-05,2.08649651915119e-06,2.37926052759237e-05,3.69607954821068e-06,9.40910573160085e-05,9.93569771024377e-07,1.57977593592876e-06,1.88778256494632e-06,8.04791514529745e-05,8.72354258959402e-05,2.98070931307313e-06,3.62652966423897e-05,2.3150175664868e-05,0.00017486827970029,5.96141862614626e-05,3.97427908409751e-07,9.93569771024377e-07,1.86989830906788e-05,5.96141862614626e-06,1.39099767943413e-05,5.96141862614626e-06,3.32845873293166e-06,2.28521047335607e-05,7.8602756084927e-07,1.71959515645805e-06,5.66334769483895e-06,3.97427908409751e-06,2.300872506554e-06,0.00011098174342342,1.08597175972964e-05,0.00013909976794341,0.00090812277071628,1.22207635500082e-06
0.705119012272565,0.00216959696083866,0.122582228287384,0.0389541272514214,0.0318371328677304,0.00088756239307036,0.00073963532755863,0.00453643000902629,0.0445753557408671,0.044969827915565,0.00010211244261943,3.70713301542465e-07,2.16959696083866e-06,1.87374282981521e-05,9.01267091514988e-06,3.11638575993757e-07,3.94472174697939e-07,0.00018471159580231,0.00011084107637596,7.51718000534147e-07,2.16959696083866e-05,7.57999999942639e-07,1.67650674246624e-06,1.79800770896948e-05,1.10782892841579e-05,1.11860527291452e-06,0.00116770458204946,3.29384265872779e-05,1.77356015808971e-05,1.2820345677683e-06,2.20904417830846e-05,3.92653180340227e-06,7.99792334200071e-05,1.64141314877376e-06,1.60234447717842e-06,1.38065261144279e-06,7.61331297167022e-05,7.05119012272565e-05,3.26253319336508e-06,3.17550100631841e-05,1.03548945858209e-05,0.00016774929229029,6.23877189963411e-05,3.94472174697939e-07,8.9634381306018e-07,4.04333979065387e-05,1.20314013282871e-05,1.11438389352168e-05,1.08479848041933e-05,2.85921782086606e-06,3.50094055044421e-05,1.38065261144279e-06,1.71959515645805e-06,5.42399240209666e-06,4.63504805270078e-06,4.43781196535181e-06,0.00011656652762324,1.49899426385217e-05,0.00014398234376474,0.00098618043674484,2.01760097517933e-09
0.72835710935272,0.00226871797333594,0.11067398113404,0.0385682055467109,0.0318371328677304,0.00090748718933437,0.00019727982376834,0.00217007806145177,0.03689132704468,0.0444866002597612,0.00010850390307258,3.70713301542465e-07,2.95919735652514e-06,4.73471577044022e-05,9.01267091514988e-06,3.11638575993757e-07,4.12566601991004e-07,0.00023574938940316,0.00011084107637596,6.90479383189198e-06,1.47959867826257e-05,7.57999999942639e-07,3.70477448294536e-06,1.79800770896948e-05,1.10782892841579e-05,1.11860527291452e-06,0.00116770458204946,3.15647718029348e-05,1.77356015808971e-05,1.50874442600625e-06,2.17007806145177e-05,3.92653180340227e-06,0.00010159910924069,1.64141314877376e-06,1.60234447717842e-06,1.69471385134237e-06,7.59527321508118e-05,8.15578580007181e-05,3.26253319336508e-06,3.35375700406182e-05,2.03602499615167e-05,0.0001657150519654,6.23877189963411e-05,3.10187872512093e-07,8.9634381306018e-07,1.80872682707111e-05,9.92397504473773e-06,9.86399118841712e-06,3.94559647536685e-06,2.85921782086606e-06,2.76191753275679e-05,7.8602756084927e-07,1.71959515645805e-06,5.91839471305027e-06,3.7963392631662e-06,2.300872506554e-06,0.00010357190747838,1.0982177706803e-05,0.00013513667928131,0.00093905196113731,9.88849402361325e-09
0.71458,0.0022,0.10682,0.0381,0.0318371328677304,0.00084,0.00021,0.0025,0.03563,0.04471,0.00010211244261943,3.70713301542465e-07,2.22979767485165e-06,2.71391318684809e-05,1.099e-05,3.11638575993757e-07,4.12566601991004e-07,0.0001965,0.00011084107637596,7.51718000534147e-07,1.89e-05,7.57999999942639e-07,3.2e-06,2.028e-05,1.241e-05,1.21e-06,0.00116770458204946,3.263e-05,1.748e-05,1.50874442600625e-06,2.305e-05,4.54e-06,9.05e-05,1.64141314877376e-06,1.68e-06,1.69471385134237e-06,7.503e-05,8.7e-05,3.26253319336508e-06,3.56426600807594e-05,2.291e-05,0.0001831,6.23877189963411e-05,3.10187872512093e-07,8.9634381306018e-07,1.882e-05,9.92397504473773e-06,8.64e-06,5.79e-06,3.13e-06,2.223e-05,7.8602756084927e-07,1.71959515645805e-06,5.08e-06,3.7963392631662e-06,2.300872506554e-06,0.0001257,1.19e-05,0.0001815,0.0009448,0.0189053643402874
0.731156636832775,0.00222697304480064,0.110166188676421,0.0379373726658515,0.0318371328677304,0.00084743222058785,0.00016751567151155,0.00186238011268726,0.0380359112961524,0.0423716110293926,4.92693151504565e-05,3.70713301542465e-07,2.22979767485165e-06,2.33536553813164e-05,1.00509402906931e-05,3.11638575993757e-07,4.12566601991004e-07,0.00016751567151155,0.00014682255914836,7.51718000534147e-07,1.42881013936324e-05,5.71524055745296e-07,3.70477448294536e-06,1.74413375632616e-05,1.0248017551295e-05,1.00509402906931e-06,0.00116770458204946,3.0546975393283e-05,1.55691035875443e-05,1.8131107975368e-06,1.89194170177753e-05,3.44885206053196e-06,8.48614684151464e-05,1.64141314877376e-06,1.34997923512251e-06,1.92150329086781e-06,6.68091913440191e-05,7.13419683378611e-05,3.26253319336508e-06,3.7444679514347e-05,2.05945737328908e-05,0.00014682255914836,6.23877189963411e-05,2.95615890902739e-07,8.37578357557761e-07,1.57661808481461e-05,9.30204670040619e-06,9.77503212585057e-06,4.39482291142072e-06,2.72952005933529e-06,1.94121101692799e-05,7.8602756084927e-07,1.51749490663406e-06,4.78897743262438e-06,8.57286083617944e-07,2.300872506554e-06,0.00010149478920994,9.95240166039222e-06,0.00015372026326942,0.00086812533295104,2.04696704031448e-10
0.729808927990798,0.00218743820378713,0.111360490374618,0.0369875914458552,0.0320161409827026,0.00089486108336746,0.00032931167136913,0.00089486108336746,0.0370870204551182,0.0448424831776362,0.00010211244261943,3.70713301542465e-07,3.2811573056807e-06,2.71391318684809e-05,9.94290092630516e-06,3.11638575993757e-07,4.12566601991004e-07,0.00017897221667349,0.00011084107637596,7.51718000534147e-07,1.69364139888922e-05,4.97145046315258e-07,1.78972216673493e-05,1.29257712041967e-05,1.10782892841579e-05,1.11860527291452e-06,0.00116770458204946,3.2811573056807e-05,1.77356015808971e-05,1.50874442600625e-06,2.08800919452408e-05,5.56802451873089e-06,9.74404290777905e-05,1.98858018526103e-06,1.69029315747188e-06,1.98858018526103e-06,7.65603371325497e-05,5.86631154652004e-05,2.98287027789155e-06,5.86631154652004e-05,2.28686721305019e-05,0.00017996650676612,6.23877189963411e-05,2.98287027789155e-07,4.97145046315258e-07,1.98858018526103e-05,9.92397504473773e-06,1.49143513894577e-05,5.35787930545236e-06,7.95432074104413e-07,2.18743820378713e-05,7.8602756084927e-07,1.39200612968272e-06,4.87202145388953e-06,8.94861083367464e-06,2.300872506554e-06,0.0001173262309304,1.29257712041967e-05,0.00015510925445036,0.00088988963290431,1.77780044980924e-05
0.73295372730903,0.00217993537931576,0.108204065191491,0.0385452210251741,0.0318371328677304,0.00089179174608371,0.00029726391536123,0.00257628726646408,0.0355725818715617,0.0433014436709539,0.00010211244261943,3.70713301542465e-07,2.22979767485165e-06,3.02218313950593e-05,9.01267091514988e-06,3.11638575993757e-07,4.12566601991004e-07,0.00022592057567454,0.00011084107637596,7.51718000534147e-07,1.69364139888922e-05,6.93615802509559e-07,3.70477448294536e-06,2.03130342163514e-05,1.25841724169591e-05,1.4863195768062e-06,0.00116770458204946,3.36899104076071e-05,2.05112101599255e-05,1.50874442600625e-06,2.37811132288992e-05,4.16169481505735e-06,0.00010453781023536,1.64141314877376e-06,1.78358349216744e-06,1.69471385134237e-06,7.82794977117931e-05,8.52156557368887e-05,3.26253319336508e-06,2.9726391536124e-05,2.24929695956671e-05,0.00017588114992206,6.23877189963411e-05,3.10187872512093e-07,8.9634381306018e-07,1.90248905831193e-05,5.94527830722479e-06,1.46650198244878e-05,5.94527830722479e-06,3.36899104076071e-06,2.17993537931576e-05,7.8602756084927e-07,1.88267146395452e-06,4.95439858935399e-06,3.7963392631662e-06,2.300872506554e-06,0.00011296028783727,1.2385996473385e-05,0.00013872316050191,0.0008650379937012,6.96026112688708e-05
0.727829555153995,0.00242,0.109732655382142,0.03,0.0318371328677304,0.00077,0.0056,0.00185406517936164,0.0404,0.0138,0.00010211244261943,3.70713301542465e-07,2.22979767485165e-06,8.19e-05,9.01267091514988e-06,3.11638575993757e-07,4.12566601991004e-07,0.0001898,0.00011084107637596,1.008e-05,6.53e-06,6.6e-07,1.88e-05,1.569e-05,1.166e-05,1.01e-06,0.00116770458204946,1.335e-05,1.55e-05,1.50874442600625e-06,0.00011334,3.57e-06,8.23e-05,1.64141314877376e-06,1.17e-06,1.69471385134237e-06,7.08e-05,8.604e-05,9.41e-06,3.726e-05,2.372e-05,0.00017608,6.23877189963411e-05,3.10187872512093e-07,8.9634381306018e-07,1.843e-05,9.92397504473773e-06,1.163e-05,1.57e-06,2.79e-06,2.32926683258289e-05,7.8602756084927e-07,2.79e-06,5.27939626252731e-06,2.405e-05,2.300872506554e-06,0.0001053,1.105e-05,0.0001695,0.00088929390356639,0.032048499963282
