"","Si","Ti","Al","Fe","Mn","Mg","Ca","Na","K","P","O","Ag","Ba","Cu","Rb","Zr","Sr","Li","Ce","Zn","V","NA","name"
"1",0.323415958039383,0.00149014015796785,0.0771369039974919,0.0389397049799474,0.000569413387318423,0.00626717773985066,0.00954094389386853,0.0329935285986038,0.0243980207132354,0.000690659119271015,0.480807393400893,0.000490639696512572,0.00035129199169186,0.000221675926583828,0.000148958448508393,0.000135939748534971,9.11530059249309e-05,5.0560581082757e-05,4.15507196311067e-05,4.05894270865061e-05,3.67604937684527e-05,0.00214103593284343,"GeoPT1.csv"
"2",0.334224513369334,0.00114970820214375,0.0832656342857376,0.0282095049844399,0.00122268195300602,0.00210492002986817,0.00279223934632827,0.0401161324742013,0.0105466758033947,0.000756203547347802,0.488072355860398,0.000208005656376853,0.000193193979302484,9.80045176700158e-05,9.37940661238503e-05,7.51263902519559e-05,6.26749457905633e-05,5.96401611292158e-05,5.42796112336978e-05,5.13708188875933e-05,4.4422821561863e-05,0.00659891717547212,"GeoPT14 .csv"
"3",0.208426548591952,0.000853384708916843,0.085534668203369,0.114699679637597,0.000988635581283934,0.00658015306985061,0.0136268571219264,0.083340649622708,0.0654144735778645,0.000659072871716189,0.41700396430323,0.000279021931816074,0.000225292623031395,0.000164485523506271,0.000154389348891374,0.00014073298819435,0.000136976294105194,0.000102344084804115,8.38833077221376e-05,6.82117980405159e-05,5.12919760852876e-05,0.00146528283338954,"GeoPT16 .csv"
"4",0.193395815993166,0.000472384068487292,0.110990463772318,0.103286003958765,0.000588801980572869,0.0055756416942193,0.0088227529368872,0.109219471001978,0.038913793492501,0.000419882183028696,0.417779949411162,0.000569712658289838,0.000432371707906125,0.000386641744345804,0.00018361948897045,0.000164050642278611,8.95517176171688e-05,5.68922998413954e-05,5.43804120553825e-05,3.99125500394055e-05,3.8603622952375e-05,0.00851930266261769,"GeoPT19 .csv"
"5",0.266550792144766,0.000948259211790482,0.0783085614656925,0.0772302160747155,0.000383054189246957,0.00272414478226501,0.0171625931413541,0.0654322318611456,0.0403897240104864,0.000550290932487833,0.447984156710711,0.000396880543146382,0.000216091341269557,0.000129015660870029,0.00010216955830182,7.72805498162496e-05,7.05880321237258e-05,5.96933392248907e-05,5.21905088674099e-05,3.11703289631158e-05,2.50856650722323e-05,0.00117580994768318,"GeoPT2.csv"
"6",0.197234861166853,0.00110895238644297,0.109553391004489,0.110831602456807,0.000634568101798474,0.00222375525875573,0.00723065727734404,0.084693698806654,0.0631232830722114,0.000743539491112277,0.418819308562774,0.000472019711099834,0.0002684155236894,0.000181485285953395,0.000165390547221865,8.33179329262894e-05,7.96564586104576e-05,5.93885151217038e-05,5.62855357755617e-05,4.1186839007784e-05,4.08266999153765e-05,0.00235440936543629,"GeoPT20 .csv"
"7",0.333248506991614,0.00140367919806264,0.0734696224236438,0.0377421802263804,0.000729899618234583,0.00223215885744794,0.00812863786418541,0.033768634420678,0.0200412267854151,0.000530501384429137,0.484135680187994,0.000615161971162062,0.000339611087270811,0.000263913105447983,0.000183057059937862,0.000167102786500639,0.000119571955743294,0.000110997900088205,5.99439892686554e-05,5.56626822558904e-05,5.40410580611433e-05,0.00260020844617825,"GeoPT21 .csv"
"8",0.228015669749615,0.00952040814906818,0.0713324288160657,0.0782450701829513,0.000952273091544046,0.0228283419300682,0.0292410109620259,0.0676608938503994,0.0485195545940696,0.00345689303225302,0.432070062244554,0.000866098575170544,0.000713346685179817,0.000428588240846611,0.000265691414158643,0.000208380374044789,0.000172527455493188,0.000148314680435781,0.000115496489150391,0.000106744441872933,0.000100080805732996,0.00503212423529997,"GeoPT22 .csv"
"9",0.367032437305221,0.000872772990269003,0.0653603082957317,0.0141135990236118,0.000461240938631501,0.00176502792581297,0.00220836283081024,0.0302470788829865,0.00629551862653029,0.00044627053889037,0.497774763766361,0.000566629178072241,0.000414290508497657,0.000296264808956991,0.000140376827611208,0.000118233584282107,0.000112309761462081,0.000104479941935164,5.25686001088907e-05,4.24928736355413e-05,2.75949061576991e-05,0.0115473778844241,"GeoPT23 .csv"
"10",0.216481295844914,0.00669625629835732,0.0748406727938127,0.0878787520572008,0.00150471389399117,0.0146363951526394,0.0234215487621441,0.0835758993688027,0.0596155842785191,0.00244004789647777,0.422061037036991,0.000816702954354179,0.000504374530637648,0.000437954530714867,0.000355894779869466,0.000274661340021504,0.000211502785439941,0.000144854600620208,0.000129628941382718,8.38413899111263e-05,5.33312374856007e-05,0.00383504952571334,"GeoPT25 .csv"
"11",0.166842467251479,0.00573079954437582,0.0676229659652219,0.135539606408538,0.0015300409629013,0.0197962793453924,0.0259962295740522,0.0910498521034121,0.0792999400230602,0.00389517477023468,0.391475547135129,0.00110202333862597,0.000796020009510574,0.000691808633700638,0.000404898164126776,0.000287584809869722,0.00027566273135256,0.000271797344346168,0.000116180921994426,0.000109883348716485,8.57799541083579e-05,0.0070794576598523,"GeoPT29 .csv"
"12",0.336139589739948,0.000609032832204147,0.0678938448382529,0.0383813549622045,0.000410678036018156,0.00117523460028419,0.00762072518448181,0.036576520509937,0.0227351042487734,0.00023521668527966,0.48203566398649,0.0002949395705471,0.000269237876002225,0.000183493344662477,0.00015282925807551,0.000129438002270828,9.6459797483252e-05,8.73889128069108e-05,6.75781779754224e-05,6.48700827146143e-05,6.33384276692416e-05,0.00477746092591891,"GeoPT3.csv"
